,num_bikes_available,is_installed,legacy_id,station_status,eightd_has_available_keys,num_docks_available,num_ebikes_available,is_renting,is_returning,last_reported,station_id,num_docks_disabled,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
77,9,True,87,active,False,6,0,True,True,2020-08-05 00:14:22+00:00,87,0,0,2020-08-05 00:31:25,2020
78,13,True,89,active,False,6,0,True,True,2020-08-05 00:23:30+00:00,89,0,0,2020-08-05 00:31:25,2020
79,12,True,90,active,False,5,0,True,True,2020-08-05 00:23:04+00:00,90,0,2,2020-08-05 00:31:25,2020
80,5,True,91,active,False,14,0,True,True,2020-08-05 00:17:26+00:00,91,0,0,2020-08-05 00:31:25,2020
81,15,True,92,active,False,4,0,True,True,2020-08-04 17:12:55+00:00,92,0,0,2020-08-05 00:31:25,2020
82,11,True,93,active,False,3,0,True,True,2020-08-04 21:18:51+00:00,93,0,1,2020-08-05 00:31:25,2020
83,5,True,94,active,False,4,0,True,True,2020-08-04 23:07:50+00:00,94,0,2,2020-08-05 00:31:25,2020
84,14,True,95,active,False,1,0,True,True,2020-08-05 00:29:39+00:00,95,0,0,2020-08-05 00:31:25,2020
85,16,True,96,active,False,3,0,True,True,2020-08-05 00:30:34+00:00,96,0,0,2020-08-05 00:31:25,2020
86,10,True,97,active,False,9,0,True,True,2020-08-05 00:27:44+00:00,97,0,0,2020-08-05 00:31:25,2020
87,15,True,98,active,False,8,0,True,True,2020-08-04 23:24:11+00:00,98,0,0,2020-08-05 00:31:25,2020
88,4,True,99,active,False,11,0,True,True,2020-08-05 00:18:25+00:00,99,0,0,2020-08-05 00:31:25,2020
89,19,True,100,active,True,5,0,True,True,2020-08-05 00:23:05+00:00,100,0,1,2020-08-05 00:31:25,2020
90,14,True,101,active,False,1,0,True,True,2020-08-04 23:15:23+00:00,101,0,0,2020-08-05 00:31:25,2020
91,11,True,102,active,False,3,0,True,True,2020-08-05 00:12:45+00:00,102,0,1,2020-08-05 00:31:25,2020
92,7,True,103,active,False,7,0,True,True,2020-08-05 00:19:22+00:00,103,0,1,2020-08-05 00:31:25,2020
93,7,True,104,active,False,12,0,True,True,2020-08-05 00:16:59+00:00,104,0,0,2020-08-05 00:31:25,2020
94,6,True,105,active,False,12,0,True,True,2020-08-05 00:28:47+00:00,105,0,1,2020-08-05 00:31:25,2020
95,1,True,106,active,False,14,0,True,True,2020-08-04 23:02:22+00:00,106,0,0,2020-08-05 00:31:25,2020
96,0,True,107,active,False,19,0,True,True,2020-08-04 23:11:47+00:00,107,0,0,2020-08-05 00:31:25,2020
97,7,True,108,active,False,9,0,True,True,2020-08-05 00:06:35+00:00,108,0,1,2020-08-05 00:31:25,2020
98,10,True,109,active,False,23,0,True,True,2020-08-04 22:40:08+00:00,109,0,2,2020-08-05 00:31:25,2020
99,8,True,110,active,False,7,0,True,True,2020-08-04 22:53:23+00:00,110,0,0,2020-08-05 00:31:25,2020
100,3,True,111,active,False,12,0,True,True,2020-08-05 00:08:46+00:00,111,0,0,2020-08-05 00:31:25,2020
101,9,True,112,active,False,6,0,True,True,2020-08-05 00:24:52+00:00,112,0,0,2020-08-05 00:31:25,2020
102,14,True,113,active,False,0,0,True,True,2020-08-04 23:32:16+00:00,113,0,1,2020-08-05 00:31:25,2020
103,11,True,114,active,False,4,0,True,True,2020-08-04 23:53:08+00:00,114,0,0,2020-08-05 00:31:25,2020
104,17,True,115,active,False,2,0,True,True,2020-08-05 00:11:26+00:00,115,0,0,2020-08-05 00:31:25,2020
105,22,True,116,active,False,1,0,True,True,2020-08-05 00:02:44+00:00,116,0,0,2020-08-05 00:31:25,2020
106,8,True,117,active,False,11,0,True,True,2020-08-05 00:21:03+00:00,117,0,0,2020-08-05 00:31:25,2020
107,17,True,118,active,False,2,0,True,True,2020-08-05 00:14:31+00:00,118,0,0,2020-08-05 00:31:25,2020
108,3,True,119,active,False,12,0,True,True,2020-08-05 00:12:50+00:00,119,0,0,2020-08-05 00:31:25,2020
109,5,True,120,active,False,10,0,True,True,2020-08-05 00:22:18+00:00,120,0,0,2020-08-05 00:31:25,2020
