,is_returning,legacy_id,last_reported,is_renting,num_ebikes_available,station_status,station_id,eightd_has_available_keys,num_bikes_disabled,is_installed,num_docks_disabled,num_docks_available,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
208,False,260,2020-07-28 17:40:18+00:00,False,0,active,260,False,0,True,0,2,13,,,2020-07-28 23:35:45,2020
209,True,271,2020-07-28 17:01:28+00:00,True,0,active,271,False,1,True,0,8,6,,,2020-07-28 23:35:45,2020
210,True,272,2020-07-28 23:17:42+00:00,True,0,active,272,False,0,True,0,8,11,,,2020-07-28 23:35:45,2020
211,True,273,2020-07-28 23:06:50+00:00,True,0,active,273,False,1,True,0,16,23,,,2020-07-28 23:35:45,2020
212,True,279,2020-07-28 23:06:25+00:00,True,0,active,279,False,0,True,0,8,11,,,2020-07-28 23:35:45,2020
213,True,280,2020-07-28 23:16:26+00:00,True,0,active,280,False,0,True,0,10,9,,,2020-07-28 23:35:45,2020
214,True,282,2020-07-28 23:21:17+00:00,True,0,active,282,False,0,True,0,6,9,,,2020-07-28 23:35:45,2020
215,True,296,2020-07-28 23:23:18+00:00,True,0,active,296,False,0,True,0,21,2,,,2020-07-28 23:35:45,2020
216,True,318,2020-07-28 23:32:54+00:00,True,0,active,318,False,1,True,0,12,6,,,2020-07-28 23:35:45,2020
217,True,319,2020-07-28 22:25:57+00:00,True,0,active,319,False,0,True,0,15,10,,,2020-07-28 23:35:45,2020
218,True,327,2020-07-28 22:41:37+00:00,True,0,active,327,False,0,True,0,2,13,,,2020-07-28 23:35:45,2020
