,num_bikes_available,station_id,num_ebikes_available,is_renting,num_docks_available,eightd_has_available_keys,legacy_id,is_installed,station_status,num_docks_disabled,is_returning,num_bikes_disabled,last_reported,timestamp_of_data_read_request,year_station_last_reported
146,11,171,0,True,12,True,171,True,active,0,True,0,2020-08-21 01:12:53+00:00,2020-08-21 01:59:05,2020
147,9,173,0,True,5,True,173,True,active,0,True,0,2020-08-21 00:33:41+00:00,2020-08-21 01:59:05,2020
148,5,174,0,True,10,False,174,True,active,0,True,0,2020-08-21 01:50:45+00:00,2020-08-21 01:59:05,2020
149,9,175,0,True,6,True,175,True,active,0,True,2,2020-08-21 01:08:19+00:00,2020-08-21 01:59:05,2020
150,12,176,0,True,3,False,176,True,active,0,True,0,2020-08-21 01:51:17+00:00,2020-08-21 01:59:05,2020
151,4,177,0,True,14,False,177,True,active,0,True,1,2020-08-21 01:14:09+00:00,2020-08-21 01:59:05,2020
152,9,178,0,True,10,False,178,True,active,0,True,0,2020-08-21 01:37:32+00:00,2020-08-21 01:59:05,2020
153,21,179,0,True,4,False,179,True,active,0,True,0,2020-08-21 01:26:48+00:00,2020-08-21 01:59:05,2020
154,16,180,0,True,3,False,180,True,active,0,True,0,2020-08-20 23:41:43+00:00,2020-08-21 01:59:05,2020
155,5,181,0,True,14,False,181,True,active,0,True,0,2020-08-21 00:51:33+00:00,2020-08-21 01:59:05,2020
156,2,182,0,True,17,True,182,True,active,0,True,0,2020-08-21 01:37:45+00:00,2020-08-21 01:59:05,2020
157,5,183,0,True,14,False,183,True,active,0,True,0,2020-08-21 01:12:59+00:00,2020-08-21 01:59:05,2020
158,4,184,0,True,15,False,184,True,active,0,True,0,2020-08-21 01:49:28+00:00,2020-08-21 01:59:05,2020
159,3,185,0,True,12,False,185,True,active,0,True,0,2020-08-21 01:46:59+00:00,2020-08-21 01:59:05,2020
160,0,186,0,True,15,True,186,True,active,0,True,0,2020-08-21 01:19:50+00:00,2020-08-21 01:59:05,2020
161,3,187,0,True,12,False,187,True,active,0,True,0,2020-08-21 01:28:25+00:00,2020-08-21 01:59:05,2020
162,14,188,0,True,1,False,188,True,active,0,True,0,2020-08-21 00:06:17+00:00,2020-08-21 01:59:05,2020
163,0,189,0,True,22,True,189,True,active,0,True,1,2020-08-21 00:35:58+00:00,2020-08-21 01:59:05,2020
164,9,190,0,True,28,True,190,True,active,0,True,0,2020-08-21 01:58:36+00:00,2020-08-21 01:59:05,2020
165,1,191,0,True,14,False,191,True,active,0,True,0,2020-08-21 00:07:21+00:00,2020-08-21 01:59:05,2020
166,4,192,0,True,15,False,192,True,active,0,True,0,2020-08-21 01:36:05+00:00,2020-08-21 01:59:05,2020
167,2,193,0,True,13,True,193,True,active,0,True,0,2020-08-21 01:43:28+00:00,2020-08-21 01:59:05,2020
168,2,194,0,True,17,False,194,True,active,0,True,0,2020-08-20 23:40:13+00:00,2020-08-21 01:59:05,2020
169,8,195,0,True,15,False,195,True,active,0,True,0,2020-08-21 01:40:55+00:00,2020-08-21 01:59:05,2020
170,2,196,0,True,8,False,196,True,active,0,True,0,2020-08-20 21:12:36+00:00,2020-08-21 01:59:05,2020
171,7,197,0,True,8,False,197,True,active,0,True,0,2020-08-21 01:15:19+00:00,2020-08-21 01:59:05,2020
172,9,199,0,True,6,False,199,True,active,0,True,0,2020-08-20 23:26:19+00:00,2020-08-21 01:59:05,2020
173,17,200,0,True,2,False,200,True,active,0,True,0,2020-08-21 01:03:32+00:00,2020-08-21 01:59:05,2020
174,2,201,0,True,13,False,201,True,active,0,True,0,2020-08-21 00:30:51+00:00,2020-08-21 01:59:05,2020
175,2,202,0,True,13,False,202,True,active,0,True,0,2020-08-21 01:41:39+00:00,2020-08-21 01:59:05,2020
176,6,203,0,True,9,False,203,True,active,0,True,0,2020-08-20 16:40:31+00:00,2020-08-21 01:59:05,2020
177,3,204,0,True,11,False,204,True,active,0,True,1,2020-08-20 23:52:23+00:00,2020-08-21 01:59:05,2020
178,4,205,0,True,11,False,205,True,active,0,True,0,2020-08-20 23:26:54+00:00,2020-08-21 01:59:05,2020
179,2,206,0,True,21,True,206,True,active,0,True,0,2020-08-21 01:50:37+00:00,2020-08-21 01:59:05,2020
180,10,208,0,True,4,True,208,True,active,0,True,1,2020-08-20 22:55:27+00:00,2020-08-21 01:59:05,2020
181,10,209,0,True,4,False,209,True,active,0,True,1,2020-08-21 00:37:37+00:00,2020-08-21 01:59:05,2020
182,0,210,0,True,14,False,210,True,active,0,True,1,2020-08-20 18:49:02+00:00,2020-08-21 01:59:05,2020
183,9,211,0,True,10,False,211,True,active,0,True,0,2020-08-21 00:03:31+00:00,2020-08-21 01:59:05,2020
184,3,212,0,True,29,False,212,True,active,0,True,1,2020-08-21 01:32:06+00:00,2020-08-21 01:59:05,2020
185,1,213,0,True,15,True,213,True,active,0,True,0,2020-08-20 23:52:59+00:00,2020-08-21 01:59:05,2020
186,5,214,0,True,10,False,214,True,active,0,True,0,2020-08-21 01:49:18+00:00,2020-08-21 01:59:05,2020
