,num_docks_disabled,num_ebikes_available,is_renting,eightd_has_available_keys,station_id,num_bikes_available,num_docks_available,is_installed,legacy_id,last_reported,num_bikes_disabled,station_status,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
121,0,0,True,False,136,4,15,True,136,2020-08-06 17:51:20+00:00,0,active,True,,,2020-08-06 17:57:35,2020
122,0,0,True,False,137,1,14,True,137,2020-08-06 17:44:38+00:00,0,active,True,,,2020-08-06 17:57:35,2020
123,0,0,True,False,138,2,13,True,138,2020-08-06 16:59:55+00:00,0,active,True,,,2020-08-06 17:57:35,2020
124,0,0,True,False,139,0,19,True,139,2020-08-06 17:18:40+00:00,0,active,True,,,2020-08-06 17:57:35,2020
125,0,0,True,False,140,13,2,True,140,2020-08-06 16:38:12+00:00,2,active,True,,,2020-08-06 17:57:35,2020
126,0,0,True,False,141,7,8,True,141,2020-08-06 17:33:18+00:00,0,active,True,,,2020-08-06 17:57:35,2020
127,0,0,True,False,142,12,8,True,142,2020-08-06 16:32:29+00:00,3,active,True,,,2020-08-06 17:57:35,2020
128,0,0,True,False,143,10,13,True,143,2020-08-06 17:40:45+00:00,0,active,True,,,2020-08-06 17:57:35,2020
129,0,0,True,False,144,13,6,True,144,2020-08-06 17:48:27+00:00,0,active,True,,,2020-08-06 17:57:35,2020
130,0,0,True,False,145,3,16,True,145,2020-08-06 16:45:44+00:00,0,active,True,,,2020-08-06 17:57:35,2020
131,0,0,True,False,146,1,17,True,146,2020-08-06 17:33:26+00:00,1,active,True,,,2020-08-06 17:57:35,2020
132,0,0,True,True,149,5,13,True,149,2020-08-06 17:47:35+00:00,0,active,True,,,2020-08-06 17:57:35,2020
133,0,0,True,False,150,3,16,True,150,2020-08-06 17:20:39+00:00,0,active,True,,,2020-08-06 17:57:35,2020
134,0,0,True,False,151,18,0,True,151,2020-08-06 17:38:49+00:00,1,active,True,,,2020-08-06 17:57:35,2020
135,0,0,True,True,152,10,5,True,152,2020-08-06 17:36:54+00:00,0,active,True,,,2020-08-06 17:57:35,2020
136,0,0,True,False,156,1,14,True,156,2020-08-06 17:52:08+00:00,0,active,True,,,2020-08-06 17:57:35,2020
137,0,0,True,False,157,13,1,True,157,2020-08-06 17:56:30+00:00,1,active,True,,,2020-08-06 17:57:35,2020
138,0,0,True,False,159,5,10,True,159,2020-08-06 17:30:01+00:00,0,active,True,,,2020-08-06 17:57:35,2020
139,0,0,True,True,160,7,7,True,160,2020-08-06 17:26:33+00:00,0,active,True,,,2020-08-06 17:57:35,2020
140,0,0,True,True,161,9,14,True,161,2020-08-06 17:28:11+00:00,0,active,True,,,2020-08-06 17:57:35,2020
141,0,0,True,False,162,7,8,True,162,2020-08-06 17:30:35+00:00,0,active,True,,,2020-08-06 17:57:35,2020
142,0,0,True,True,163,9,10,True,163,2020-08-06 17:52:26+00:00,0,active,True,,,2020-08-06 17:57:35,2020
143,0,0,True,False,167,1,14,True,167,2020-08-06 16:35:11+00:00,0,active,True,,,2020-08-06 17:57:35,2020
144,0,0,True,False,169,12,5,True,169,2020-08-06 17:46:09+00:00,2,active,True,,,2020-08-06 17:57:35,2020
