,num_bikes_disabled,num_ebikes_available,station_status,num_docks_available,station_id,num_docks_disabled,is_renting,num_bikes_available,is_returning,eightd_has_available_keys,legacy_id,last_reported,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
86,0,0,active,16,97,0,True,3,True,False,97,2020-07-28 21:02:19+00:00,True,,,2020-07-28 21:02:45,2020
87,0,0,active,19,98,0,True,3,True,False,98,2020-07-28 20:40:05+00:00,True,,,2020-07-28 21:02:45,2020
88,0,0,active,6,99,0,True,9,True,False,99,2020-07-28 20:52:41+00:00,True,,,2020-07-28 21:02:45,2020
89,2,0,active,7,100,0,True,16,True,True,100,2020-07-28 20:57:54+00:00,True,,,2020-07-28 21:02:45,2020
90,0,0,active,15,101,0,True,0,True,False,101,2020-07-28 16:27:21+00:00,True,,,2020-07-28 21:02:45,2020
91,0,0,active,14,102,0,True,1,True,False,102,2020-07-28 20:14:45+00:00,True,,,2020-07-28 21:02:45,2020
92,0,0,active,14,103,0,True,1,True,False,103,2020-07-28 20:56:02+00:00,True,,,2020-07-28 21:02:45,2020
93,0,0,active,10,104,0,True,9,True,False,104,2020-07-28 20:55:12+00:00,True,,,2020-07-28 21:02:45,2020
94,0,0,active,0,105,0,True,19,True,False,105,2020-07-28 21:01:21+00:00,True,,,2020-07-28 21:02:45,2020
95,0,0,active,5,106,0,True,10,True,False,106,2020-07-28 20:35:45+00:00,True,,,2020-07-28 21:02:45,2020
96,1,0,active,7,107,0,True,11,True,False,107,2020-07-28 21:01:47+00:00,True,,,2020-07-28 21:02:45,2020
97,0,0,active,4,108,0,True,13,True,False,108,2020-07-28 20:51:54+00:00,True,,,2020-07-28 21:02:45,2020
98,2,0,active,11,109,0,True,22,True,False,109,2020-07-28 18:40:10+00:00,True,,,2020-07-28 21:02:45,2020
99,4,0,active,7,110,0,True,4,True,False,110,2020-07-28 20:01:30+00:00,True,,,2020-07-28 21:02:45,2020
100,1,0,active,11,111,0,True,3,True,False,111,2020-07-28 19:56:30+00:00,True,,,2020-07-28 21:02:45,2020
101,0,0,active,7,112,0,True,8,True,False,112,2020-07-28 19:02:27+00:00,True,,,2020-07-28 21:02:45,2020
102,0,0,active,14,113,0,True,1,True,False,113,2020-07-28 20:50:06+00:00,True,,,2020-07-28 21:02:45,2020
103,0,0,active,14,114,0,False,1,False,False,114,2020-07-28 19:10:25+00:00,True,,,2020-07-28 21:02:45,2020
104,0,0,active,13,115,0,True,6,True,False,115,2020-07-28 21:02:02+00:00,True,,,2020-07-28 21:02:45,2020
105,0,0,active,19,116,0,True,4,True,False,116,2020-07-28 20:48:12+00:00,True,,,2020-07-28 21:02:45,2020
106,0,0,active,2,117,0,True,17,True,False,117,2020-07-28 20:36:07+00:00,True,,,2020-07-28 21:02:45,2020
107,0,0,active,6,118,0,True,13,True,False,118,2020-07-28 18:52:50+00:00,True,,,2020-07-28 21:02:45,2020
108,0,0,active,8,119,0,True,7,True,False,119,2020-07-28 21:02:13+00:00,True,,,2020-07-28 21:02:45,2020
109,0,0,active,1,120,0,True,14,True,False,120,2020-07-28 21:00:53+00:00,True,,,2020-07-28 21:02:45,2020
110,0,0,active,15,121,0,True,2,True,False,121,2020-07-28 20:52:30+00:00,True,,,2020-07-28 21:02:45,2020
111,0,0,active,5,122,0,True,10,True,False,122,2020-07-28 16:36:41+00:00,True,,,2020-07-28 21:02:45,2020
112,0,0,active,12,124,0,True,3,True,False,124,2020-07-28 20:25:51+00:00,True,,,2020-07-28 21:02:45,2020
113,0,0,active,13,125,0,True,2,True,False,125,2020-07-28 19:34:34+00:00,True,,,2020-07-28 21:02:45,2020
114,0,0,active,13,126,0,True,2,True,False,126,2020-07-28 19:48:45+00:00,True,,,2020-07-28 21:02:45,2020
115,1,0,active,5,128,0,True,13,True,False,128,2020-07-28 20:58:14+00:00,True,,,2020-07-28 21:02:45,2020
116,0,0,active,10,129,0,True,9,True,False,129,2020-07-28 20:40:43+00:00,True,,,2020-07-28 21:02:45,2020
117,0,0,active,9,130,0,True,6,True,False,130,2020-07-28 17:28:30+00:00,True,,,2020-07-28 21:02:45,2020
118,1,0,active,4,131,0,True,13,True,False,131,2020-07-28 20:46:43+00:00,True,,,2020-07-28 21:02:45,2020
119,1,0,active,18,133,0,True,4,True,False,133,2020-07-28 20:13:31+00:00,True,,,2020-07-28 21:02:45,2020
120,1,0,active,10,135,0,True,6,True,False,135,2020-07-28 20:33:14+00:00,True,,,2020-07-28 21:02:45,2020
121,1,0,active,0,136,0,True,18,True,False,136,2020-07-28 18:00:55+00:00,True,,,2020-07-28 21:02:45,2020
122,0,0,active,12,137,0,True,3,True,False,137,2020-07-28 19:57:40+00:00,True,,,2020-07-28 21:02:45,2020
123,1,0,active,9,138,0,True,5,True,False,138,2020-07-28 20:57:39+00:00,True,,,2020-07-28 21:02:45,2020
124,1,0,active,10,139,0,True,8,True,False,139,2020-07-28 21:00:49+00:00,True,,,2020-07-28 21:02:45,2020
125,1,0,active,8,140,0,True,8,True,False,140,2020-07-28 19:18:50+00:00,True,,,2020-07-28 21:02:45,2020
126,1,0,active,7,141,0,True,7,True,False,141,2020-07-28 20:29:45+00:00,True,,,2020-07-28 21:02:45,2020
127,1,0,active,3,142,0,True,19,True,False,142,2020-07-28 18:31:53+00:00,True,,,2020-07-28 21:02:45,2020
128,0,0,active,17,143,0,True,6,True,False,143,2020-07-28 20:57:00+00:00,True,,,2020-07-28 21:02:45,2020
129,0,0,active,8,144,0,True,11,True,False,144,2020-07-28 20:42:05+00:00,True,,,2020-07-28 21:02:45,2020
130,0,0,active,15,145,0,True,4,True,False,145,2020-07-28 19:36:31+00:00,True,,,2020-07-28 21:02:45,2020
131,0,0,active,10,146,0,True,9,True,False,146,2020-07-28 21:00:19+00:00,True,,,2020-07-28 21:02:45,2020
132,0,0,active,16,149,0,True,2,True,True,149,2020-07-28 20:50:59+00:00,True,,,2020-07-28 21:02:45,2020
133,0,0,active,7,150,0,True,12,True,False,150,2020-07-28 18:15:42+00:00,True,,,2020-07-28 21:02:45,2020
134,0,0,active,8,151,0,True,11,True,False,151,2020-07-28 20:58:37+00:00,True,,,2020-07-28 21:02:45,2020
135,0,0,active,6,152,0,True,9,True,True,152,2020-07-28 19:18:42+00:00,True,,,2020-07-28 21:02:45,2020
136,0,0,active,5,156,0,True,10,True,False,156,2020-07-28 20:26:20+00:00,True,,,2020-07-28 21:02:45,2020
137,4,0,active,3,157,0,True,8,True,False,157,2020-07-28 21:01:19+00:00,True,,,2020-07-28 21:02:45,2020
138,1,0,active,12,159,0,True,2,True,False,159,2020-07-28 20:38:09+00:00,True,,,2020-07-28 21:02:45,2020
139,1,0,active,9,160,0,True,4,True,True,160,2020-07-28 20:52:56+00:00,True,,,2020-07-28 21:02:45,2020
140,2,0,active,8,161,0,True,13,True,True,161,2020-07-28 21:01:07+00:00,True,,,2020-07-28 21:02:45,2020
141,0,0,active,8,162,0,True,7,True,False,162,2020-07-28 20:36:22+00:00,True,,,2020-07-28 21:02:45,2020
142,0,0,active,16,163,0,True,3,True,True,163,2020-07-28 20:49:29+00:00,True,,,2020-07-28 21:02:45,2020
143,2,0,active,6,167,0,True,7,True,False,167,2020-07-28 20:55:25+00:00,True,,,2020-07-28 21:02:45,2020
144,1,0,active,8,169,0,True,10,True,False,169,2020-07-28 19:22:33+00:00,True,,,2020-07-28 21:02:45,2020
145,0,0,active,13,170,0,True,1,True,True,170,2020-07-28 17:46:22+00:00,True,,,2020-07-28 21:02:45,2020
146,1,0,active,16,171,0,True,6,True,True,171,2020-07-28 20:46:05+00:00,True,,,2020-07-28 21:02:45,2020
147,0,0,active,7,173,0,True,7,True,True,173,2020-07-28 20:02:29+00:00,True,,,2020-07-28 21:02:45,2020
148,0,0,active,7,174,0,True,8,True,False,174,2020-07-28 21:01:01+00:00,True,,,2020-07-28 21:02:45,2020
149,0,0,active,17,175,0,True,0,True,True,175,2020-07-28 20:53:19+00:00,True,,,2020-07-28 21:02:45,2020
150,0,0,active,2,176,0,True,13,True,False,176,2020-07-28 20:12:33+00:00,True,,,2020-07-28 21:02:45,2020
151,0,0,active,13,177,0,True,6,True,False,177,2020-07-28 20:44:10+00:00,True,,,2020-07-28 21:02:45,2020
152,1,0,active,10,178,0,True,8,True,False,178,2020-07-28 20:53:51+00:00,True,,,2020-07-28 21:02:45,2020
153,0,0,active,19,179,0,True,6,True,False,179,2020-07-28 20:57:15+00:00,True,,,2020-07-28 21:02:45,2020
154,0,0,active,9,180,0,True,10,True,False,180,2020-07-28 21:00:41+00:00,True,,,2020-07-28 21:02:45,2020
155,0,0,active,11,181,0,True,8,True,False,181,2020-07-28 20:44:20+00:00,True,,,2020-07-28 21:02:45,2020
156,0,0,active,10,182,0,True,9,True,True,182,2020-07-28 19:58:47+00:00,True,,,2020-07-28 21:02:45,2020
157,0,0,active,14,183,0,True,5,True,False,183,2020-07-28 17:39:07+00:00,True,,,2020-07-28 21:02:45,2020
158,0,0,active,9,184,0,True,10,True,False,184,2020-07-28 20:57:07+00:00,True,,,2020-07-28 21:02:45,2020
159,0,0,active,13,185,0,True,2,True,False,185,2020-07-28 20:30:28+00:00,True,,,2020-07-28 21:02:45,2020
160,0,0,active,5,186,0,True,10,True,True,186,2020-07-28 20:59:23+00:00,True,,,2020-07-28 21:02:45,2020
161,0,0,active,9,187,0,True,6,True,False,187,2020-07-28 19:51:33+00:00,True,,,2020-07-28 21:02:45,2020
162,0,0,active,5,188,0,True,10,True,False,188,2020-07-28 18:42:44+00:00,True,,,2020-07-28 21:02:45,2020
163,1,0,active,7,189,0,True,15,True,True,189,2020-07-28 21:02:33+00:00,True,,,2020-07-28 21:02:45,2020
164,1,0,active,16,190,0,True,20,True,True,190,2020-07-28 20:58:50+00:00,True,,,2020-07-28 21:02:45,2020
165,0,0,active,13,191,0,True,2,True,False,191,2020-07-28 20:55:54+00:00,True,,,2020-07-28 21:02:45,2020
166,0,0,active,8,192,0,True,11,True,False,192,2020-07-28 20:56:33+00:00,True,,,2020-07-28 21:02:45,2020
167,0,0,active,2,193,0,True,13,True,True,193,2020-07-28 20:30:32+00:00,True,,,2020-07-28 21:02:45,2020
168,0,0,active,1,194,0,True,18,True,False,194,2020-07-28 19:53:11+00:00,True,,,2020-07-28 21:02:45,2020
169,0,0,active,16,195,0,True,7,True,False,195,2020-07-28 20:59:43+00:00,True,,,2020-07-28 21:02:45,2020
170,0,0,active,9,196,0,True,1,True,True,196,2020-07-28 19:32:19+00:00,True,,,2020-07-28 21:02:45,2020
171,0,0,active,14,197,0,True,1,True,False,197,2020-07-28 19:38:35+00:00,True,,,2020-07-28 21:02:45,2020
172,0,0,active,12,199,0,True,3,True,False,199,2020-07-28 19:44:57+00:00,True,,,2020-07-28 21:02:45,2020
173,0,0,active,2,200,0,True,17,True,False,200,2020-07-28 20:08:26+00:00,True,,,2020-07-28 21:02:45,2020
174,0,0,active,14,201,0,True,1,True,False,201,2020-07-28 18:49:12+00:00,True,,,2020-07-28 21:02:45,2020
175,1,0,active,11,202,0,True,3,True,False,202,2020-07-28 14:43:09+00:00,True,,,2020-07-28 21:02:45,2020
176,0,0,active,13,203,0,True,2,True,False,203,2020-07-28 08:58:21+00:00,True,,,2020-07-28 21:02:45,2020
177,0,0,active,14,204,0,True,1,True,False,204,2020-07-28 20:38:07+00:00,True,,,2020-07-28 21:02:45,2020
178,1,0,active,11,205,0,True,3,True,False,205,2020-07-28 12:30:54+00:00,True,,,2020-07-28 21:02:45,2020
179,0,0,active,14,206,0,True,9,True,False,206,2020-07-28 21:00:31+00:00,True,,,2020-07-28 21:02:45,2020
180,0,0,active,3,208,0,True,12,True,True,208,2020-07-28 16:23:20+00:00,True,,,2020-07-28 21:02:45,2020
181,1,0,active,2,209,0,True,12,True,False,209,2020-07-28 20:38:50+00:00,True,,,2020-07-28 21:02:45,2020
182,0,0,active,15,210,0,True,0,True,False,210,2020-07-28 13:53:23+00:00,True,,,2020-07-28 21:02:45,2020
183,1,0,active,1,211,0,True,17,True,False,211,2020-07-28 20:50:20+00:00,True,,,2020-07-28 21:02:45,2020
184,0,0,active,30,212,0,True,3,True,False,212,2020-07-28 20:53:30+00:00,True,,,2020-07-28 21:02:45,2020
185,0,0,active,7,213,0,True,9,True,True,213,2020-07-28 20:32:14+00:00,True,,,2020-07-28 21:02:45,2020
186,0,0,active,5,214,0,True,10,True,False,214,2020-07-28 19:59:13+00:00,True,,,2020-07-28 21:02:45,2020
187,1,0,active,0,215,0,True,14,True,False,215,2020-07-28 17:42:05+00:00,True,,,2020-07-28 21:02:45,2020
188,1,0,active,3,216,0,True,15,True,False,216,2020-07-28 12:48:44+00:00,True,,,2020-07-28 21:02:45,2020
189,0,0,active,12,217,0,True,7,True,False,217,2020-07-28 20:54:30+00:00,True,,,2020-07-28 21:02:45,2020
190,0,0,active,8,218,0,True,7,True,False,218,2020-07-28 20:57:51+00:00,True,,,2020-07-28 21:02:45,2020
191,0,0,active,2,219,0,True,13,True,False,219,2020-07-28 19:42:26+00:00,True,,,2020-07-28 21:02:45,2020
192,2,0,active,14,221,0,True,3,True,False,221,2020-07-28 20:56:03+00:00,True,,,2020-07-28 21:02:45,2020
193,0,0,active,7,222,0,True,7,True,True,222,2020-07-28 20:51:58+00:00,True,,,2020-07-28 21:02:45,2020
194,0,0,active,8,224,0,True,9,True,False,224,2020-07-28 20:34:44+00:00,True,,,2020-07-28 21:02:45,2020
195,1,0,active,0,225,0,True,18,True,False,225,2020-07-28 20:36:04+00:00,True,,,2020-07-28 21:02:45,2020
196,0,0,active,12,226,0,True,3,True,False,226,2020-07-28 21:01:59+00:00,True,,,2020-07-28 21:02:45,2020
197,1,0,active,14,227,0,True,4,True,False,227,2020-07-28 20:53:47+00:00,True,,,2020-07-28 21:02:45,2020
198,0,0,active,13,228,0,True,6,True,False,228,2020-07-28 20:48:10+00:00,True,,,2020-07-28 21:02:45,2020
199,0,0,active,5,232,0,True,6,True,False,232,2020-07-28 15:47:15+00:00,True,,,2020-07-28 21:02:45,2020
200,0,0,active,5,233,0,True,10,True,False,233,2020-07-28 20:44:52+00:00,True,,,2020-07-28 21:02:45,2020
201,0,0,active,13,234,0,True,2,True,False,234,2020-07-28 20:45:33+00:00,True,,,2020-07-28 21:02:45,2020
202,0,0,active,3,235,0,True,12,True,False,235,2020-07-28 20:21:25+00:00,True,,,2020-07-28 21:02:45,2020
203,0,0,active,10,236,0,True,5,True,False,236,2020-07-28 20:43:38+00:00,True,,,2020-07-28 21:02:45,2020
204,0,0,active,13,239,0,True,2,True,False,239,2020-07-28 20:45:27+00:00,True,,,2020-07-28 21:02:45,2020
205,0,0,active,8,255,0,True,7,True,False,255,2020-07-28 16:47:53+00:00,True,,,2020-07-28 21:02:45,2020
206,0,0,active,8,258,0,True,7,True,False,258,2020-07-28 20:51:33+00:00,True,,,2020-07-28 21:02:45,2020
207,1,0,active,14,259,0,True,0,True,False,259,2020-07-28 11:55:38+00:00,True,,,2020-07-28 21:02:45,2020
208,0,0,active,2,260,0,False,13,False,False,260,2020-07-28 17:40:18+00:00,True,,,2020-07-28 21:02:45,2020
209,1,0,active,8,271,0,True,6,True,False,271,2020-07-28 17:01:28+00:00,True,,,2020-07-28 21:02:45,2020
210,0,0,active,8,272,0,True,11,True,False,272,2020-07-28 20:15:05+00:00,True,,,2020-07-28 21:02:45,2020
211,1,0,active,14,273,0,True,25,True,False,273,2020-07-28 20:30:36+00:00,True,,,2020-07-28 21:02:45,2020
212,0,0,active,10,279,0,True,9,True,False,279,2020-07-28 20:53:27+00:00,True,,,2020-07-28 21:02:45,2020
213,0,0,active,14,280,0,True,5,True,False,280,2020-07-28 20:43:47+00:00,True,,,2020-07-28 21:02:45,2020
214,0,0,active,5,282,0,True,10,True,False,282,2020-07-28 20:37:39+00:00,True,,,2020-07-28 21:02:45,2020
215,0,0,active,15,296,0,True,8,True,False,296,2020-07-28 20:57:57+00:00,True,,,2020-07-28 21:02:45,2020
