,eightd_has_available_keys,num_docks_disabled,last_reported,is_installed,legacy_id,station_status,is_renting,num_bikes_available,station_id,is_returning,num_bikes_disabled,num_docks_available,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
132,True,0,2020-08-11 02:19:11+00:00,True,149,active,True,15,149,True,0,3,0,2020-08-11 08:20:25,2020
133,False,0,2020-08-11 08:18:01+00:00,True,150,active,True,10,150,True,1,8,0,2020-08-11 08:20:25,2020
134,False,0,2020-08-11 08:11:54+00:00,True,151,active,True,2,151,True,0,17,0,2020-08-11 08:20:25,2020
135,True,0,2020-08-11 00:37:13+00:00,True,152,active,True,14,152,True,0,1,0,2020-08-11 08:20:25,2020
136,False,0,2020-08-11 03:18:15+00:00,True,156,active,True,3,156,True,0,12,0,2020-08-11 08:20:25,2020
137,False,0,2020-08-11 05:28:08+00:00,True,157,active,True,8,157,True,2,5,0,2020-08-11 08:20:25,2020
138,False,0,2020-08-11 05:44:59+00:00,True,159,active,True,8,159,True,1,6,0,2020-08-11 08:20:25,2020
139,True,0,2020-08-11 05:33:22+00:00,True,160,active,True,8,160,True,0,6,0,2020-08-11 08:20:25,2020
140,True,0,2020-08-11 02:28:31+00:00,True,161,active,True,13,161,True,2,8,0,2020-08-11 08:20:25,2020
141,False,0,2020-08-11 08:11:27+00:00,True,162,active,True,6,162,True,0,9,0,2020-08-11 08:20:25,2020
142,True,0,2020-08-11 08:03:46+00:00,True,163,active,True,11,163,True,0,8,0,2020-08-11 08:20:25,2020
143,False,0,2020-08-11 02:54:06+00:00,True,167,active,True,6,167,True,0,9,0,2020-08-11 08:20:25,2020
144,False,0,2020-08-11 00:20:45+00:00,True,169,active,True,15,169,True,0,4,0,2020-08-11 08:20:25,2020
145,True,0,2020-08-11 00:26:00+00:00,True,170,active,True,3,170,True,0,11,0,2020-08-11 08:20:25,2020
146,True,0,2020-08-11 01:27:24+00:00,True,171,active,True,5,171,True,0,18,0,2020-08-11 08:20:25,2020
147,True,0,2020-08-11 04:26:17+00:00,True,173,active,True,11,173,True,0,3,0,2020-08-11 08:20:25,2020
148,False,0,2020-08-11 02:37:46+00:00,True,174,active,True,6,174,True,0,9,0,2020-08-11 08:20:25,2020
149,True,0,2020-08-11 08:05:21+00:00,True,175,active,True,2,175,True,0,15,0,2020-08-11 08:20:25,2020
150,False,0,2020-08-11 03:37:46+00:00,True,176,active,True,14,176,True,0,1,0,2020-08-11 08:20:25,2020
151,False,0,2020-08-11 07:25:01+00:00,True,177,active,True,1,177,True,0,18,0,2020-08-11 08:20:25,2020
152,False,0,2020-08-11 07:56:14+00:00,True,178,active,True,9,178,True,0,10,0,2020-08-11 08:20:25,2020
153,False,0,2020-08-11 05:36:54+00:00,True,179,active,True,11,179,True,0,14,0,2020-08-11 08:20:25,2020
154,False,0,2020-08-11 00:13:05+00:00,True,180,active,True,15,180,True,0,4,0,2020-08-11 08:20:25,2020
155,False,0,2020-08-11 00:24:18+00:00,True,181,active,True,15,181,True,0,4,0,2020-08-11 08:20:25,2020
156,True,0,2020-08-11 00:42:30+00:00,True,182,active,True,6,182,True,0,13,0,2020-08-11 08:20:25,2020
157,False,0,2020-08-11 03:49:58+00:00,True,183,active,True,2,183,True,0,17,0,2020-08-11 08:20:25,2020
158,False,0,2020-08-11 05:49:43+00:00,True,184,active,True,11,184,True,0,8,0,2020-08-11 08:20:25,2020
