,is_renting,num_bikes_disabled,num_docks_disabled,station_id,is_installed,num_bikes_available,legacy_id,last_reported,num_docks_available,is_returning,station_status,num_ebikes_available,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
328,True,0,0,445,True,6,445,2020-08-08 20:57:13+00:00,13,True,active,0,False,,,2020-08-08 23:38:50,2020
329,True,0,0,446,True,2,446,2020-08-08 23:19:31+00:00,10,True,active,0,False,,,2020-08-08 23:38:50,2020
330,True,0,0,447,True,0,447,2020-08-08 15:10:15+00:00,19,True,active,0,False,,,2020-08-08 23:38:50,2020
331,True,0,0,448,True,2,448,2020-08-08 21:30:56+00:00,9,True,active,0,False,,,2020-08-08 23:38:50,2020
332,True,0,0,449,False,0,449,1970-01-02 00:00:00+00:00,0,True,out_of_service,0,False,,,2020-08-08 23:38:50,1970
333,True,0,0,450,True,1,450,2020-08-08 22:54:11+00:00,14,True,active,0,False,,,2020-08-08 23:38:50,2020
334,True,0,0,451,True,5,451,2020-08-08 23:06:34+00:00,10,True,active,0,False,,,2020-08-08 23:38:50,2020
335,True,1,0,452,True,6,452,2020-08-08 23:17:40+00:00,8,True,active,0,False,,,2020-08-08 23:38:50,2020
336,True,0,0,453,True,10,453,2020-08-08 23:36:26+00:00,5,True,active,0,False,,,2020-08-08 23:38:50,2020
337,True,0,0,454,True,15,454,2020-08-08 23:05:04+00:00,0,True,active,0,False,,,2020-08-08 23:38:50,2020
338,True,1,0,455,True,5,455,2020-08-08 23:37:35+00:00,6,True,active,0,False,,,2020-08-08 23:38:50,2020
339,True,0,0,456,True,9,456,2020-08-08 22:17:11+00:00,10,True,active,0,False,,,2020-08-08 23:38:50,2020
340,True,0,0,457,True,3,457,2020-08-08 21:00:44+00:00,8,True,active,0,False,,,2020-08-08 23:38:50,2020
341,True,0,0,458,True,5,458,2020-08-08 23:04:20+00:00,6,True,active,0,False,,,2020-08-08 23:38:50,2020
