,num_docks_available,last_reported,station_id,num_docks_disabled,is_renting,num_ebikes_available,num_bikes_available,station_status,is_installed,eightd_has_available_keys,legacy_id,num_bikes_disabled,is_returning,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
76,10,2020-08-18 21:27:04+00:00,86,0,True,0,8,active,True,False,86,1,True,,,2020-08-18 21:27:20,2020
77,8,2020-08-18 21:06:31+00:00,87,0,True,0,7,active,True,False,87,0,True,,,2020-08-18 21:27:20,2020
78,10,2020-08-18 20:39:43+00:00,89,0,True,0,9,active,True,False,89,0,True,,,2020-08-18 21:27:20,2020
79,14,2020-08-18 21:22:59+00:00,90,0,True,0,5,active,True,False,90,0,True,,,2020-08-18 21:27:20,2020
80,11,2020-08-18 21:25:03+00:00,91,0,True,0,6,active,True,False,91,2,True,,,2020-08-18 21:27:20,2020
81,4,2020-08-18 21:24:52+00:00,92,0,True,0,14,active,True,False,92,1,True,,,2020-08-18 21:27:20,2020
82,0,2020-08-18 21:13:06+00:00,93,0,True,0,13,active,True,False,93,2,True,,,2020-08-18 21:27:20,2020
83,9,2020-08-18 21:13:03+00:00,94,0,True,0,2,active,True,False,94,0,True,,,2020-08-18 21:27:20,2020
84,10,2020-08-18 21:24:13+00:00,95,0,True,0,2,active,True,False,95,3,True,,,2020-08-18 21:27:20,2020
85,8,2020-08-18 21:20:21+00:00,96,0,True,0,11,active,True,False,96,0,True,,,2020-08-18 21:27:20,2020
86,9,2020-08-18 21:26:05+00:00,97,0,True,0,8,active,True,False,97,2,True,,,2020-08-18 21:27:20,2020
87,17,2020-08-18 21:24:25+00:00,98,0,True,0,6,active,True,False,98,0,True,,,2020-08-18 21:27:20,2020
88,3,2020-08-18 21:19:56+00:00,99,0,True,0,10,active,True,False,99,2,True,,,2020-08-18 21:27:20,2020
89,15,2020-08-18 21:17:07+00:00,100,0,True,0,10,active,True,True,100,0,True,,,2020-08-18 21:27:20,2020
90,9,2020-08-18 21:11:18+00:00,101,0,True,0,6,active,True,False,101,0,True,,,2020-08-18 21:27:20,2020
91,12,2020-08-18 21:08:10+00:00,102,0,True,0,3,active,True,False,102,0,True,,,2020-08-18 21:27:20,2020
92,11,2020-08-18 21:26:22+00:00,103,0,True,0,4,active,True,False,103,0,True,,,2020-08-18 21:27:20,2020
93,17,2020-08-18 21:12:27+00:00,104,0,True,0,2,active,True,False,104,0,True,,,2020-08-18 21:27:20,2020
94,14,2020-08-18 21:10:15+00:00,105,0,True,0,5,active,True,False,105,0,True,,,2020-08-18 21:27:20,2020
95,7,2020-08-18 20:26:10+00:00,106,0,True,0,8,active,True,False,106,0,True,,,2020-08-18 21:27:20,2020
96,10,2020-08-18 21:26:38+00:00,107,0,True,0,7,active,True,False,107,2,True,,,2020-08-18 21:27:20,2020
97,7,2020-08-18 21:21:04+00:00,108,0,True,0,10,active,True,False,108,0,True,,,2020-08-18 21:27:20,2020
98,29,2020-08-18 19:32:03+00:00,109,0,True,0,5,active,True,False,109,1,True,,,2020-08-18 21:27:20,2020
99,9,2020-08-18 20:52:43+00:00,110,0,True,0,6,active,True,False,110,0,True,,,2020-08-18 21:27:20,2020
100,13,2020-08-18 18:57:14+00:00,111,0,True,0,2,active,True,False,111,0,True,,,2020-08-18 21:27:20,2020
101,5,2020-08-18 20:22:52+00:00,112,0,True,0,10,active,True,False,112,0,True,,,2020-08-18 21:27:20,2020
102,10,2020-08-18 21:24:19+00:00,113,0,True,0,4,active,True,False,113,1,True,,,2020-08-18 21:27:20,2020
103,15,2020-08-18 20:43:36+00:00,114,0,True,0,0,active,True,False,114,0,True,,,2020-08-18 21:27:20,2020
104,5,2020-08-18 21:21:06+00:00,115,0,True,0,14,active,True,False,115,0,True,,,2020-08-18 21:27:20,2020
105,17,2020-08-18 21:23:11+00:00,116,0,True,0,6,active,True,False,116,0,True,,,2020-08-18 21:27:20,2020
106,13,2020-08-18 21:18:39+00:00,117,0,True,0,6,active,True,False,117,0,True,,,2020-08-18 21:27:20,2020
107,9,2020-08-18 21:23:59+00:00,118,0,True,0,9,active,True,False,118,1,True,,,2020-08-18 21:27:20,2020
108,13,2020-08-18 21:26:05+00:00,119,0,True,0,1,active,True,False,119,1,True,,,2020-08-18 21:27:20,2020
109,5,2020-08-18 21:24:52+00:00,120,0,True,0,9,active,True,False,120,1,True,,,2020-08-18 21:27:20,2020
110,5,2020-08-18 21:20:21+00:00,121,0,True,0,11,active,True,False,121,1,True,,,2020-08-18 21:27:20,2020
111,6,2020-08-18 21:06:41+00:00,122,0,True,0,9,active,True,False,122,0,True,,,2020-08-18 21:27:20,2020
112,14,2020-08-18 21:10:49+00:00,124,0,True,0,1,active,True,False,124,0,True,,,2020-08-18 21:27:20,2020
113,9,2020-08-18 21:24:02+00:00,125,1,True,0,5,active,True,False,125,0,True,,,2020-08-18 21:27:20,2020
114,4,2020-08-18 20:18:03+00:00,126,0,True,0,10,active,True,False,126,1,True,,,2020-08-18 21:27:20,2020
115,4,2020-08-18 20:11:26+00:00,128,0,True,0,15,active,True,False,128,0,True,,,2020-08-18 21:27:20,2020
116,4,2020-08-18 21:24:19+00:00,129,0,True,0,15,active,True,False,129,0,True,,,2020-08-18 21:27:20,2020
117,3,2020-08-18 18:23:23+00:00,130,0,True,0,12,active,True,False,130,0,True,,,2020-08-18 21:27:20,2020
118,17,2020-08-18 21:26:10+00:00,131,0,True,0,1,active,True,False,131,0,True,,,2020-08-18 21:27:20,2020
119,9,2020-08-18 21:15:21+00:00,133,0,True,0,12,active,True,False,133,2,True,,,2020-08-18 21:27:20,2020
120,15,2020-08-18 20:00:20+00:00,135,0,True,0,2,active,True,False,135,0,True,,,2020-08-18 21:27:20,2020
121,14,2020-08-18 19:54:02+00:00,136,0,True,0,4,active,True,False,136,1,True,,,2020-08-18 21:27:20,2020
122,7,2020-08-18 21:13:06+00:00,137,0,True,0,8,active,True,False,137,0,True,,,2020-08-18 21:27:20,2020
123,7,2020-08-18 21:19:35+00:00,138,0,True,0,7,active,True,False,138,1,True,,,2020-08-18 21:27:20,2020
124,12,2020-08-18 21:24:39+00:00,139,0,True,0,7,active,True,False,139,0,True,,,2020-08-18 21:27:20,2020
125,10,2020-08-18 21:03:11+00:00,140,0,True,0,7,active,True,False,140,0,True,,,2020-08-18 21:27:20,2020
126,3,2020-08-18 21:23:49+00:00,141,0,True,0,12,active,True,False,141,0,True,,,2020-08-18 21:27:20,2020
127,4,2020-08-18 21:26:20+00:00,142,0,True,0,19,active,True,False,142,0,True,,,2020-08-18 21:27:20,2020
128,16,2020-08-18 21:16:58+00:00,143,0,True,0,6,active,True,False,143,1,True,,,2020-08-18 21:27:20,2020
129,2,2020-08-18 21:26:41+00:00,144,0,True,0,17,active,True,False,144,0,True,,,2020-08-18 21:27:20,2020
130,3,2020-08-18 21:25:02+00:00,145,0,True,0,15,active,True,False,145,1,True,,,2020-08-18 21:27:20,2020
131,8,2020-08-18 21:27:05+00:00,146,0,True,0,9,active,True,False,146,2,True,,,2020-08-18 21:27:20,2020
132,6,2020-08-18 21:24:17+00:00,149,0,True,0,11,active,True,True,149,1,True,,,2020-08-18 21:27:20,2020
133,7,2020-08-18 21:16:29+00:00,150,0,True,0,11,active,True,False,150,1,True,,,2020-08-18 21:27:20,2020
134,7,2020-08-18 21:25:05+00:00,151,0,True,0,12,active,True,False,151,0,True,,,2020-08-18 21:27:20,2020
135,4,2020-08-18 21:08:14+00:00,152,0,True,0,11,active,True,True,152,0,True,,,2020-08-18 21:27:20,2020
136,12,2020-08-18 21:20:25+00:00,156,0,True,0,3,active,True,False,156,0,True,,,2020-08-18 21:27:20,2020
137,6,2020-08-18 21:24:51+00:00,157,0,True,0,8,active,True,False,157,1,True,,,2020-08-18 21:27:20,2020
138,14,2020-08-18 21:14:14+00:00,159,0,True,0,1,active,True,False,159,0,True,,,2020-08-18 21:27:20,2020
139,7,2020-08-18 21:17:08+00:00,160,0,True,0,7,active,True,True,160,0,True,,,2020-08-18 21:27:20,2020
140,8,2020-08-18 21:22:37+00:00,161,0,True,0,14,active,True,True,161,1,True,,,2020-08-18 21:27:20,2020
141,9,2020-08-18 18:28:26+00:00,162,0,True,0,6,active,True,False,162,0,True,,,2020-08-18 21:27:20,2020
142,14,2020-08-18 21:16:49+00:00,163,0,True,0,5,active,True,True,163,0,True,,,2020-08-18 21:27:20,2020
143,9,2020-08-18 21:25:01+00:00,167,0,True,0,6,active,True,False,167,0,True,,,2020-08-18 21:27:20,2020
144,15,2020-08-18 19:59:09+00:00,169,0,True,0,4,active,True,False,169,0,True,,,2020-08-18 21:27:20,2020
145,12,2020-08-18 21:16:03+00:00,170,0,True,0,2,active,True,True,170,0,True,,,2020-08-18 21:27:20,2020
146,21,2020-08-18 20:50:29+00:00,171,0,True,0,2,active,True,True,171,0,True,,,2020-08-18 21:27:20,2020
