,is_installed,last_reported,num_docks_disabled,num_bikes_disabled,num_bikes_available,station_status,is_renting,is_returning,num_ebikes_available,legacy_id,eightd_has_available_keys,station_id,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
190,True,2020-08-11 13:43:59+00:00,0,1,4,active,True,True,0,218,False,218,10,,,2020-08-11 14:17:45,2020
191,True,2020-08-11 08:51:53+00:00,0,0,6,active,True,True,0,219,False,219,9,,,2020-08-11 14:17:45,2020
192,True,2020-08-11 14:17:19+00:00,0,0,11,active,True,True,0,221,False,221,8,,,2020-08-11 14:17:45,2020
193,True,2020-08-11 14:12:11+00:00,0,1,1,active,True,True,0,222,True,222,12,,,2020-08-11 14:17:45,2020
194,True,2020-08-11 12:15:32+00:00,0,0,11,active,True,True,0,224,False,224,6,,,2020-08-11 14:17:45,2020
195,True,2020-08-11 13:44:34+00:00,0,1,8,active,True,True,0,225,False,225,10,,,2020-08-11 14:17:45,2020
196,True,2020-08-11 13:57:09+00:00,0,0,6,active,True,True,0,226,False,226,9,,,2020-08-11 14:17:45,2020
197,True,2020-08-11 13:51:47+00:00,0,0,9,active,True,True,0,227,False,227,10,,,2020-08-11 14:17:45,2020
198,True,2020-08-11 13:24:00+00:00,0,0,15,active,True,True,0,228,False,228,4,,,2020-08-11 14:17:45,2020
199,True,2020-08-11 01:22:39+00:00,0,0,8,active,True,True,0,232,False,232,3,,,2020-08-11 14:17:45,2020
200,True,2020-08-11 13:50:17+00:00,0,2,7,active,True,True,0,233,False,233,6,,,2020-08-11 14:17:45,2020
201,True,2020-08-11 13:25:50+00:00,0,0,3,active,True,True,0,234,False,234,12,,,2020-08-11 14:17:45,2020
202,True,2020-08-11 12:20:02+00:00,0,0,5,active,True,True,0,235,False,235,10,,,2020-08-11 14:17:45,2020
203,True,2020-08-11 13:23:09+00:00,0,0,10,active,True,True,0,236,False,236,5,,,2020-08-11 14:17:45,2020
204,True,2020-08-11 14:01:56+00:00,0,0,6,active,True,True,0,239,False,239,9,,,2020-08-11 14:17:45,2020
205,True,2020-08-11 13:33:23+00:00,0,0,12,active,True,True,0,255,False,255,3,,,2020-08-11 14:17:45,2020
206,True,2020-08-11 13:35:55+00:00,0,0,7,active,True,True,0,258,False,258,8,,,2020-08-11 14:17:45,2020
207,True,2020-08-11 08:42:57+00:00,0,0,15,active,True,True,0,259,False,259,0,,,2020-08-11 14:17:45,2020
208,True,2020-08-11 12:30:13+00:00,0,0,12,active,True,True,0,260,False,260,3,,,2020-08-11 14:17:45,2020
209,True,2020-08-11 14:00:19+00:00,0,0,6,active,True,True,0,271,False,271,9,,,2020-08-11 14:17:45,2020
210,True,2020-08-11 12:29:04+00:00,0,1,6,active,True,True,0,272,False,272,12,,,2020-08-11 14:17:45,2020
211,True,2020-08-11 13:35:33+00:00,0,0,19,active,True,True,0,273,False,273,21,,,2020-08-11 14:17:45,2020
212,True,2020-08-11 12:26:13+00:00,0,0,13,active,True,True,0,279,False,279,6,,,2020-08-11 14:17:45,2020
213,True,2020-08-11 14:01:42+00:00,0,0,6,active,True,True,0,280,False,280,13,,,2020-08-11 14:17:45,2020
214,True,2020-08-11 13:54:34+00:00,0,2,7,active,True,True,0,282,False,282,6,,,2020-08-11 14:17:45,2020
215,True,2020-08-11 12:20:22+00:00,0,1,9,active,True,True,0,296,False,296,13,,,2020-08-11 14:17:45,2020
216,True,2020-08-11 14:14:25+00:00,0,0,19,active,True,True,0,318,False,318,0,,,2020-08-11 14:17:45,2020
217,True,2020-08-11 13:16:07+00:00,0,0,3,active,True,True,0,319,False,319,22,,,2020-08-11 14:17:45,2020
218,True,2020-08-11 14:17:36+00:00,0,1,14,active,True,True,0,327,False,327,0,,,2020-08-11 14:17:45,2020
219,True,2020-08-11 13:54:37+00:00,0,0,3,active,True,True,0,328,False,328,12,,,2020-08-11 14:17:45,2020
220,True,2020-08-11 13:50:14+00:00,0,0,3,active,True,True,0,329,False,329,12,,,2020-08-11 14:17:45,2020
221,True,2020-08-11 12:48:03+00:00,0,0,9,active,True,True,0,330,False,330,6,,,2020-08-11 14:17:45,2020
222,True,2020-08-11 14:04:29+00:00,0,0,3,active,True,True,0,331,False,331,12,,,2020-08-11 14:17:45,2020
223,True,2020-08-11 14:06:33+00:00,0,1,3,active,True,True,0,332,False,332,11,,,2020-08-11 14:17:45,2020
224,True,2020-08-11 13:21:39+00:00,0,0,20,active,True,True,0,333,False,333,5,,,2020-08-11 14:17:45,2020
225,True,2020-08-11 13:14:38+00:00,0,0,18,active,True,True,0,334,False,334,1,,,2020-08-11 14:17:45,2020
226,True,2020-08-11 14:07:56+00:00,0,0,12,active,True,True,0,335,False,335,7,,,2020-08-11 14:17:45,2020
