,station_id,num_docks_disabled,is_installed,is_returning,is_renting,eightd_has_available_keys,last_reported,num_bikes_available,num_ebikes_available,num_bikes_disabled,station_status,num_docks_available,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
125,140,0,True,True,True,False,2020-07-31 23:01:48+00:00,3,0,0,active,14,140,,,2020-07-31 23:22:10,2020
126,141,0,True,True,True,False,2020-07-31 23:05:17+00:00,5,0,0,active,10,141,,,2020-07-31 23:22:10,2020
127,142,0,True,True,True,False,2020-07-31 22:50:39+00:00,19,0,0,active,4,142,,,2020-07-31 23:22:10,2020
128,143,0,True,True,True,False,2020-07-31 23:16:45+00:00,11,0,2,active,10,143,,,2020-07-31 23:22:10,2020
129,144,0,True,True,True,False,2020-07-31 22:57:23+00:00,0,0,0,active,19,144,,,2020-07-31 23:22:10,2020
130,145,0,True,True,True,False,2020-07-31 22:53:31+00:00,10,0,0,active,9,145,,,2020-07-31 23:22:10,2020
131,146,0,True,True,True,False,2020-07-31 23:14:15+00:00,10,0,0,active,9,146,,,2020-07-31 23:22:10,2020
132,149,0,True,True,True,True,2020-07-31 23:19:10+00:00,7,0,0,active,11,149,,,2020-07-31 23:22:10,2020
133,150,0,True,True,True,False,2020-07-31 23:03:19+00:00,12,0,1,active,6,150,,,2020-07-31 23:22:10,2020
134,151,0,True,True,True,False,2020-07-31 23:21:53+00:00,4,0,2,active,13,151,,,2020-07-31 23:22:10,2020
135,152,0,True,True,True,True,2020-07-31 23:15:05+00:00,2,0,0,active,13,152,,,2020-07-31 23:22:10,2020
136,156,0,True,True,True,False,2020-07-31 22:29:47+00:00,2,0,0,active,13,156,,,2020-07-31 23:22:10,2020
137,157,0,True,True,True,False,2020-07-31 23:06:59+00:00,14,0,1,active,0,157,,,2020-07-31 23:22:10,2020
138,159,0,True,True,True,False,2020-07-31 22:50:27+00:00,0,0,1,active,14,159,,,2020-07-31 23:22:10,2020
139,160,0,True,True,True,True,2020-07-31 23:12:48+00:00,2,0,0,active,12,160,,,2020-07-31 23:22:10,2020
140,161,0,True,True,True,True,2020-07-31 23:15:01+00:00,0,0,0,active,23,161,,,2020-07-31 23:22:10,2020
141,162,0,True,True,True,False,2020-07-31 23:16:21+00:00,3,0,0,active,12,162,,,2020-07-31 23:22:10,2020
142,163,0,True,True,True,True,2020-07-31 23:20:41+00:00,13,0,0,active,6,163,,,2020-07-31 23:22:10,2020
143,167,0,True,True,True,False,2020-07-31 23:22:00+00:00,2,0,1,active,12,167,,,2020-07-31 23:22:10,2020
144,169,0,True,True,True,False,2020-07-31 23:20:39+00:00,2,0,0,active,17,169,,,2020-07-31 23:22:10,2020
145,170,0,True,True,True,True,2020-07-31 22:06:37+00:00,4,0,0,active,10,170,,,2020-07-31 23:22:10,2020
146,171,0,True,True,True,True,2020-07-31 20:17:15+00:00,7,0,1,active,15,171,,,2020-07-31 23:22:10,2020
147,173,0,True,True,True,True,2020-07-31 23:21:30+00:00,4,0,2,active,8,173,,,2020-07-31 23:22:10,2020
148,174,0,True,True,True,False,2020-07-31 22:41:56+00:00,8,0,0,active,7,174,,,2020-07-31 23:22:10,2020
149,175,0,True,True,True,True,2020-07-31 23:07:02+00:00,3,0,1,active,13,175,,,2020-07-31 23:22:10,2020
150,176,0,True,True,True,False,2020-07-31 23:12:09+00:00,5,0,0,active,10,176,,,2020-07-31 23:22:10,2020
151,177,0,True,True,True,False,2020-07-31 23:12:23+00:00,5,0,0,active,14,177,,,2020-07-31 23:22:10,2020
152,178,0,True,True,True,False,2020-07-31 23:20:39+00:00,5,0,0,active,14,178,,,2020-07-31 23:22:10,2020
153,179,0,True,True,True,False,2020-07-31 23:19:46+00:00,3,0,2,active,20,179,,,2020-07-31 23:22:10,2020
154,180,0,True,True,True,False,2020-07-31 23:18:15+00:00,9,0,0,active,10,180,,,2020-07-31 23:22:10,2020
155,181,0,True,True,True,False,2020-07-31 22:24:47+00:00,6,0,1,active,12,181,,,2020-07-31 23:22:10,2020
156,182,0,True,True,True,True,2020-07-31 23:01:08+00:00,6,0,1,active,12,182,,,2020-07-31 23:22:10,2020
157,183,0,True,True,True,False,2020-07-31 22:35:53+00:00,0,0,0,active,19,183,,,2020-07-31 23:22:10,2020
158,184,0,True,True,True,False,2020-07-31 23:09:49+00:00,5,0,0,active,14,184,,,2020-07-31 23:22:10,2020
159,185,0,True,True,True,False,2020-07-31 23:21:11+00:00,12,0,0,active,3,185,,,2020-07-31 23:22:10,2020
160,186,0,True,True,True,True,2020-07-31 23:05:19+00:00,15,0,0,active,0,186,,,2020-07-31 23:22:10,2020
161,187,0,True,True,True,False,2020-07-31 23:19:07+00:00,12,0,0,active,3,187,,,2020-07-31 23:22:10,2020
162,188,0,True,True,True,False,2020-07-31 23:17:06+00:00,5,0,0,active,10,188,,,2020-07-31 23:22:10,2020
163,189,0,True,True,True,True,2020-07-31 23:19:33+00:00,1,0,0,active,22,189,,,2020-07-31 23:22:10,2020
164,190,0,True,True,True,True,2020-07-31 23:18:14+00:00,22,0,3,active,12,190,,,2020-07-31 23:22:10,2020
165,191,0,True,True,True,False,2020-07-31 20:45:59+00:00,2,0,0,active,13,191,,,2020-07-31 23:22:10,2020
166,192,0,True,True,True,False,2020-07-31 23:20:00+00:00,12,0,2,active,5,192,,,2020-07-31 23:22:10,2020
167,193,0,True,True,True,True,2020-07-31 23:15:05+00:00,7,0,0,active,8,193,,,2020-07-31 23:22:10,2020
168,194,0,True,True,True,False,2020-07-31 19:33:38+00:00,14,0,0,active,5,194,,,2020-07-31 23:22:10,2020
169,195,0,True,True,True,False,2020-07-31 23:21:44+00:00,11,0,0,active,12,195,,,2020-07-31 23:22:10,2020
170,196,0,True,True,True,True,2020-07-31 22:18:01+00:00,0,0,1,active,9,196,,,2020-07-31 23:22:10,2020
171,197,0,True,True,True,False,2020-07-31 22:31:46+00:00,1,0,0,active,14,197,,,2020-07-31 23:22:10,2020
172,199,0,True,True,True,False,2020-07-31 23:18:21+00:00,7,0,2,active,6,199,,,2020-07-31 23:22:10,2020
173,200,0,True,True,True,False,2020-07-31 22:37:15+00:00,14,0,0,active,5,200,,,2020-07-31 23:22:10,2020
174,201,0,True,True,True,False,2020-07-31 08:12:47+00:00,0,0,0,active,15,201,,,2020-07-31 23:22:10,2020
175,202,0,True,True,True,False,2020-07-31 23:10:10+00:00,0,0,0,active,15,202,,,2020-07-31 23:22:10,2020
176,203,0,True,True,True,False,2020-07-31 22:34:17+00:00,6,0,0,active,9,203,,,2020-07-31 23:22:10,2020
177,204,0,True,True,True,False,2020-07-31 23:20:00+00:00,5,0,0,active,10,204,,,2020-07-31 23:22:10,2020
178,205,0,True,True,True,False,2020-07-31 17:39:13+00:00,7,0,0,active,8,205,,,2020-07-31 23:22:10,2020
179,206,0,True,True,True,False,2020-07-31 23:06:56+00:00,8,0,0,active,15,206,,,2020-07-31 23:22:10,2020
180,208,0,True,True,True,True,2020-07-31 22:18:40+00:00,11,0,0,active,4,208,,,2020-07-31 23:22:10,2020
181,209,0,True,True,True,False,2020-07-31 18:24:14+00:00,10,0,1,active,4,209,,,2020-07-31 23:22:10,2020
182,210,0,True,True,True,False,2020-07-31 22:27:56+00:00,2,0,0,active,13,210,,,2020-07-31 23:22:10,2020
183,211,0,True,True,True,False,2020-07-31 23:05:01+00:00,16,0,0,active,3,211,,,2020-07-31 23:22:10,2020
184,212,0,True,True,True,False,2020-07-31 23:17:34+00:00,16,0,0,active,17,212,,,2020-07-31 23:22:10,2020
185,213,0,True,True,True,True,2020-07-31 22:24:18+00:00,3,0,0,active,13,213,,,2020-07-31 23:22:10,2020
186,214,0,True,True,True,False,2020-07-31 23:03:26+00:00,1,0,0,active,14,214,,,2020-07-31 23:22:10,2020
187,215,0,True,True,True,False,2020-07-31 22:57:42+00:00,8,0,0,active,7,215,,,2020-07-31 23:22:10,2020
188,216,0,True,True,True,False,2020-07-31 23:14:21+00:00,14,0,0,active,5,216,,,2020-07-31 23:22:10,2020
189,217,0,True,True,True,False,2020-07-31 22:38:31+00:00,5,0,0,active,14,217,,,2020-07-31 23:22:10,2020
190,218,0,True,True,True,False,2020-07-31 22:48:54+00:00,15,0,0,active,0,218,,,2020-07-31 23:22:10,2020
191,219,0,True,True,True,False,2020-07-31 22:04:27+00:00,9,0,1,active,5,219,,,2020-07-31 23:22:10,2020
192,221,0,True,True,True,False,2020-07-31 23:11:52+00:00,9,0,0,active,10,221,,,2020-07-31 23:22:10,2020
193,222,0,True,True,True,True,2020-07-31 22:54:13+00:00,0,0,0,active,14,222,,,2020-07-31 23:22:10,2020
194,224,0,True,True,True,False,2020-07-31 23:00:24+00:00,15,0,1,active,1,224,,,2020-07-31 23:22:10,2020
195,225,0,True,True,True,False,2020-07-31 23:02:49+00:00,9,0,0,active,10,225,,,2020-07-31 23:22:10,2020
196,226,0,True,True,True,False,2020-07-31 23:12:46+00:00,6,0,1,active,8,226,,,2020-07-31 23:22:10,2020
197,227,0,True,True,True,False,2020-07-31 23:21:56+00:00,2,0,0,active,17,227,,,2020-07-31 23:22:10,2020
198,228,0,True,True,True,False,2020-07-31 23:20:17+00:00,10,0,0,active,9,228,,,2020-07-31 23:22:10,2020
199,232,0,True,True,True,False,2020-07-31 08:16:55+00:00,4,0,0,active,7,232,,,2020-07-31 23:22:10,2020
200,233,0,True,True,True,False,2020-07-31 23:18:59+00:00,8,0,2,active,5,233,,,2020-07-31 23:22:10,2020
201,234,0,True,True,True,False,2020-07-31 21:15:05+00:00,5,0,0,active,10,234,,,2020-07-31 23:22:10,2020
202,235,0,True,True,True,False,2020-07-31 22:05:49+00:00,10,0,0,active,5,235,,,2020-07-31 23:22:10,2020
203,236,0,True,True,True,False,2020-07-31 22:57:22+00:00,6,0,0,active,9,236,,,2020-07-31 23:22:10,2020
