,num_ebikes_available,num_bikes_available,eightd_has_available_keys,legacy_id,num_docks_disabled,station_status,is_returning,num_bikes_disabled,station_id,last_reported,is_installed,num_docks_available,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
216,0,18,False,296,0,active,True,1,296,2020-07-26 05:34:41+00:00,True,4,True,,,2020-07-26 08:27:00,2020
217,0,0,False,318,0,active,True,0,318,2020-07-26 05:14:16+00:00,True,19,True,,,2020-07-26 08:27:00,2020
218,0,12,False,319,0,active,True,0,319,2020-07-26 01:22:31+00:00,True,13,True,,,2020-07-26 08:27:00,2020
219,0,8,False,327,0,active,True,0,327,2020-07-26 03:48:20+00:00,True,7,True,,,2020-07-26 08:27:00,2020
220,0,13,False,328,0,active,True,1,328,2020-07-26 06:29:16+00:00,True,1,True,,,2020-07-26 08:27:00,2020
221,0,15,False,329,0,active,True,0,329,2020-07-26 04:34:29+00:00,True,0,True,,,2020-07-26 08:27:00,2020
222,0,4,False,330,0,active,True,2,330,2020-07-26 05:17:04+00:00,True,9,True,,,2020-07-26 08:27:00,2020
223,0,12,False,331,0,active,True,1,331,2020-07-26 08:11:57+00:00,True,2,True,,,2020-07-26 08:27:00,2020
224,0,12,False,332,0,active,True,2,332,2020-07-26 06:26:27+00:00,True,1,True,,,2020-07-26 08:27:00,2020
225,0,23,False,333,0,active,True,1,333,2020-07-26 02:34:59+00:00,True,1,True,,,2020-07-26 08:27:00,2020
226,0,10,False,334,0,active,True,0,334,2020-07-26 08:11:12+00:00,True,9,True,,,2020-07-26 08:27:00,2020
227,0,14,False,335,0,active,True,1,335,2020-07-26 05:46:07+00:00,True,4,True,,,2020-07-26 08:27:00,2020
228,0,14,False,336,0,active,True,0,336,2020-07-26 00:29:00+00:00,True,1,True,,,2020-07-26 08:27:00,2020
229,0,8,False,337,0,active,True,0,337,2020-07-26 02:15:24+00:00,True,7,True,,,2020-07-26 08:27:00,2020
230,0,5,False,338,0,active,True,0,338,2020-07-26 07:27:54+00:00,True,10,True,,,2020-07-26 08:27:00,2020
231,0,15,False,339,0,active,True,0,339,2020-07-26 00:16:33+00:00,True,0,True,,,2020-07-26 08:27:00,2020
232,0,12,False,340,0,active,True,1,340,2020-07-26 07:06:42+00:00,True,6,True,,,2020-07-26 08:27:00,2020
233,0,5,True,341,0,active,True,0,341,2020-07-26 00:12:43+00:00,True,10,True,,,2020-07-26 08:27:00,2020
234,0,12,False,342,0,active,True,1,342,2020-07-26 08:18:52+00:00,True,2,True,,,2020-07-26 08:27:00,2020
235,0,3,False,343,0,active,True,1,343,2020-07-24 19:59:38+00:00,True,11,True,,,2020-07-26 08:27:00,2020
236,0,3,False,344,0,active,True,0,344,2020-07-26 06:48:45+00:00,True,16,True,,,2020-07-26 08:27:00,2020
237,0,16,False,345,0,active,True,2,345,2020-07-26 05:27:02+00:00,True,1,True,,,2020-07-26 08:27:00,2020
238,0,2,False,346,0,active,True,0,346,2020-07-26 02:30:59+00:00,True,13,True,,,2020-07-26 08:27:00,2020
239,0,5,False,347,0,active,True,0,347,2020-07-25 17:44:05+00:00,True,10,True,,,2020-07-26 08:27:00,2020
240,0,9,False,348,0,active,True,0,348,2020-07-25 20:11:32+00:00,True,6,True,,,2020-07-26 08:27:00,2020
241,0,2,True,349,0,active,True,0,349,2020-07-25 21:50:41+00:00,True,15,True,,,2020-07-26 08:27:00,2020
