,legacy_id,is_returning,eightd_has_available_keys,last_reported,num_bikes_available,station_id,num_ebikes_available,num_docks_disabled,is_renting,num_bikes_disabled,station_status,num_docks_available,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
142,163,True,True,2020-08-06 21:21:31+00:00,7,163,0,0,True,0,active,12,True,,,2020-08-06 21:42:15,2020
143,167,True,False,2020-08-06 21:15:14+00:00,1,167,0,0,True,0,active,14,True,,,2020-08-06 21:42:15,2020
144,169,True,False,2020-08-06 21:40:14+00:00,11,169,0,0,True,2,active,6,True,,,2020-08-06 21:42:15,2020
145,170,True,True,2020-08-06 16:10:57+00:00,2,170,0,0,True,0,active,12,True,,,2020-08-06 21:42:15,2020
146,171,True,True,2020-08-06 21:19:53+00:00,7,171,0,0,True,0,active,16,True,,,2020-08-06 21:42:15,2020
147,173,True,True,2020-08-06 21:37:06+00:00,3,173,0,0,True,0,active,11,True,,,2020-08-06 21:42:15,2020
148,174,True,False,2020-08-06 21:06:31+00:00,1,174,0,0,True,1,active,13,True,,,2020-08-06 21:42:15,2020
149,175,True,True,2020-08-06 21:41:42+00:00,1,175,0,0,True,0,active,16,True,,,2020-08-06 21:42:15,2020
150,176,True,False,2020-08-06 21:14:30+00:00,2,176,0,0,True,0,active,13,True,,,2020-08-06 21:42:15,2020
151,177,True,False,2020-08-06 21:36:18+00:00,16,177,0,0,True,0,active,3,True,,,2020-08-06 21:42:15,2020
152,178,True,False,2020-08-06 21:25:58+00:00,3,178,0,0,True,0,active,16,True,,,2020-08-06 21:42:15,2020
153,179,True,False,2020-08-06 21:33:40+00:00,7,179,0,0,True,0,active,18,True,,,2020-08-06 21:42:15,2020
154,180,True,False,2020-08-06 20:36:09+00:00,12,180,0,0,True,0,active,7,True,,,2020-08-06 21:42:15,2020
155,181,True,False,2020-08-06 20:59:52+00:00,16,181,0,0,True,0,active,3,True,,,2020-08-06 21:42:15,2020
156,182,True,True,2020-08-06 21:17:33+00:00,14,182,0,0,True,0,active,5,True,,,2020-08-06 21:42:15,2020
157,183,True,False,2020-08-06 21:36:33+00:00,6,183,0,0,True,0,active,13,True,,,2020-08-06 21:42:15,2020
158,184,True,False,2020-08-06 21:40:14+00:00,8,184,0,0,True,1,active,10,True,,,2020-08-06 21:42:15,2020
159,185,True,False,2020-08-06 21:21:41+00:00,3,185,0,0,True,0,active,12,True,,,2020-08-06 21:42:15,2020
160,186,True,True,2020-08-06 20:56:24+00:00,13,186,0,0,True,1,active,1,True,,,2020-08-06 21:42:15,2020
161,187,True,False,2020-08-06 20:50:36+00:00,8,187,0,0,True,0,active,7,True,,,2020-08-06 21:42:15,2020
162,188,True,False,2020-08-06 21:41:53+00:00,11,188,0,0,True,0,active,4,True,,,2020-08-06 21:42:15,2020
163,189,True,True,2020-08-06 21:29:23+00:00,20,189,0,0,True,0,active,3,True,,,2020-08-06 21:42:15,2020
164,190,True,True,2020-08-06 21:41:58+00:00,14,190,0,0,True,1,active,22,True,,,2020-08-06 21:42:15,2020
165,191,True,False,2020-08-06 21:35:06+00:00,1,191,0,0,True,0,active,14,True,,,2020-08-06 21:42:15,2020
166,192,True,False,2020-08-06 21:34:33+00:00,12,192,0,0,True,0,active,7,True,,,2020-08-06 21:42:15,2020
167,193,True,True,2020-08-06 21:03:21+00:00,0,193,0,0,True,1,active,14,True,,,2020-08-06 21:42:15,2020
168,194,True,False,2020-08-06 21:05:35+00:00,2,194,0,0,True,0,active,17,True,,,2020-08-06 21:42:15,2020
169,195,True,False,2020-08-06 21:37:28+00:00,4,195,0,0,True,2,active,17,True,,,2020-08-06 21:42:15,2020
170,196,True,True,2020-08-06 21:41:05+00:00,7,196,0,0,True,0,active,3,True,,,2020-08-06 21:42:15,2020
171,197,True,False,2020-08-06 21:18:22+00:00,2,197,0,0,True,0,active,13,True,,,2020-08-06 21:42:15,2020
172,199,True,False,2020-08-06 19:52:44+00:00,4,199,0,0,True,0,active,11,True,,,2020-08-06 21:42:15,2020
173,200,True,False,2020-08-06 21:16:03+00:00,18,200,0,0,True,0,active,1,True,,,2020-08-06 21:42:15,2020
174,201,True,False,2020-08-06 19:37:33+00:00,4,201,0,0,True,0,active,11,True,,,2020-08-06 21:42:15,2020
175,202,True,False,2020-08-06 18:06:51+00:00,7,202,0,0,True,0,active,8,True,,,2020-08-06 21:42:15,2020
176,203,True,False,2020-08-06 08:26:46+00:00,5,203,0,0,True,0,active,10,True,,,2020-08-06 21:42:15,2020
177,204,True,False,2020-08-06 21:23:49+00:00,5,204,0,0,True,1,active,9,True,,,2020-08-06 21:42:15,2020
178,205,True,False,2020-08-06 17:14:06+00:00,9,205,0,0,True,0,active,6,True,,,2020-08-06 21:42:15,2020
179,206,True,True,2020-08-06 21:24:48+00:00,9,206,0,0,True,0,active,14,True,,,2020-08-06 21:42:15,2020
180,208,True,True,2020-08-06 18:59:26+00:00,13,208,0,0,True,0,active,2,True,,,2020-08-06 21:42:15,2020
181,209,True,False,2020-08-06 21:37:19+00:00,7,209,0,0,True,0,active,8,True,,,2020-08-06 21:42:15,2020
182,210,True,False,2020-08-06 19:03:58+00:00,2,210,0,0,True,0,active,13,True,,,2020-08-06 21:42:15,2020
183,211,True,False,2020-08-06 21:26:33+00:00,12,211,0,0,True,0,active,7,True,,,2020-08-06 21:42:15,2020
184,212,True,False,2020-08-06 20:53:17+00:00,17,212,0,0,True,1,active,15,True,,,2020-08-06 21:42:15,2020
185,213,True,True,2020-08-06 21:08:21+00:00,9,213,0,0,True,0,active,7,True,,,2020-08-06 21:42:15,2020
186,214,True,False,2020-08-06 21:35:57+00:00,4,214,0,0,True,0,active,11,True,,,2020-08-06 21:42:15,2020
187,215,True,False,2020-08-06 21:23:46+00:00,10,215,0,0,True,0,active,5,True,,,2020-08-06 21:42:15,2020
188,216,True,False,2020-08-06 08:37:47+00:00,17,216,0,0,True,0,active,2,True,,,2020-08-06 21:42:15,2020
189,217,True,False,2020-08-06 20:44:37+00:00,18,217,0,0,True,0,active,1,True,,,2020-08-06 21:42:15,2020
190,218,True,False,2020-08-06 21:40:31+00:00,9,218,0,0,True,0,active,6,True,,,2020-08-06 21:42:15,2020
191,219,True,False,2020-08-06 20:32:55+00:00,13,219,0,0,True,0,active,2,True,,,2020-08-06 21:42:15,2020
192,221,True,False,2020-08-06 21:27:53+00:00,10,221,0,0,True,0,active,9,True,,,2020-08-06 21:42:15,2020
193,222,True,True,2020-08-06 21:34:44+00:00,1,222,0,0,True,0,active,13,True,,,2020-08-06 21:42:15,2020
194,224,True,False,2020-08-06 21:39:46+00:00,7,224,0,0,True,1,active,9,True,,,2020-08-06 21:42:15,2020
195,225,True,False,2020-08-06 21:30:42+00:00,5,225,0,0,True,0,active,14,True,,,2020-08-06 21:42:15,2020
196,226,True,False,2020-08-06 21:35:06+00:00,1,226,0,0,True,0,active,14,True,,,2020-08-06 21:42:15,2020
197,227,True,False,2020-08-06 21:38:50+00:00,6,227,0,0,True,1,active,12,True,,,2020-08-06 21:42:15,2020
