,station_status,legacy_id,num_docks_available,num_bikes_disabled,station_id,num_docks_disabled,is_returning,is_renting,num_bikes_available,is_installed,eightd_has_available_keys,last_reported,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
201,active,234,13,0,234,0,True,True,2,True,False,2020-08-21 21:17:04+00:00,0,,,2020-08-21 21:18:25,2020
202,active,235,8,0,235,0,True,True,7,True,False,2020-08-21 20:40:05+00:00,0,,,2020-08-21 21:18:25,2020
203,active,236,2,0,236,0,True,True,13,True,False,2020-08-21 21:13:22+00:00,0,,,2020-08-21 21:18:25,2020
204,active,239,13,1,239,0,True,True,1,True,False,2020-08-21 21:09:19+00:00,0,,,2020-08-21 21:18:25,2020
205,active,255,10,0,255,0,True,True,5,True,False,2020-08-21 18:57:17+00:00,0,,,2020-08-21 21:18:25,2020
206,active,258,3,0,258,0,True,True,12,True,False,2020-08-21 19:20:54+00:00,0,,,2020-08-21 21:18:25,2020
207,active,259,7,0,259,0,True,True,8,True,False,2020-08-21 17:58:41+00:00,0,,,2020-08-21 21:18:25,2020
208,active,260,11,0,260,0,True,True,4,True,False,2020-08-21 21:00:49+00:00,0,,,2020-08-21 21:18:25,2020
209,active,271,11,0,271,0,True,True,4,True,False,2020-08-21 20:45:00+00:00,0,,,2020-08-21 21:18:25,2020
210,active,272,10,0,272,0,True,True,9,True,False,2020-08-21 20:22:33+00:00,0,,,2020-08-21 21:18:25,2020
211,active,273,11,0,273,0,True,True,29,True,False,2020-08-21 21:16:46+00:00,0,,,2020-08-21 21:18:25,2020
212,active,279,1,0,279,0,True,True,18,True,False,2020-08-21 20:36:01+00:00,0,,,2020-08-21 21:18:25,2020
213,active,280,4,0,280,0,True,True,15,True,False,2020-08-21 20:48:11+00:00,0,,,2020-08-21 21:18:25,2020
214,active,282,6,0,282,0,True,True,9,True,False,2020-08-21 20:57:01+00:00,0,,,2020-08-21 21:18:25,2020
215,active,296,15,1,296,0,True,True,7,True,False,2020-08-21 21:06:58+00:00,0,,,2020-08-21 21:18:25,2020
216,active,318,9,0,318,0,True,True,10,True,False,2020-08-21 21:18:16+00:00,0,,,2020-08-21 21:18:25,2020
217,active,319,23,0,319,0,True,True,2,True,False,2020-08-21 18:10:26+00:00,0,,,2020-08-21 21:18:25,2020
218,active,327,9,0,327,0,True,True,6,True,False,2020-08-21 20:53:41+00:00,0,,,2020-08-21 21:18:25,2020
219,active,328,5,0,328,0,True,True,10,True,False,2020-08-21 20:40:49+00:00,0,,,2020-08-21 21:18:25,2020
220,active,329,8,0,329,0,True,True,7,True,False,2020-08-21 21:07:54+00:00,0,,,2020-08-21 21:18:25,2020
221,active,330,7,0,330,0,True,True,8,True,False,2020-08-21 21:16:23+00:00,0,,,2020-08-21 21:18:25,2020
222,active,331,2,0,331,0,True,True,13,True,False,2020-08-21 21:14:10+00:00,0,,,2020-08-21 21:18:25,2020
223,active,332,15,0,332,0,True,True,0,True,False,2020-08-21 20:32:08+00:00,0,,,2020-08-21 21:18:25,2020
224,active,333,4,0,333,0,True,True,21,True,False,2020-08-21 21:07:24+00:00,0,,,2020-08-21 21:18:25,2020
225,active,334,6,0,334,0,True,True,13,True,False,2020-08-21 21:07:00+00:00,0,,,2020-08-21 21:18:25,2020
226,active,335,13,0,335,0,True,True,6,True,False,2020-08-21 21:05:27+00:00,0,,,2020-08-21 21:18:25,2020
227,active,336,13,0,336,0,True,True,2,True,False,2020-08-21 20:13:54+00:00,0,,,2020-08-21 21:18:25,2020
228,active,337,1,0,337,0,True,True,14,True,False,2020-08-21 20:26:39+00:00,0,,,2020-08-21 21:18:25,2020
229,active,338,13,0,338,0,True,True,2,True,False,2020-08-21 21:08:01+00:00,0,,,2020-08-21 21:18:25,2020
230,active,339,0,0,339,0,True,True,15,True,False,2020-08-21 11:39:52+00:00,0,,,2020-08-21 21:18:25,2020
231,active,340,4,0,340,0,True,True,15,True,False,2020-08-21 08:56:34+00:00,0,,,2020-08-21 21:18:25,2020
