,is_renting,num_bikes_disabled,station_id,last_reported,num_ebikes_available,num_docks_disabled,is_returning,legacy_id,num_docks_available,station_status,eightd_has_available_keys,num_bikes_available,is_installed,timestamp_of_data_read_request,year_station_last_reported
266,True,1,376,2020-08-12 22:48:13+00:00,0,0,True,376,4,active,False,10,True,2020-08-12 23:20:25,2020
267,True,0,377,2020-08-12 23:18:52+00:00,0,0,True,377,7,active,False,12,True,2020-08-12 23:20:25,2020
268,True,1,378,2020-08-12 23:05:56+00:00,0,0,True,378,10,active,False,8,True,2020-08-12 23:20:25,2020
269,True,0,379,2020-08-12 23:18:58+00:00,0,0,True,379,6,active,False,9,True,2020-08-12 23:20:25,2020
270,True,0,380,2020-08-12 23:11:26+00:00,0,0,True,380,17,active,False,1,True,2020-08-12 23:20:25,2020
271,True,0,381,2020-08-12 23:08:16+00:00,0,0,True,381,7,active,False,12,True,2020-08-12 23:20:25,2020
272,True,0,384,2020-08-12 23:03:13+00:00,0,0,True,384,15,active,True,4,True,2020-08-12 23:20:25,2020
273,True,1,385,2020-08-12 21:54:28+00:00,0,1,True,385,12,active,False,1,True,2020-08-12 23:20:25,2020
274,True,0,386,2020-08-12 23:11:33+00:00,0,0,True,386,15,active,False,4,True,2020-08-12 23:20:25,2020
275,True,1,387,2020-08-12 23:05:05+00:00,0,0,True,387,5,active,False,9,True,2020-08-12 23:20:25,2020
276,True,0,388,2020-08-12 08:57:42+00:00,0,0,True,388,7,active,False,4,True,2020-08-12 23:20:25,2020
277,True,0,389,2020-08-12 19:51:34+00:00,0,0,True,389,3,active,False,11,True,2020-08-12 23:20:25,2020
278,True,0,390,2020-08-12 19:23:05+00:00,0,0,True,390,1,active,False,14,True,2020-08-12 23:20:25,2020
279,True,0,391,2020-08-12 21:20:47+00:00,0,0,True,391,2,active,False,13,True,2020-08-12 23:20:25,2020
280,True,0,392,2020-08-12 19:41:13+00:00,0,0,True,392,9,active,False,6,True,2020-08-12 23:20:25,2020
281,True,1,393,2020-08-12 15:19:15+00:00,0,0,True,393,8,active,False,6,True,2020-08-12 23:20:25,2020
282,True,0,394,2020-08-12 08:58:35+00:00,0,0,True,394,12,active,False,2,True,2020-08-12 23:20:25,2020
283,True,0,395,2020-08-12 15:00:11+00:00,0,0,True,395,5,active,False,10,True,2020-08-12 23:20:25,2020
284,True,0,396,2020-08-12 08:58:34+00:00,0,0,True,396,3,active,False,12,True,2020-08-12 23:20:25,2020
285,True,0,397,2020-08-12 22:11:10+00:00,0,0,True,397,7,active,False,8,True,2020-08-12 23:20:25,2020
286,True,0,398,2020-08-12 22:41:17+00:00,0,0,True,398,9,active,False,10,True,2020-08-12 23:20:25,2020
287,True,0,399,2020-08-12 23:14:54+00:00,0,0,True,399,10,active,False,5,True,2020-08-12 23:20:25,2020
288,True,0,400,2020-08-12 22:33:21+00:00,0,0,True,400,20,active,False,7,True,2020-08-12 23:20:25,2020
289,True,0,401,2020-08-12 23:04:23+00:00,0,0,True,401,14,active,False,1,True,2020-08-12 23:20:25,2020
290,True,0,402,2020-08-12 22:28:41+00:00,0,0,True,402,7,active,False,8,True,2020-08-12 23:20:25,2020
291,True,1,403,2020-08-12 22:55:17+00:00,0,0,True,403,10,active,False,4,True,2020-08-12 23:20:25,2020
292,True,0,404,2020-08-12 23:19:55+00:00,0,0,True,404,12,active,False,4,True,2020-08-12 23:20:25,2020
293,True,0,405,2020-08-12 22:59:17+00:00,0,0,True,405,10,active,False,9,True,2020-08-12 23:20:25,2020
294,True,0,406,2020-08-12 22:49:59+00:00,0,0,True,406,2,active,False,17,True,2020-08-12 23:20:25,2020
295,True,1,407,2020-08-12 22:48:56+00:00,0,0,True,407,16,active,False,2,True,2020-08-12 23:20:25,2020
296,True,0,408,2020-08-12 23:09:05+00:00,0,0,True,408,11,active,False,4,True,2020-08-12 23:20:25,2020
297,True,0,409,2020-08-12 22:58:26+00:00,0,0,True,409,0,active,False,19,True,2020-08-12 23:20:25,2020
298,True,0,410,2020-08-12 21:44:09+00:00,0,0,True,410,10,active,False,9,True,2020-08-12 23:20:25,2020
299,True,1,411,2020-08-12 22:49:17+00:00,0,0,True,411,11,active,False,3,True,2020-08-12 23:20:25,2020
300,True,1,412,2020-08-12 23:17:51+00:00,0,0,True,412,5,active,False,13,True,2020-08-12 23:20:25,2020
301,True,0,413,2020-08-12 23:12:47+00:00,0,0,True,413,14,active,False,5,True,2020-08-12 23:20:25,2020
302,True,0,414,2020-08-12 20:29:07+00:00,0,0,True,414,23,active,False,0,True,2020-08-12 23:20:25,2020
303,True,2,415,2020-08-12 23:10:01+00:00,0,0,True,415,10,active,False,7,True,2020-08-12 23:20:25,2020
304,True,0,416,2020-08-12 23:05:49+00:00,0,0,True,416,14,active,False,1,True,2020-08-12 23:20:25,2020
305,True,0,417,2020-08-12 22:51:25+00:00,0,0,True,417,0,active,False,19,True,2020-08-12 23:20:25,2020
306,True,0,419,2020-08-12 19:59:20+00:00,0,0,True,419,2,active,False,13,True,2020-08-12 23:20:25,2020
307,False,0,420,1970-01-02 00:00:00+00:00,0,0,False,420,0,out_of_service,False,0,False,2020-08-12 23:20:25,1970
308,True,0,421,2020-08-12 15:32:38+00:00,0,0,True,421,5,active,False,14,True,2020-08-12 23:20:25,2020
309,True,0,422,2020-08-12 22:58:55+00:00,0,0,True,422,12,active,False,3,True,2020-08-12 23:20:25,2020
310,True,0,423,2020-08-12 16:21:54+00:00,0,0,True,423,16,active,False,3,True,2020-08-12 23:20:25,2020
311,True,0,424,2020-08-12 22:18:20+00:00,0,0,True,424,13,active,False,6,True,2020-08-12 23:20:25,2020
312,True,0,425,2020-08-12 22:43:29+00:00,0,0,True,425,13,active,False,3,True,2020-08-12 23:20:25,2020
313,True,0,426,2020-08-12 22:43:49+00:00,0,0,True,426,23,active,False,4,True,2020-08-12 23:20:25,2020
314,True,0,427,2020-08-12 17:36:02+00:00,0,0,True,427,13,active,False,6,True,2020-08-12 23:20:25,2020
315,True,0,428,2020-08-12 23:18:33+00:00,0,0,True,428,0,active,False,19,True,2020-08-12 23:20:25,2020
316,True,0,430,2020-08-12 22:52:47+00:00,0,0,True,430,4,active,False,15,True,2020-08-12 23:20:25,2020
317,True,0,431,2020-08-12 19:51:22+00:00,0,0,True,431,12,active,False,3,True,2020-08-12 23:20:25,2020
318,True,0,432,2020-08-12 22:22:28+00:00,0,0,True,432,10,active,False,9,True,2020-08-12 23:20:25,2020
319,True,0,433,2020-08-12 08:57:31+00:00,0,0,True,433,18,active,False,1,True,2020-08-12 23:20:25,2020
320,True,0,434,2020-08-12 21:19:52+00:00,0,0,True,434,19,active,False,0,True,2020-08-12 23:20:25,2020
321,True,0,435,2020-08-12 23:07:50+00:00,0,0,True,435,8,active,False,7,True,2020-08-12 23:20:25,2020
322,True,0,436,2020-08-12 22:05:35+00:00,0,0,True,436,11,active,False,4,True,2020-08-12 23:20:25,2020
323,True,1,437,2020-08-12 23:10:41+00:00,0,0,True,437,11,active,False,7,True,2020-08-12 23:20:25,2020
324,True,0,440,2020-08-12 23:14:13+00:00,0,0,True,440,11,active,False,6,True,2020-08-12 23:20:25,2020
325,True,0,441,2020-08-12 21:26:16+00:00,0,0,True,441,3,active,False,16,True,2020-08-12 23:20:25,2020
326,True,1,442,2020-08-12 22:13:59+00:00,0,0,True,442,2,active,False,12,True,2020-08-12 23:20:25,2020
327,True,0,443,2020-08-12 23:06:03+00:00,0,0,True,443,14,active,False,5,True,2020-08-12 23:20:25,2020
328,True,0,445,2020-08-12 23:00:59+00:00,0,0,True,445,11,active,False,8,True,2020-08-12 23:20:25,2020
329,True,0,446,2020-08-12 23:00:09+00:00,0,0,True,446,1,active,False,11,True,2020-08-12 23:20:25,2020
330,True,0,447,2020-08-12 22:39:48+00:00,0,0,True,447,18,active,False,1,True,2020-08-12 23:20:25,2020
331,True,0,448,2020-08-12 21:56:06+00:00,0,0,True,448,8,active,False,3,True,2020-08-12 23:20:25,2020
332,True,0,449,1970-01-02 00:00:00+00:00,0,0,True,449,0,out_of_service,False,0,False,2020-08-12 23:20:25,1970
333,True,0,450,2020-08-12 22:59:39+00:00,0,0,True,450,6,active,False,9,True,2020-08-12 23:20:25,2020
334,True,0,451,2020-08-12 23:04:22+00:00,0,0,True,451,7,active,False,8,True,2020-08-12 23:20:25,2020
335,True,0,452,2020-08-12 23:02:38+00:00,0,0,True,452,8,active,False,7,True,2020-08-12 23:20:25,2020
336,True,1,453,2020-08-12 23:10:16+00:00,0,0,True,453,14,active,False,0,True,2020-08-12 23:20:25,2020
337,True,0,454,2020-08-12 22:50:10+00:00,0,0,True,454,6,active,False,9,True,2020-08-12 23:20:25,2020
338,True,1,455,2020-08-12 15:54:30+00:00,0,0,True,455,10,active,False,1,True,2020-08-12 23:20:25,2020
339,True,1,456,2020-08-12 23:13:39+00:00,0,0,True,456,10,active,False,8,True,2020-08-12 23:20:25,2020
340,True,0,457,2020-08-12 22:47:47+00:00,0,0,True,457,9,active,False,2,True,2020-08-12 23:20:25,2020
341,True,1,458,2020-08-12 18:43:37+00:00,0,0,True,458,5,active,False,5,True,2020-08-12 23:20:25,2020
