,is_returning,num_bikes_available,station_status,eightd_has_available_keys,num_docks_disabled,station_id,num_bikes_disabled,num_docks_available,is_renting,legacy_id,num_ebikes_available,last_reported,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
195,True,3,active,False,0,225,0,16,True,225,0,2020-08-13 22:11:19+00:00,True,,,2020-08-13 22:19:30,2020
196,True,0,active,False,0,226,0,15,True,226,0,2020-08-13 22:10:46+00:00,True,,,2020-08-13 22:19:30,2020
197,True,9,active,False,0,227,3,7,True,227,0,2020-08-13 22:16:35+00:00,True,,,2020-08-13 22:19:30,2020
198,True,6,active,False,0,228,0,13,True,228,0,2020-08-13 21:56:48+00:00,True,,,2020-08-13 22:19:30,2020
199,True,7,active,False,0,232,0,4,True,232,0,2020-08-13 03:23:26+00:00,True,,,2020-08-13 22:19:30,2020
200,True,12,active,False,0,233,0,3,True,233,0,2020-08-13 22:10:13+00:00,True,,,2020-08-13 22:19:30,2020
201,True,2,active,False,0,234,0,13,True,234,0,2020-08-13 20:50:39+00:00,True,,,2020-08-13 22:19:30,2020
202,True,7,active,False,0,235,0,8,True,235,0,2020-08-13 21:34:16+00:00,True,,,2020-08-13 22:19:30,2020
203,True,15,active,False,0,236,0,0,True,236,0,2020-08-13 22:05:55+00:00,True,,,2020-08-13 22:19:30,2020
204,True,6,active,False,0,239,0,9,True,239,0,2020-08-13 22:04:40+00:00,True,,,2020-08-13 22:19:30,2020
205,True,10,active,False,0,255,0,5,True,255,0,2020-08-13 12:33:28+00:00,True,,,2020-08-13 22:19:30,2020
206,True,13,active,False,0,258,0,2,True,258,0,2020-08-13 21:23:48+00:00,True,,,2020-08-13 22:19:30,2020
207,True,14,active,False,0,259,0,1,True,259,0,2020-08-13 18:35:59+00:00,True,,,2020-08-13 22:19:30,2020
208,True,14,active,False,0,260,0,1,True,260,0,2020-08-13 22:09:18+00:00,True,,,2020-08-13 22:19:30,2020
209,True,9,active,False,0,271,0,6,True,271,0,2020-08-13 19:07:23+00:00,True,,,2020-08-13 22:19:30,2020
210,True,8,active,False,0,272,1,10,True,272,0,2020-08-13 19:51:34+00:00,True,,,2020-08-13 22:19:30,2020
211,True,19,active,False,0,273,0,21,True,273,0,2020-08-13 22:05:10+00:00,True,,,2020-08-13 22:19:30,2020
212,True,18,active,False,0,279,0,1,True,279,0,2020-08-13 22:12:07+00:00,True,,,2020-08-13 22:19:30,2020
213,True,7,active,False,0,280,1,11,True,280,0,2020-08-13 22:10:44+00:00,True,,,2020-08-13 22:19:30,2020
214,True,7,active,False,0,282,1,7,True,282,0,2020-08-13 22:11:19+00:00,True,,,2020-08-13 22:19:30,2020
215,True,11,active,False,0,296,0,12,True,296,0,2020-08-13 22:11:35+00:00,True,,,2020-08-13 22:19:30,2020
216,True,3,active,False,0,318,1,15,True,318,0,2020-08-13 22:05:57+00:00,True,,,2020-08-13 22:19:30,2020
217,True,2,active,False,0,319,0,23,True,319,0,2020-08-13 22:11:09+00:00,True,,,2020-08-13 22:19:30,2020
218,True,4,active,False,0,327,0,11,True,327,0,2020-08-13 22:10:27+00:00,True,,,2020-08-13 22:19:30,2020
219,True,10,active,False,0,328,2,3,True,328,0,2020-08-13 22:08:54+00:00,True,,,2020-08-13 22:19:30,2020
220,True,11,active,False,0,329,1,3,True,329,0,2020-08-13 21:52:23+00:00,True,,,2020-08-13 22:19:30,2020
221,True,7,active,False,0,330,0,8,True,330,0,2020-08-13 22:18:22+00:00,True,,,2020-08-13 22:19:30,2020
222,True,0,active,False,0,331,1,14,True,331,0,2020-08-13 22:16:22+00:00,True,,,2020-08-13 22:19:30,2020
223,True,1,active,False,0,332,1,13,True,332,0,2020-08-13 22:04:01+00:00,True,,,2020-08-13 22:19:30,2020
224,True,19,active,False,0,333,0,6,True,333,0,2020-08-13 22:15:42+00:00,True,,,2020-08-13 22:19:30,2020
225,True,10,active,False,0,334,2,7,True,334,0,2020-08-13 22:15:23+00:00,True,,,2020-08-13 22:19:30,2020
226,True,1,active,False,0,335,0,18,True,335,0,2020-08-13 22:19:24+00:00,True,,,2020-08-13 22:19:30,2020
227,True,5,active,False,0,336,0,10,True,336,0,2020-08-13 16:28:17+00:00,True,,,2020-08-13 22:19:30,2020
228,True,10,active,False,0,337,0,5,True,337,0,2020-08-13 21:58:46+00:00,True,,,2020-08-13 22:19:30,2020
229,True,6,active,False,0,338,1,8,True,338,0,2020-08-13 21:51:45+00:00,True,,,2020-08-13 22:19:30,2020
230,True,14,active,False,0,339,0,1,True,339,0,2020-08-13 22:16:05+00:00,True,,,2020-08-13 22:19:30,2020
231,True,19,active,False,0,340,0,0,True,340,0,2020-08-13 21:33:16+00:00,True,,,2020-08-13 22:19:30,2020
232,True,13,active,True,0,341,1,1,True,341,0,2020-08-13 18:27:50+00:00,True,,,2020-08-13 22:19:30,2020
233,True,5,active,False,0,342,1,9,True,342,0,2020-08-13 22:16:32+00:00,True,,,2020-08-13 22:19:30,2020
234,True,4,active,False,0,343,0,11,True,343,0,2020-08-13 04:04:08+00:00,True,,,2020-08-13 22:19:30,2020
235,True,2,active,False,0,344,0,17,True,344,0,2020-08-13 21:42:07+00:00,True,,,2020-08-13 22:19:30,2020
236,True,8,active,False,0,345,1,10,True,345,0,2020-08-13 22:14:30+00:00,True,,,2020-08-13 22:19:30,2020
237,True,2,active,False,0,346,0,13,True,346,0,2020-08-13 22:17:38+00:00,True,,,2020-08-13 22:19:30,2020
238,True,11,active,False,0,347,0,4,True,347,0,2020-08-13 19:13:37+00:00,True,,,2020-08-13 22:19:30,2020
239,True,2,active,False,0,348,1,12,True,348,0,2020-08-13 22:14:09+00:00,True,,,2020-08-13 22:19:30,2020
240,True,5,active,True,0,349,1,11,True,349,0,2020-08-13 21:53:02+00:00,True,,,2020-08-13 22:19:30,2020
241,True,14,active,False,0,350,0,3,True,350,0,2020-08-13 19:02:49+00:00,True,,,2020-08-13 22:19:30,2020
242,True,4,active,False,0,351,0,11,True,351,0,2020-08-13 19:50:19+00:00,True,,,2020-08-13 22:19:30,2020
243,True,10,active,False,0,352,0,5,True,352,0,2020-08-13 22:15:55+00:00,True,,,2020-08-13 22:19:30,2020
244,True,7,active,True,0,353,0,8,True,353,0,2020-08-13 03:26:30+00:00,True,,,2020-08-13 22:19:30,2020
245,True,6,active,False,0,354,1,8,True,354,0,2020-08-13 22:17:56+00:00,True,,,2020-08-13 22:19:30,2020
246,True,8,active,False,0,355,0,9,True,355,0,2020-08-13 22:17:14+00:00,True,,,2020-08-13 22:19:30,2020
247,True,23,active,False,0,356,0,0,True,356,0,2020-08-13 21:57:23+00:00,True,,,2020-08-13 22:19:30,2020
248,True,4,active,False,0,357,0,11,True,357,0,2020-08-13 22:14:27+00:00,True,,,2020-08-13 22:19:30,2020
249,True,15,active,False,0,358,0,4,True,358,0,2020-08-13 22:04:37+00:00,True,,,2020-08-13 22:19:30,2020
250,True,1,active,False,0,359,0,14,True,359,0,2020-08-13 22:15:37+00:00,True,,,2020-08-13 22:19:30,2020
251,True,7,active,False,0,360,0,8,True,360,0,2020-08-13 22:08:31+00:00,True,,,2020-08-13 22:19:30,2020
252,True,16,active,False,0,361,0,3,True,361,0,2020-08-13 22:14:56+00:00,True,,,2020-08-13 22:19:30,2020
253,True,11,active,False,0,362,1,7,True,362,0,2020-08-13 22:08:07+00:00,True,,,2020-08-13 22:19:30,2020
254,True,9,active,False,0,363,0,10,True,363,0,2020-08-13 22:12:09+00:00,True,,,2020-08-13 22:19:30,2020
255,True,19,active,False,0,364,0,0,True,364,0,2020-08-13 21:57:19+00:00,True,,,2020-08-13 22:19:30,2020
256,True,7,active,False,0,365,0,12,True,365,0,2020-08-13 22:15:29+00:00,True,,,2020-08-13 22:19:30,2020
257,True,4,active,False,0,366,0,11,True,366,0,2020-08-13 22:15:43+00:00,True,,,2020-08-13 22:19:30,2020
258,True,10,active,False,0,367,0,9,True,367,0,2020-08-13 19:44:26+00:00,True,,,2020-08-13 22:19:30,2020
259,True,8,active,False,0,368,1,6,True,368,0,2020-08-13 21:52:24+00:00,True,,,2020-08-13 22:19:30,2020
260,True,6,active,False,0,369,0,9,True,369,0,2020-08-13 22:09:19+00:00,True,,,2020-08-13 22:19:30,2020
261,True,15,active,False,0,370,0,4,True,370,0,2020-08-13 22:06:52+00:00,True,,,2020-08-13 22:19:30,2020
262,True,8,active,False,0,371,0,11,True,371,0,2020-08-13 22:14:04+00:00,True,,,2020-08-13 22:19:30,2020
263,True,13,active,False,0,372,0,6,True,372,0,2020-08-13 22:14:13+00:00,True,,,2020-08-13 22:19:30,2020
264,True,9,active,False,0,373,0,6,True,373,0,2020-08-13 17:31:27+00:00,True,,,2020-08-13 22:19:30,2020
265,True,5,active,False,0,374,0,14,True,374,0,2020-08-13 22:17:39+00:00,True,,,2020-08-13 22:19:30,2020
266,True,6,active,False,0,376,1,8,True,376,0,2020-08-13 21:57:30+00:00,True,,,2020-08-13 22:19:30,2020
267,True,12,active,False,0,377,0,7,True,377,0,2020-08-13 22:11:00+00:00,True,,,2020-08-13 22:19:30,2020
268,True,3,active,False,0,378,1,15,True,378,0,2020-08-13 22:17:25+00:00,True,,,2020-08-13 22:19:30,2020
269,True,11,active,False,0,379,0,4,True,379,0,2020-08-13 22:08:59+00:00,True,,,2020-08-13 22:19:30,2020
270,True,0,active,False,0,380,2,16,True,380,0,2020-08-13 22:18:41+00:00,True,,,2020-08-13 22:19:30,2020
271,True,8,active,False,0,381,0,11,True,381,0,2020-08-13 22:01:04+00:00,True,,,2020-08-13 22:19:30,2020
272,True,10,active,True,0,384,0,9,True,384,0,2020-08-13 22:01:40+00:00,True,,,2020-08-13 22:19:30,2020
273,True,0,active,False,1,385,1,13,True,385,0,2020-08-13 21:54:38+00:00,True,,,2020-08-13 22:19:30,2020
274,True,9,active,False,0,386,0,10,True,386,0,2020-08-13 22:07:18+00:00,True,,,2020-08-13 22:19:30,2020
275,True,13,active,False,0,387,1,1,True,387,0,2020-08-13 21:58:38+00:00,True,,,2020-08-13 22:19:30,2020
276,True,4,active,False,0,388,0,7,True,388,0,2020-08-13 03:25:23+00:00,True,,,2020-08-13 22:19:30,2020
277,True,13,active,False,0,389,0,1,True,389,0,2020-08-13 18:09:39+00:00,True,,,2020-08-13 22:19:30,2020
278,True,12,active,False,0,390,1,2,True,390,0,2020-08-13 21:13:06+00:00,True,,,2020-08-13 22:19:30,2020
279,True,11,active,False,0,391,0,4,True,391,0,2020-08-13 21:33:54+00:00,True,,,2020-08-13 22:19:30,2020
280,True,5,active,False,0,392,0,10,True,392,0,2020-08-13 14:33:25+00:00,True,,,2020-08-13 22:19:30,2020
281,True,6,active,False,0,393,1,8,True,393,0,2020-08-13 21:53:06+00:00,True,,,2020-08-13 22:19:30,2020
282,True,1,active,False,0,394,0,13,True,394,0,2020-08-13 07:51:20+00:00,True,,,2020-08-13 22:19:30,2020
283,True,11,active,False,0,395,0,4,True,395,0,2020-08-13 21:46:42+00:00,True,,,2020-08-13 22:19:30,2020
284,True,7,active,False,0,396,0,8,True,396,0,2020-08-13 20:28:20+00:00,True,,,2020-08-13 22:19:30,2020
285,True,8,active,False,0,397,0,7,True,397,0,2020-08-13 20:39:34+00:00,True,,,2020-08-13 22:19:30,2020
