,num_bikes_available,is_installed,is_returning,station_status,legacy_id,last_reported,is_renting,num_ebikes_available,station_id,num_docks_disabled,num_bikes_disabled,num_docks_available,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
213,7,True,True,active,280,2020-08-10 21:25:06+00:00,True,0,280,0,0,12,False,,,2020-08-10 21:26:40,2020
214,5,True,True,active,282,2020-08-10 21:26:09+00:00,True,0,282,0,2,8,False,,,2020-08-10 21:26:40,2020
215,10,True,True,active,296,2020-08-10 21:21:31+00:00,True,0,296,0,1,12,False,,,2020-08-10 21:26:40,2020
216,10,True,True,active,318,2020-08-10 21:24:56+00:00,True,0,318,0,0,9,False,,,2020-08-10 21:26:40,2020
217,5,True,True,active,319,2020-08-10 20:59:43+00:00,True,0,319,0,0,20,False,,,2020-08-10 21:26:40,2020
218,13,True,True,active,327,2020-08-10 21:09:19+00:00,True,0,327,0,0,2,False,,,2020-08-10 21:26:40,2020
219,7,True,True,active,328,2020-08-10 21:16:02+00:00,True,0,328,0,0,8,False,,,2020-08-10 21:26:40,2020
220,3,True,True,active,329,2020-08-10 21:17:53+00:00,True,0,329,0,0,12,False,,,2020-08-10 21:26:40,2020
221,10,True,True,active,330,2020-08-10 21:04:30+00:00,True,0,330,0,0,5,False,,,2020-08-10 21:26:40,2020
222,5,True,True,active,331,2020-08-10 21:12:28+00:00,True,0,331,0,0,10,False,,,2020-08-10 21:26:40,2020
223,4,True,True,active,332,2020-08-10 21:25:39+00:00,True,0,332,0,0,11,False,,,2020-08-10 21:26:40,2020
224,22,True,True,active,333,2020-08-10 20:06:37+00:00,True,0,333,0,0,3,False,,,2020-08-10 21:26:40,2020
225,17,True,True,active,334,2020-08-10 21:11:31+00:00,True,0,334,0,0,2,False,,,2020-08-10 21:26:40,2020
226,17,True,True,active,335,2020-08-10 21:23:15+00:00,True,0,335,0,0,2,False,,,2020-08-10 21:26:40,2020
227,12,True,True,active,336,2020-08-10 18:05:36+00:00,True,0,336,0,2,1,False,,,2020-08-10 21:26:40,2020
228,11,True,True,active,337,2020-08-10 19:59:12+00:00,True,0,337,0,0,4,False,,,2020-08-10 21:26:40,2020
229,2,True,True,active,338,2020-08-10 21:18:20+00:00,True,0,338,0,0,13,False,,,2020-08-10 21:26:40,2020
230,7,True,True,active,339,2020-08-10 15:22:34+00:00,True,0,339,0,0,8,False,,,2020-08-10 21:26:40,2020
231,18,True,True,active,340,2020-08-10 11:22:16+00:00,True,0,340,0,0,1,False,,,2020-08-10 21:26:40,2020
232,3,True,True,active,341,2020-08-10 18:47:06+00:00,True,0,341,0,0,12,True,,,2020-08-10 21:26:40,2020
233,3,True,True,active,342,2020-08-10 21:25:45+00:00,True,0,342,0,0,12,False,,,2020-08-10 21:26:40,2020
234,6,True,True,active,343,2020-08-10 04:41:14+00:00,True,0,343,0,0,9,False,,,2020-08-10 21:26:40,2020
235,2,True,True,active,344,2020-08-10 19:49:33+00:00,True,0,344,0,0,17,False,,,2020-08-10 21:26:40,2020
236,15,True,True,active,345,2020-08-10 21:01:05+00:00,True,0,345,0,2,2,False,,,2020-08-10 21:26:40,2020
237,2,True,True,active,346,2020-08-10 20:48:24+00:00,True,0,346,0,0,13,False,,,2020-08-10 21:26:40,2020
238,12,True,True,active,347,2020-08-10 18:56:34+00:00,True,0,347,0,0,3,False,,,2020-08-10 21:26:40,2020
239,5,True,True,active,348,2020-08-10 08:46:32+00:00,True,0,348,0,1,9,False,,,2020-08-10 21:26:40,2020
240,6,True,True,active,349,2020-08-10 19:42:03+00:00,True,0,349,0,0,11,True,,,2020-08-10 21:26:40,2020
241,13,True,True,active,350,2020-08-10 19:23:29+00:00,True,0,350,0,0,4,False,,,2020-08-10 21:26:40,2020
242,8,True,True,active,351,2020-08-10 20:11:27+00:00,True,0,351,0,0,7,False,,,2020-08-10 21:26:40,2020
243,6,True,True,active,352,2020-08-10 21:13:19+00:00,True,0,352,0,0,9,False,,,2020-08-10 21:26:40,2020
244,5,True,True,active,353,2020-08-10 15:45:32+00:00,True,0,353,0,0,10,True,,,2020-08-10 21:26:40,2020
245,0,True,True,active,354,2020-08-10 21:20:03+00:00,True,0,354,0,1,14,False,,,2020-08-10 21:26:40,2020
246,14,True,True,active,355,2020-08-10 20:31:09+00:00,True,0,355,0,0,3,False,,,2020-08-10 21:26:40,2020
247,10,True,True,active,356,2020-08-10 21:21:17+00:00,True,0,356,0,0,13,False,,,2020-08-10 21:26:40,2020
248,3,True,True,active,357,2020-08-10 21:22:42+00:00,True,0,357,0,0,12,False,,,2020-08-10 21:26:40,2020
249,8,True,True,active,358,2020-08-10 21:26:31+00:00,True,0,358,0,0,11,False,,,2020-08-10 21:26:40,2020
250,1,True,True,active,359,2020-08-10 21:19:08+00:00,True,0,359,0,0,14,False,,,2020-08-10 21:26:40,2020
251,10,True,True,active,360,2020-08-10 21:18:48+00:00,True,0,360,0,0,5,False,,,2020-08-10 21:26:40,2020
252,19,True,True,active,361,2020-08-10 21:02:47+00:00,True,0,361,0,0,0,False,,,2020-08-10 21:26:40,2020
253,8,True,True,active,362,2020-08-10 19:07:02+00:00,True,0,362,0,0,11,False,,,2020-08-10 21:26:40,2020
254,7,True,True,active,363,2020-08-10 21:24:24+00:00,True,0,363,0,1,11,False,,,2020-08-10 21:26:40,2020
255,12,True,True,active,364,2020-08-10 21:23:34+00:00,True,0,364,0,0,7,False,,,2020-08-10 21:26:40,2020
256,3,True,True,active,365,2020-08-10 21:21:30+00:00,True,0,365,0,2,14,False,,,2020-08-10 21:26:40,2020
257,13,True,True,active,366,2020-08-10 21:14:50+00:00,True,0,366,0,0,2,False,,,2020-08-10 21:26:40,2020
258,15,True,True,active,367,2020-08-10 20:27:23+00:00,True,0,367,0,0,4,False,,,2020-08-10 21:26:40,2020
259,7,True,True,active,368,2020-08-10 14:37:06+00:00,True,0,368,0,1,7,False,,,2020-08-10 21:26:40,2020
260,2,True,True,active,369,2020-08-10 21:20:54+00:00,True,0,369,0,1,12,False,,,2020-08-10 21:26:40,2020
261,12,True,True,active,370,2020-08-10 21:12:12+00:00,True,0,370,0,0,7,False,,,2020-08-10 21:26:40,2020
262,13,True,True,active,371,2020-08-10 21:04:57+00:00,True,0,371,0,0,6,False,,,2020-08-10 21:26:40,2020
263,15,True,True,active,372,2020-08-10 21:23:21+00:00,True,0,372,0,1,3,False,,,2020-08-10 21:26:40,2020
264,6,True,True,active,373,2020-08-10 20:58:53+00:00,True,0,373,0,0,9,False,,,2020-08-10 21:26:40,2020
265,0,True,True,active,374,2020-08-10 21:23:36+00:00,True,0,374,0,2,17,False,,,2020-08-10 21:26:40,2020
266,9,True,True,active,376,2020-08-10 20:59:07+00:00,True,0,376,0,0,6,False,,,2020-08-10 21:26:40,2020
267,11,True,True,active,377,2020-08-10 18:40:02+00:00,True,0,377,0,1,7,False,,,2020-08-10 21:26:40,2020
268,10,True,True,active,378,2020-08-10 21:12:00+00:00,True,0,378,0,0,9,False,,,2020-08-10 21:26:40,2020
269,5,True,True,active,379,2020-08-10 21:18:40+00:00,True,0,379,0,0,10,False,,,2020-08-10 21:26:40,2020
270,2,True,True,active,380,2020-08-10 21:20:55+00:00,True,0,380,0,0,16,False,,,2020-08-10 21:26:40,2020
271,0,True,True,active,381,2020-08-10 21:26:06+00:00,True,0,381,0,0,19,False,,,2020-08-10 21:26:40,2020
272,8,True,True,active,384,2020-08-10 21:14:41+00:00,True,0,384,0,2,9,True,,,2020-08-10 21:26:40,2020
273,7,True,True,active,385,2020-08-10 21:10:29+00:00,True,0,385,1,2,5,False,,,2020-08-10 21:26:40,2020
274,5,True,True,active,386,2020-08-10 21:17:05+00:00,True,0,386,0,0,14,False,,,2020-08-10 21:26:40,2020
