,is_returning,num_docks_available,last_reported,num_docks_disabled,legacy_id,num_ebikes_available,is_installed,num_bikes_disabled,num_bikes_available,station_status,station_id,eightd_has_available_keys,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
127,True,2,2020-08-10 22:22:48+00:00,0,142,0,True,0,21,active,142,False,True,,,2020-08-10 22:38:15,2020
128,True,8,2020-08-10 22:36:07+00:00,0,143,0,True,0,15,active,143,False,True,,,2020-08-10 22:38:15,2020
129,True,4,2020-08-10 21:49:37+00:00,0,144,0,True,0,15,active,144,False,True,,,2020-08-10 22:38:15,2020
130,True,6,2020-08-10 22:19:04+00:00,0,145,0,True,0,13,active,145,False,True,,,2020-08-10 22:38:15,2020
131,True,3,2020-08-10 22:30:41+00:00,0,146,0,True,2,14,active,146,False,True,,,2020-08-10 22:38:15,2020
132,True,8,2020-08-10 22:31:14+00:00,0,149,0,True,0,10,active,149,True,True,,,2020-08-10 22:38:15,2020
133,True,9,2020-08-10 22:20:51+00:00,0,150,0,True,0,10,active,150,False,True,,,2020-08-10 22:38:15,2020
134,True,18,2020-08-10 22:34:11+00:00,0,151,0,True,0,1,active,151,False,True,,,2020-08-10 22:38:15,2020
135,True,4,2020-08-10 22:27:28+00:00,0,152,0,True,0,11,active,152,True,True,,,2020-08-10 22:38:15,2020
136,True,14,2020-08-10 22:22:14+00:00,0,156,0,True,0,1,active,156,False,True,,,2020-08-10 22:38:15,2020
137,True,3,2020-08-10 22:35:35+00:00,0,157,0,True,1,11,active,157,False,True,,,2020-08-10 22:38:15,2020
138,True,9,2020-08-10 22:14:35+00:00,0,159,0,True,1,5,active,159,False,True,,,2020-08-10 22:38:15,2020
139,True,14,2020-08-10 22:30:07+00:00,0,160,0,True,0,0,active,160,True,True,,,2020-08-10 22:38:15,2020
140,True,10,2020-08-10 22:23:19+00:00,0,161,0,True,2,11,active,161,True,True,,,2020-08-10 22:38:15,2020
141,True,11,2020-08-10 22:06:37+00:00,0,162,0,True,0,4,active,162,False,True,,,2020-08-10 22:38:15,2020
142,True,8,2020-08-10 22:31:32+00:00,0,163,0,True,0,11,active,163,True,True,,,2020-08-10 22:38:15,2020
143,True,11,2020-08-10 22:33:50+00:00,0,167,0,True,0,4,active,167,False,True,,,2020-08-10 22:38:15,2020
144,True,2,2020-08-10 22:38:05+00:00,0,169,0,True,0,17,active,169,False,True,,,2020-08-10 22:38:15,2020
145,True,10,2020-08-10 22:33:08+00:00,0,170,0,True,0,4,active,170,True,True,,,2020-08-10 22:38:15,2020
146,True,20,2020-08-10 22:15:33+00:00,0,171,0,True,0,3,active,171,True,True,,,2020-08-10 22:38:15,2020
147,True,7,2020-08-10 21:59:11+00:00,0,173,0,True,0,7,active,173,True,True,,,2020-08-10 22:38:15,2020
148,True,15,2020-08-10 21:45:52+00:00,0,174,0,True,0,0,active,174,False,True,,,2020-08-10 22:38:15,2020
149,True,17,2020-08-10 22:06:28+00:00,0,175,0,True,0,0,active,175,True,True,,,2020-08-10 22:38:15,2020
150,True,1,2020-08-10 22:26:49+00:00,0,176,0,True,0,14,active,176,False,True,,,2020-08-10 22:38:15,2020
151,True,19,2020-08-10 22:32:22+00:00,0,177,0,True,0,0,active,177,False,True,,,2020-08-10 22:38:15,2020
152,True,9,2020-08-10 22:36:40+00:00,0,178,0,True,0,10,active,178,False,True,,,2020-08-10 22:38:15,2020
153,True,19,2020-08-10 22:35:53+00:00,0,179,0,True,0,6,active,179,False,True,,,2020-08-10 22:38:15,2020
154,True,4,2020-08-10 22:15:19+00:00,0,180,0,True,0,15,active,180,False,True,,,2020-08-10 22:38:15,2020
155,True,11,2020-08-10 22:30:49+00:00,0,181,0,True,0,8,active,181,False,True,,,2020-08-10 22:38:15,2020
156,True,15,2020-08-10 21:06:10+00:00,0,182,0,True,0,4,active,182,True,True,,,2020-08-10 22:38:15,2020
157,True,19,2020-08-10 22:36:54+00:00,0,183,0,True,0,0,active,183,False,True,,,2020-08-10 22:38:15,2020
158,True,16,2020-08-10 22:23:00+00:00,0,184,0,True,1,2,active,184,False,True,,,2020-08-10 22:38:15,2020
159,True,12,2020-08-10 22:35:11+00:00,0,185,0,True,1,2,active,185,False,True,,,2020-08-10 22:38:15,2020
160,True,2,2020-08-10 22:27:11+00:00,0,186,0,True,2,11,active,186,True,True,,,2020-08-10 22:38:15,2020
161,True,6,2020-08-10 21:04:10+00:00,0,187,0,True,0,9,active,187,False,True,,,2020-08-10 22:38:15,2020
162,True,9,2020-08-10 21:38:23+00:00,0,188,0,True,0,6,active,188,False,True,,,2020-08-10 22:38:15,2020
163,True,9,2020-08-10 22:31:01+00:00,0,189,0,True,0,14,active,189,True,True,,,2020-08-10 22:38:15,2020
164,True,19,2020-08-10 22:34:49+00:00,0,190,0,True,1,17,active,190,True,True,,,2020-08-10 22:38:15,2020
165,True,13,2020-08-10 22:35:57+00:00,0,191,0,True,0,2,active,191,False,True,,,2020-08-10 22:38:15,2020
166,True,18,2020-08-10 22:34:00+00:00,0,192,0,True,0,1,active,192,False,True,,,2020-08-10 22:38:15,2020
167,True,8,2020-08-10 22:02:51+00:00,0,193,0,True,0,7,active,193,True,True,,,2020-08-10 22:38:15,2020
168,True,17,2020-08-10 21:18:17+00:00,0,194,0,True,0,2,active,194,False,True,,,2020-08-10 22:38:15,2020
