,is_returning,num_bikes_available,is_installed,is_renting,station_status,num_docks_disabled,num_bikes_disabled,legacy_id,num_docks_available,last_reported,num_ebikes_available,station_id,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
166,True,3,True,True,active,0,0,192,16,2020-07-29 04:01:07+00:00,0,192,False,,,2020-07-29 06:44:15,2020
167,True,15,True,True,active,0,0,193,0,2020-07-28 21:39:38+00:00,0,193,True,,,2020-07-29 06:44:15,2020
168,True,14,True,True,active,0,0,194,5,2020-07-29 05:16:46+00:00,0,194,False,,,2020-07-29 06:44:15,2020
169,True,20,True,True,active,0,1,195,2,2020-07-29 04:14:44+00:00,0,195,False,,,2020-07-29 06:44:15,2020
170,True,1,True,True,active,0,0,196,9,2020-07-29 06:37:00+00:00,0,196,True,,,2020-07-29 06:44:15,2020
171,True,2,True,True,active,0,1,197,12,2020-07-29 02:56:53+00:00,0,197,False,,,2020-07-29 06:44:15,2020
172,True,4,True,True,active,0,0,199,11,2020-07-29 01:15:59+00:00,0,199,False,,,2020-07-29 06:44:15,2020
173,True,14,True,True,active,0,0,200,5,2020-07-29 04:32:47+00:00,0,200,False,,,2020-07-29 06:44:15,2020
174,True,1,True,True,active,0,0,201,14,2020-07-28 18:49:12+00:00,0,201,False,,,2020-07-29 06:44:15,2020
175,True,3,True,True,active,0,1,202,11,2020-07-29 05:16:29+00:00,0,202,False,,,2020-07-29 06:44:15,2020
176,True,3,True,True,active,0,0,203,12,2020-07-29 02:42:59+00:00,0,203,False,,,2020-07-29 06:44:15,2020
177,True,2,True,True,active,0,0,204,13,2020-07-29 04:34:54+00:00,0,204,False,,,2020-07-29 06:44:15,2020
178,True,4,True,True,active,0,1,205,10,2020-07-29 00:47:17+00:00,0,205,False,,,2020-07-29 06:44:15,2020
179,True,6,True,True,active,0,0,206,17,2020-07-29 05:08:20+00:00,0,206,False,,,2020-07-29 06:44:15,2020
180,True,15,True,True,active,0,0,208,0,2020-07-29 01:40:11+00:00,0,208,True,,,2020-07-29 06:44:15,2020
181,True,14,True,True,active,0,1,209,0,2020-07-29 00:27:30+00:00,0,209,False,,,2020-07-29 06:44:15,2020
182,True,1,True,True,active,0,0,210,14,2020-07-29 04:34:48+00:00,0,210,False,,,2020-07-29 06:44:15,2020
183,True,14,True,True,active,0,1,211,4,2020-07-29 01:55:49+00:00,0,211,False,,,2020-07-29 06:44:15,2020
184,True,12,True,True,active,0,0,212,21,2020-07-29 04:12:04+00:00,0,212,False,,,2020-07-29 06:44:15,2020
185,True,8,True,True,active,0,0,213,8,2020-07-28 22:22:34+00:00,0,213,True,,,2020-07-29 06:44:15,2020
186,True,12,True,True,active,0,0,214,3,2020-07-29 02:27:59+00:00,0,214,False,,,2020-07-29 06:44:15,2020
187,True,11,True,True,active,0,0,215,4,2020-07-29 05:08:56+00:00,0,215,False,,,2020-07-29 06:44:15,2020
188,True,15,True,True,active,0,1,216,3,2020-07-28 12:48:44+00:00,0,216,False,,,2020-07-29 06:44:15,2020
189,True,8,True,True,active,0,0,217,11,2020-07-29 04:36:57+00:00,0,217,False,,,2020-07-29 06:44:15,2020
190,True,2,True,True,active,0,0,218,13,2020-07-29 03:52:22+00:00,0,218,False,,,2020-07-29 06:44:15,2020
