,is_renting,num_bikes_available,eightd_has_available_keys,station_status,num_bikes_disabled,last_reported,legacy_id,is_returning,num_ebikes_available,num_docks_disabled,num_docks_available,station_id,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
148,True,9,False,active,1,2020-07-27 14:43:34+00:00,174,True,0,0,5,174,True,,,2020-07-27 16:52:55,2020
149,True,0,True,active,0,2020-07-27 12:05:23+00:00,175,True,0,0,17,175,True,,,2020-07-27 16:52:55,2020
150,True,12,False,active,0,2020-07-27 16:45:54+00:00,176,True,0,0,3,176,True,,,2020-07-27 16:52:55,2020
151,True,9,False,active,1,2020-07-27 16:43:25+00:00,177,True,0,0,9,177,True,,,2020-07-27 16:52:55,2020
152,True,2,False,active,0,2020-07-27 16:51:44+00:00,178,True,0,0,17,178,True,,,2020-07-27 16:52:55,2020
153,True,8,False,active,0,2020-07-27 16:34:41+00:00,179,True,0,0,17,179,True,,,2020-07-27 16:52:55,2020
154,True,9,False,active,0,2020-07-27 15:43:15+00:00,180,True,0,0,10,180,True,,,2020-07-27 16:52:55,2020
155,True,11,False,active,0,2020-07-27 12:57:16+00:00,181,True,0,0,8,181,True,,,2020-07-27 16:52:55,2020
156,True,3,True,active,1,2020-07-27 16:15:44+00:00,182,True,0,0,15,182,True,,,2020-07-27 16:52:55,2020
157,True,8,False,active,0,2020-07-27 16:09:53+00:00,183,True,0,0,11,183,True,,,2020-07-27 16:52:55,2020
158,True,4,False,active,0,2020-07-27 16:51:54+00:00,184,True,0,0,15,184,True,,,2020-07-27 16:52:55,2020
159,True,9,False,active,0,2020-07-27 16:44:23+00:00,185,True,0,0,6,185,True,,,2020-07-27 16:52:55,2020
160,True,9,True,active,2,2020-07-27 16:35:00+00:00,186,True,0,0,4,186,True,,,2020-07-27 16:52:55,2020
161,True,3,False,active,0,2020-07-27 15:45:03+00:00,187,True,0,0,12,187,True,,,2020-07-27 16:52:55,2020
162,True,12,False,active,0,2020-07-27 16:47:37+00:00,188,True,0,0,3,188,True,,,2020-07-27 16:52:55,2020
163,True,12,True,active,0,2020-07-27 16:45:52+00:00,189,True,0,0,11,189,True,,,2020-07-27 16:52:55,2020
164,True,8,True,active,2,2020-07-27 16:23:52+00:00,190,True,0,0,27,190,True,,,2020-07-27 16:52:55,2020
165,True,4,False,active,0,2020-07-27 16:03:45+00:00,191,True,0,0,11,191,True,,,2020-07-27 16:52:55,2020
166,True,10,False,active,0,2020-07-27 16:52:46+00:00,192,True,0,0,9,192,True,,,2020-07-27 16:52:55,2020
167,True,6,True,active,0,2020-07-27 16:33:41+00:00,193,True,0,0,9,193,True,,,2020-07-27 16:52:55,2020
168,True,10,False,active,0,2020-07-27 16:48:54+00:00,194,True,0,0,9,194,True,,,2020-07-27 16:52:55,2020
169,True,9,False,active,0,2020-07-27 16:48:34+00:00,195,True,0,0,14,195,True,,,2020-07-27 16:52:55,2020
170,True,1,True,active,0,2020-07-27 15:01:39+00:00,196,True,0,0,9,196,True,,,2020-07-27 16:52:55,2020
171,True,2,False,active,0,2020-07-27 16:48:28+00:00,197,True,0,0,13,197,True,,,2020-07-27 16:52:55,2020
172,True,1,False,active,0,2020-07-27 09:36:27+00:00,199,True,0,0,14,199,True,,,2020-07-27 16:52:55,2020
173,True,19,False,active,0,2020-07-27 14:59:00+00:00,200,True,0,0,0,200,True,,,2020-07-27 16:52:55,2020
174,True,2,False,active,0,2020-07-27 12:13:56+00:00,201,True,0,0,13,201,True,,,2020-07-27 16:52:55,2020
175,True,3,False,active,0,2020-07-27 14:56:17+00:00,202,True,0,0,12,202,True,,,2020-07-27 16:52:55,2020
176,True,2,False,active,0,2020-07-27 08:53:48+00:00,203,True,0,0,13,203,True,,,2020-07-27 16:52:55,2020
177,True,3,False,active,0,2020-07-27 13:22:26+00:00,204,True,0,0,12,204,True,,,2020-07-27 16:52:55,2020
178,True,3,False,active,2,2020-07-27 12:18:18+00:00,205,True,0,0,10,205,True,,,2020-07-27 16:52:55,2020
179,False,6,True,active,0,2020-07-27 13:40:05+00:00,206,False,0,0,17,206,True,,,2020-07-27 16:52:55,2020
180,True,5,True,active,0,2020-07-27 15:35:44+00:00,208,True,0,0,10,208,True,,,2020-07-27 16:52:55,2020
181,True,11,False,active,1,2020-07-27 01:24:16+00:00,209,True,0,0,3,209,True,,,2020-07-27 16:52:55,2020
182,True,3,False,active,1,2020-07-27 16:47:18+00:00,210,True,0,0,11,210,True,,,2020-07-27 16:52:55,2020
183,True,16,False,active,2,2020-07-27 16:38:54+00:00,211,True,0,0,1,211,True,,,2020-07-27 16:52:55,2020
184,True,4,False,active,2,2020-07-27 16:35:13+00:00,212,True,0,0,27,212,True,,,2020-07-27 16:52:55,2020
185,True,7,True,active,0,2020-07-27 14:24:20+00:00,213,True,0,0,9,213,True,,,2020-07-27 16:52:55,2020
186,True,7,False,active,0,2020-07-27 16:40:01+00:00,214,True,0,0,8,214,True,,,2020-07-27 16:52:55,2020
187,True,11,False,active,1,2020-07-27 16:19:47+00:00,215,True,0,0,3,215,True,,,2020-07-27 16:52:55,2020
188,True,16,False,active,0,2020-07-27 14:57:14+00:00,216,True,0,0,3,216,True,,,2020-07-27 16:52:55,2020
189,True,6,False,active,0,2020-07-27 15:38:23+00:00,217,True,0,0,13,217,True,,,2020-07-27 16:52:55,2020
190,True,1,False,active,0,2020-07-27 16:24:30+00:00,218,True,0,0,14,218,True,,,2020-07-27 16:52:55,2020
191,True,15,False,active,0,2020-07-26 23:42:58+00:00,219,True,0,0,0,219,True,,,2020-07-27 16:52:55,2020
192,True,10,False,active,0,2020-07-27 16:50:45+00:00,221,True,0,0,9,221,True,,,2020-07-27 16:52:55,2020
193,True,0,True,active,0,2020-07-27 16:04:39+00:00,222,True,0,0,14,222,True,,,2020-07-27 16:52:55,2020
