,num_bikes_available,legacy_id,station_status,num_ebikes_available,station_id,is_installed,num_bikes_disabled,last_reported,is_renting,eightd_active_station_services,num_docks_disabled,is_returning,valet,num_docks_available,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
114,14,125,active,0,125,True,1,2020-08-02 03:47:22+00:00,True,,0,True,,0,False,2020-08-02 04:18:45,2020
115,9,126,active,0,126,True,1,2020-08-02 04:13:01+00:00,True,,0,True,,5,False,2020-08-02 04:18:45,2020
116,19,128,active,0,128,True,0,2020-08-02 03:36:45+00:00,True,,0,True,,0,False,2020-08-02 04:18:45,2020
117,14,129,active,0,129,True,0,2020-08-02 00:24:44+00:00,True,,0,True,,5,False,2020-08-02 04:18:45,2020
118,15,130,active,0,130,True,0,2020-08-01 22:49:20+00:00,True,,0,True,,0,False,2020-08-02 04:18:45,2020
119,14,131,active,0,131,True,2,2020-08-02 04:14:16+00:00,True,,0,True,,2,False,2020-08-02 04:18:45,2020
120,12,133,active,0,133,True,1,2020-08-02 01:25:18+00:00,True,,0,True,,10,False,2020-08-02 04:18:45,2020
121,9,135,active,0,135,True,0,2020-08-02 01:08:55+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
122,19,136,active,0,136,True,0,2020-08-02 04:07:18+00:00,True,,0,True,,0,False,2020-08-02 04:18:45,2020
123,4,137,active,0,137,True,0,2020-08-02 02:56:46+00:00,True,,0,True,,11,False,2020-08-02 04:18:45,2020
124,6,138,active,0,138,True,0,2020-08-02 01:05:36+00:00,True,,0,True,,9,False,2020-08-02 04:18:45,2020
125,18,139,active,0,139,True,0,2020-08-02 02:54:24+00:00,True,,0,True,,1,False,2020-08-02 04:18:45,2020
126,11,140,active,0,140,True,0,2020-08-02 03:52:56+00:00,True,,0,True,,6,False,2020-08-02 04:18:45,2020
127,6,141,active,0,141,True,1,2020-08-02 03:57:01+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
128,12,142,active,0,142,True,0,2020-08-02 03:03:23+00:00,True,,0,True,,11,False,2020-08-02 04:18:45,2020
129,3,143,active,0,143,True,1,2020-08-02 04:12:33+00:00,True,,0,True,,19,False,2020-08-02 04:18:45,2020
130,0,144,active,0,144,True,0,2020-08-02 03:01:25+00:00,True,,0,True,,19,False,2020-08-02 04:18:45,2020
131,16,145,active,0,145,True,0,2020-08-02 02:41:52+00:00,True,,0,True,,3,False,2020-08-02 04:18:45,2020
132,15,146,active,0,146,True,1,2020-08-02 03:24:53+00:00,True,,0,True,,3,False,2020-08-02 04:18:45,2020
133,16,149,active,0,149,True,0,2020-08-02 04:03:08+00:00,True,,0,True,,2,True,2020-08-02 04:18:45,2020
134,9,150,active,0,150,True,1,2020-08-02 03:54:21+00:00,True,,0,True,,9,False,2020-08-02 04:18:45,2020
135,0,151,active,0,151,True,3,2020-08-02 04:15:49+00:00,True,,0,True,,16,False,2020-08-02 04:18:45,2020
136,0,152,active,0,152,True,0,2020-08-02 00:53:36+00:00,True,,0,True,,15,True,2020-08-02 04:18:45,2020
137,9,156,active,0,156,True,0,2020-08-02 01:30:42+00:00,True,,0,True,,6,False,2020-08-02 04:18:45,2020
138,0,157,active,0,157,True,1,2020-08-02 02:54:19+00:00,True,,0,True,,14,False,2020-08-02 04:18:45,2020
139,11,159,active,0,159,True,2,2020-08-02 02:18:05+00:00,True,,0,True,,2,False,2020-08-02 04:18:45,2020
140,12,160,active,0,160,True,0,2020-08-02 03:19:01+00:00,True,,0,True,,2,False,2020-08-02 04:18:45,2020
141,22,161,active,0,161,True,0,2020-08-02 04:09:17+00:00,True,,0,True,,1,True,2020-08-02 04:18:45,2020
142,1,162,active,0,162,True,1,2020-08-02 01:56:06+00:00,True,,0,True,,13,False,2020-08-02 04:18:45,2020
143,9,163,active,0,163,True,0,2020-08-02 03:14:53+00:00,True,,0,True,,10,True,2020-08-02 04:18:45,2020
144,6,167,active,0,167,True,1,2020-08-02 03:01:21+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
145,4,169,active,0,169,True,0,2020-08-01 23:56:42+00:00,True,,0,True,,15,False,2020-08-02 04:18:45,2020
146,1,170,active,0,170,True,0,2020-08-02 01:48:08+00:00,True,,0,True,,13,True,2020-08-02 04:18:45,2020
147,9,171,active,0,171,True,0,2020-08-02 03:38:02+00:00,True,,0,True,,14,True,2020-08-02 04:18:45,2020
148,10,173,active,0,173,True,0,2020-08-02 04:11:35+00:00,True,,0,True,,4,True,2020-08-02 04:18:45,2020
149,10,174,active,0,174,True,1,2020-08-02 03:29:40+00:00,True,,0,True,,4,False,2020-08-02 04:18:45,2020
150,5,175,active,0,175,True,1,2020-08-02 04:11:50+00:00,True,,0,True,,11,True,2020-08-02 04:18:45,2020
151,8,176,active,0,176,True,0,2020-08-02 03:10:01+00:00,True,,0,True,,7,False,2020-08-02 04:18:45,2020
152,3,177,active,0,177,True,1,2020-08-02 04:04:20+00:00,True,,0,True,,15,False,2020-08-02 04:18:45,2020
153,10,178,active,0,178,True,1,2020-08-02 04:11:32+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
154,4,179,active,0,179,True,1,2020-08-02 04:11:06+00:00,True,,0,True,,20,False,2020-08-02 04:18:45,2020
155,5,180,active,0,180,True,0,2020-08-02 03:12:02+00:00,True,,0,True,,14,False,2020-08-02 04:18:45,2020
156,8,181,active,0,181,True,2,2020-08-02 02:07:19+00:00,True,,0,True,,9,False,2020-08-02 04:18:45,2020
157,1,182,active,0,182,True,2,2020-08-02 00:54:02+00:00,True,,0,True,,16,True,2020-08-02 04:18:45,2020
158,9,183,active,0,183,True,0,2020-08-02 00:50:42+00:00,True,,0,True,,10,False,2020-08-02 04:18:45,2020
159,11,184,active,0,184,True,0,2020-08-02 02:42:27+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
160,8,185,active,0,185,True,0,2020-08-02 04:17:07+00:00,True,,0,True,,7,False,2020-08-02 04:18:45,2020
161,14,186,active,0,186,True,1,2020-08-02 03:42:32+00:00,True,,0,True,,0,True,2020-08-02 04:18:45,2020
162,14,187,active,0,187,True,0,2020-08-02 03:47:59+00:00,True,,0,True,,1,False,2020-08-02 04:18:45,2020
163,6,188,active,0,188,True,0,2020-08-02 01:49:03+00:00,True,,0,True,,9,False,2020-08-02 04:18:45,2020
164,2,189,active,0,189,True,0,2020-08-02 03:30:35+00:00,True,,0,True,,21,True,2020-08-02 04:18:45,2020
165,27,190,active,0,190,True,4,2020-08-02 03:50:19+00:00,True,,0,True,,6,True,2020-08-02 04:18:45,2020
166,3,191,active,0,191,True,0,2020-08-01 23:33:14+00:00,True,,0,True,,12,False,2020-08-02 04:18:45,2020
167,2,192,active,0,192,True,3,2020-08-02 04:10:14+00:00,True,,0,True,,14,False,2020-08-02 04:18:45,2020
168,0,193,active,0,193,True,1,2020-08-02 03:08:39+00:00,True,,0,True,,14,True,2020-08-02 04:18:45,2020
169,7,194,active,0,194,True,0,2020-08-02 00:39:19+00:00,True,,0,True,,12,False,2020-08-02 04:18:45,2020
170,10,195,active,0,195,True,0,2020-08-02 03:40:22+00:00,True,,0,True,,13,False,2020-08-02 04:18:45,2020
171,1,196,active,0,196,True,1,2020-08-02 01:39:01+00:00,True,,0,True,,8,True,2020-08-02 04:18:45,2020
172,0,197,active,0,197,True,1,2020-08-02 03:25:19+00:00,True,,0,True,,14,False,2020-08-02 04:18:45,2020
173,13,199,active,0,199,True,2,2020-08-01 20:08:01+00:00,True,,0,True,,0,False,2020-08-02 04:18:45,2020
174,14,200,active,0,200,True,1,2020-08-02 03:44:34+00:00,True,,0,True,,4,False,2020-08-02 04:18:45,2020
175,1,201,active,0,201,True,0,2020-08-02 03:43:24+00:00,True,,0,True,,14,False,2020-08-02 04:18:45,2020
176,5,202,active,0,202,True,1,2020-08-02 02:31:04+00:00,True,,0,True,,9,False,2020-08-02 04:18:45,2020
177,6,203,active,0,203,True,0,2020-08-01 16:44:03+00:00,True,,0,True,,9,False,2020-08-02 04:18:45,2020
178,6,204,active,0,204,True,0,2020-08-01 18:04:05+00:00,True,,0,True,,9,False,2020-08-02 04:18:45,2020
179,5,205,active,0,205,True,0,2020-08-02 01:36:39+00:00,True,,0,True,,10,False,2020-08-02 04:18:45,2020
180,9,206,active,0,206,True,0,2020-08-02 03:51:06+00:00,True,,0,True,,14,False,2020-08-02 04:18:45,2020
181,10,208,active,0,208,True,0,2020-08-01 23:55:54+00:00,True,,0,True,,5,True,2020-08-02 04:18:45,2020
182,9,209,active,0,209,True,1,2020-08-02 01:18:56+00:00,True,,0,True,,5,False,2020-08-02 04:18:45,2020
183,1,210,active,0,210,True,0,2020-08-02 01:22:49+00:00,True,,0,True,,14,False,2020-08-02 04:18:45,2020
184,11,211,active,0,211,True,2,2020-08-02 02:42:42+00:00,True,,0,True,,6,False,2020-08-02 04:18:45,2020
185,18,212,active,0,212,True,0,2020-08-02 03:23:35+00:00,True,,0,True,,15,False,2020-08-02 04:18:45,2020
186,2,213,active,0,213,True,0,2020-08-02 02:04:34+00:00,True,,0,True,,14,True,2020-08-02 04:18:45,2020
187,14,214,active,0,214,True,0,2020-08-02 03:48:24+00:00,True,,0,True,,1,False,2020-08-02 04:18:45,2020
188,9,215,active,0,215,True,0,2020-08-02 00:52:59+00:00,True,,0,True,,6,False,2020-08-02 04:18:45,2020
189,15,216,active,0,216,True,0,2020-08-02 01:14:04+00:00,True,,0,True,,4,False,2020-08-02 04:18:45,2020
190,10,217,active,0,217,True,0,2020-08-02 00:51:07+00:00,True,,0,True,,9,False,2020-08-02 04:18:45,2020
191,0,218,active,0,218,True,1,2020-08-02 03:50:08+00:00,True,,0,True,,14,False,2020-08-02 04:18:45,2020
192,13,219,active,0,219,True,1,2020-08-02 02:11:58+00:00,True,,0,True,,1,False,2020-08-02 04:18:45,2020
193,17,221,active,0,221,True,0,2020-08-02 04:12:22+00:00,True,,0,True,,2,False,2020-08-02 04:18:45,2020
194,0,222,active,0,222,True,0,2020-08-02 03:26:17+00:00,True,,0,True,,14,True,2020-08-02 04:18:45,2020
195,9,224,active,0,224,True,0,2020-08-02 01:04:52+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
196,17,225,active,0,225,True,1,2020-08-02 04:07:44+00:00,True,,0,True,,1,False,2020-08-02 04:18:45,2020
197,3,226,active,0,226,True,1,2020-08-02 04:14:50+00:00,True,,0,True,,11,False,2020-08-02 04:18:45,2020
198,11,227,active,0,227,True,1,2020-08-02 04:16:31+00:00,True,,0,True,,7,False,2020-08-02 04:18:45,2020
199,11,228,active,0,228,True,1,2020-08-02 02:31:52+00:00,True,,0,True,,7,False,2020-08-02 04:18:45,2020
200,5,232,active,0,232,True,0,2020-08-02 04:16:27+00:00,True,,0,True,,6,False,2020-08-02 04:18:45,2020
201,8,233,active,0,233,True,2,2020-08-02 04:02:13+00:00,True,,0,True,,5,False,2020-08-02 04:18:45,2020
202,8,234,active,0,234,True,0,2020-08-02 03:51:10+00:00,True,,0,True,,7,False,2020-08-02 04:18:45,2020
203,6,235,active,0,235,True,0,2020-08-02 02:17:03+00:00,True,,0,True,,9,False,2020-08-02 04:18:45,2020
204,7,236,active,0,236,True,0,2020-08-02 03:11:48+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
205,12,239,active,0,239,True,1,2020-08-02 03:31:33+00:00,True,,0,True,,2,False,2020-08-02 04:18:45,2020
206,12,255,active,0,255,True,0,2020-08-01 16:11:33+00:00,True,,0,True,,3,False,2020-08-02 04:18:45,2020
207,13,258,active,0,258,True,0,2020-08-01 23:30:57+00:00,True,,0,True,,2,False,2020-08-02 04:18:45,2020
208,0,259,active,0,259,True,0,2020-08-01 08:48:07+00:00,True,,0,True,,15,False,2020-08-02 04:18:45,2020
209,2,260,active,0,260,True,0,2020-08-01 23:17:12+00:00,True,,0,True,,13,False,2020-08-02 04:18:45,2020
210,6,271,active,0,271,True,0,2020-08-02 03:51:16+00:00,True,,0,True,,9,False,2020-08-02 04:18:45,2020
211,4,272,active,0,272,True,0,2020-08-02 03:07:32+00:00,True,,0,True,,15,False,2020-08-02 04:18:45,2020
212,32,273,active,0,273,True,0,2020-08-02 04:06:05+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
213,3,279,active,0,279,True,0,2020-08-02 02:24:17+00:00,True,,0,True,,16,False,2020-08-02 04:18:45,2020
214,13,280,active,0,280,True,1,2020-08-02 03:49:30+00:00,True,,0,True,,5,False,2020-08-02 04:18:45,2020
215,5,282,active,0,282,True,2,2020-08-02 01:30:47+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
216,1,318,active,0,318,True,0,2020-08-02 04:12:09+00:00,True,,0,True,,18,False,2020-08-02 04:18:45,2020
217,7,319,active,0,319,True,0,2020-08-02 02:00:26+00:00,True,,0,True,,18,False,2020-08-02 04:18:45,2020
218,11,327,active,0,327,True,0,2020-08-02 04:13:29+00:00,True,,0,True,,4,False,2020-08-02 04:18:45,2020
