,legacy_id,num_bikes_disabled,station_status,is_returning,num_ebikes_available,station_id,num_bikes_available,eightd_has_available_keys,is_installed,num_docks_available,last_reported,num_docks_disabled,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
205,255,0,active,True,0,255,6,False,True,9,2020-07-27 22:49:04+00:00,0,True,,,2020-07-28 16:37:25,2020
206,258,0,active,True,0,258,7,False,True,8,2020-07-28 13:36:54+00:00,0,True,,,2020-07-28 16:37:25,2020
207,259,1,active,True,0,259,0,False,True,14,2020-07-28 11:55:38+00:00,0,True,,,2020-07-28 16:37:25,2020
208,260,0,active,True,0,260,14,False,True,1,2020-07-28 12:43:44+00:00,0,True,,,2020-07-28 16:37:25,2020
209,271,1,active,True,0,271,8,False,True,6,2020-07-28 16:09:35+00:00,0,True,,,2020-07-28 16:37:25,2020
210,272,0,active,True,0,272,9,False,True,10,2020-07-28 12:18:10+00:00,0,True,,,2020-07-28 16:37:25,2020
211,273,1,active,True,0,273,23,False,True,16,2020-07-28 16:12:52+00:00,0,True,,,2020-07-28 16:37:25,2020
212,279,0,active,True,0,279,8,False,True,11,2020-07-28 15:51:05+00:00,0,True,,,2020-07-28 16:37:25,2020
213,280,0,active,True,0,280,4,False,True,15,2020-07-28 16:33:01+00:00,0,True,,,2020-07-28 16:37:25,2020
214,282,0,active,True,0,282,12,False,True,3,2020-07-28 15:30:52+00:00,0,True,,,2020-07-28 16:37:25,2020
215,296,0,active,True,0,296,8,False,True,15,2020-07-28 15:50:30+00:00,0,True,,,2020-07-28 16:37:25,2020
216,318,1,active,True,0,318,18,False,True,0,2020-07-28 15:45:57+00:00,0,True,,,2020-07-28 16:37:25,2020
217,319,0,active,True,0,319,8,False,True,17,2020-07-28 13:27:19+00:00,0,True,,,2020-07-28 16:37:25,2020
218,327,0,active,True,0,327,11,False,True,4,2020-07-28 16:12:46+00:00,0,True,,,2020-07-28 16:37:25,2020
219,328,0,active,True,0,328,9,False,True,6,2020-07-28 16:07:53+00:00,0,True,,,2020-07-28 16:37:25,2020
220,329,0,active,True,0,329,12,False,True,3,2020-07-28 14:54:02+00:00,0,True,,,2020-07-28 16:37:25,2020
221,330,0,active,True,0,330,2,False,True,13,2020-07-28 13:24:23+00:00,0,True,,,2020-07-28 16:37:25,2020
222,331,1,active,True,0,331,12,False,True,2,2020-07-28 16:28:37+00:00,0,True,,,2020-07-28 16:37:25,2020
223,332,1,active,True,0,332,0,False,True,14,2020-07-28 16:31:39+00:00,0,True,,,2020-07-28 16:37:25,2020
224,333,0,active,True,0,333,23,False,True,2,2020-07-28 13:16:49+00:00,0,True,,,2020-07-28 16:37:25,2020
225,334,0,active,True,0,334,13,False,True,6,2020-07-28 16:00:20+00:00,0,True,,,2020-07-28 16:37:25,2020
