,is_returning,station_status,num_bikes_available,num_docks_disabled,legacy_id,eightd_has_available_keys,is_installed,num_docks_available,is_renting,last_reported,station_id,num_ebikes_available,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
251,True,active,9,0,360,False,True,6,True,2020-08-10 17:23:42+00:00,360,0,0,,,2020-08-10 19:24:10,2020
252,True,active,17,0,361,False,True,2,True,2020-08-10 18:53:28+00:00,361,0,0,,,2020-08-10 19:24:10,2020
253,True,active,8,0,362,False,True,11,True,2020-08-10 19:07:02+00:00,362,0,0,,,2020-08-10 19:24:10,2020
254,True,active,7,0,363,False,True,11,True,2020-08-10 19:23:27+00:00,363,0,1,,,2020-08-10 19:24:10,2020
255,True,active,3,0,364,False,True,16,True,2020-08-10 19:20:14+00:00,364,0,0,,,2020-08-10 19:24:10,2020
256,True,active,7,0,365,False,True,10,True,2020-08-10 19:15:04+00:00,365,0,2,,,2020-08-10 19:24:10,2020
257,True,active,11,0,366,False,True,4,True,2020-08-10 19:22:27+00:00,366,0,0,,,2020-08-10 19:24:10,2020
258,True,active,15,0,367,False,True,4,True,2020-08-10 16:59:29+00:00,367,0,0,,,2020-08-10 19:24:10,2020
259,True,active,7,0,368,False,True,7,True,2020-08-10 14:37:06+00:00,368,0,1,,,2020-08-10 19:24:10,2020
260,True,active,2,0,369,False,True,12,True,2020-08-10 18:57:36+00:00,369,0,1,,,2020-08-10 19:24:10,2020
261,True,active,14,0,370,False,True,5,True,2020-08-10 19:20:33+00:00,370,0,0,,,2020-08-10 19:24:10,2020
262,True,active,11,0,371,False,True,8,True,2020-08-10 19:23:30+00:00,371,0,0,,,2020-08-10 19:24:10,2020
263,True,active,16,0,372,False,True,2,True,2020-08-10 19:18:02+00:00,372,0,1,,,2020-08-10 19:24:10,2020
264,True,active,7,0,373,False,True,8,True,2020-08-10 03:00:40+00:00,373,0,0,,,2020-08-10 19:24:10,2020
265,True,active,6,0,374,False,True,12,True,2020-08-10 19:23:54+00:00,374,0,1,,,2020-08-10 19:24:10,2020
266,True,active,8,0,376,False,True,7,True,2020-08-10 13:10:41+00:00,376,0,0,,,2020-08-10 19:24:10,2020
267,True,active,11,0,377,False,True,7,True,2020-08-10 18:40:02+00:00,377,0,1,,,2020-08-10 19:24:10,2020
268,True,active,5,0,378,False,True,14,True,2020-08-10 19:09:30+00:00,378,0,0,,,2020-08-10 19:24:10,2020
269,True,active,6,0,379,False,True,9,True,2020-08-10 19:01:32+00:00,379,0,0,,,2020-08-10 19:24:10,2020
270,True,active,16,0,380,False,True,1,True,2020-08-10 19:15:55+00:00,380,0,1,,,2020-08-10 19:24:10,2020
271,True,active,9,0,381,False,True,9,True,2020-08-10 19:13:38+00:00,381,0,1,,,2020-08-10 19:24:10,2020
272,True,active,17,0,384,True,True,1,True,2020-08-10 19:14:26+00:00,384,0,1,,,2020-08-10 19:24:10,2020
273,True,active,11,1,385,False,True,1,True,2020-08-10 19:00:05+00:00,385,0,2,,,2020-08-10 19:24:10,2020
274,True,active,1,0,386,False,True,18,True,2020-08-10 18:59:51+00:00,386,0,0,,,2020-08-10 19:24:10,2020
275,True,active,10,0,387,False,True,4,True,2020-08-10 19:14:12+00:00,387,0,1,,,2020-08-10 19:24:10,2020
276,True,active,5,0,388,False,True,6,True,2020-08-10 11:31:51+00:00,388,0,0,,,2020-08-10 19:24:10,2020
277,True,active,14,0,389,False,True,0,True,2020-08-10 18:17:16+00:00,389,0,0,,,2020-08-10 19:24:10,2020
278,True,active,15,0,390,False,True,0,True,2020-08-10 17:18:21+00:00,390,0,0,,,2020-08-10 19:24:10,2020
279,True,active,13,0,391,False,True,2,True,2020-08-10 18:39:43+00:00,391,0,0,,,2020-08-10 19:24:10,2020
280,True,active,10,0,392,False,True,5,True,2020-08-10 18:56:56+00:00,392,0,0,,,2020-08-10 19:24:10,2020
281,True,active,6,0,393,False,True,8,True,2020-08-10 01:22:59+00:00,393,0,1,,,2020-08-10 19:24:10,2020
282,True,active,0,0,394,False,True,14,True,2020-08-10 17:29:41+00:00,394,0,0,,,2020-08-10 19:24:10,2020
283,True,active,10,0,395,False,True,5,True,2020-08-10 16:55:20+00:00,395,0,0,,,2020-08-10 19:24:10,2020
284,True,active,11,0,396,False,True,4,True,2020-08-10 13:36:34+00:00,396,0,0,,,2020-08-10 19:24:10,2020
285,True,active,9,0,397,False,True,6,True,2020-08-10 18:19:35+00:00,397,0,0,,,2020-08-10 19:24:10,2020
286,True,active,16,0,398,False,True,3,True,2020-08-10 19:17:38+00:00,398,0,0,,,2020-08-10 19:24:10,2020
287,True,active,13,0,399,False,True,2,True,2020-08-10 18:48:06+00:00,399,0,0,,,2020-08-10 19:24:10,2020
288,True,active,11,0,400,False,True,16,True,2020-08-10 16:39:29+00:00,400,0,0,,,2020-08-10 19:24:10,2020
289,True,active,4,0,401,False,True,11,True,2020-08-10 13:55:58+00:00,401,0,0,,,2020-08-10 19:24:10,2020
290,True,active,5,0,402,False,True,9,True,2020-08-10 19:17:53+00:00,402,0,1,,,2020-08-10 19:24:10,2020
291,True,active,4,0,403,False,True,10,True,2020-08-10 17:34:35+00:00,403,0,1,,,2020-08-10 19:24:10,2020
292,True,active,1,0,404,False,True,14,True,2020-08-10 18:55:46+00:00,404,0,1,,,2020-08-10 19:24:10,2020
293,True,active,3,0,405,False,True,16,True,2020-08-10 19:21:54+00:00,405,0,0,,,2020-08-10 19:24:10,2020
294,True,active,16,0,406,False,True,3,True,2020-08-10 14:47:25+00:00,406,0,0,,,2020-08-10 19:24:10,2020
295,True,active,0,0,407,False,True,19,True,2020-08-10 16:43:10+00:00,407,0,0,,,2020-08-10 19:24:10,2020
296,True,active,7,0,408,False,True,8,True,2020-08-10 19:18:34+00:00,408,0,0,,,2020-08-10 19:24:10,2020
297,True,active,12,0,409,False,True,7,True,2020-08-10 18:28:03+00:00,409,0,0,,,2020-08-10 19:24:10,2020
298,True,active,15,0,410,False,True,4,True,2020-08-10 14:45:26+00:00,410,0,0,,,2020-08-10 19:24:10,2020
299,True,active,5,0,411,False,True,10,True,2020-08-10 16:41:54+00:00,411,0,0,,,2020-08-10 19:24:10,2020
300,True,active,15,0,412,False,True,3,True,2020-08-10 19:21:16+00:00,412,0,1,,,2020-08-10 19:24:10,2020
301,True,active,6,0,413,False,True,12,True,2020-08-10 19:09:01+00:00,413,0,1,,,2020-08-10 19:24:10,2020
302,True,active,1,0,414,False,True,22,True,2020-08-10 19:01:55+00:00,414,0,0,,,2020-08-10 19:24:10,2020
303,True,active,17,0,415,False,True,1,True,2020-08-10 19:21:25+00:00,415,0,1,,,2020-08-10 19:24:10,2020
304,True,active,5,0,416,False,True,10,True,2020-08-10 19:22:00+00:00,416,0,0,,,2020-08-10 19:24:10,2020
