,num_docks_available,station_id,station_status,num_bikes_disabled,num_docks_disabled,is_returning,last_reported,eightd_has_available_keys,is_installed,legacy_id,is_renting,num_ebikes_available,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
176,11,203,active,0,0,True,2020-07-30 00:31:28+00:00,False,True,203,True,0,4,2020-07-30 03:05:55,2020
177,14,204,active,0,0,True,2020-07-29 22:19:57+00:00,False,True,204,True,0,1,2020-07-30 03:05:55,2020
178,11,205,active,1,0,True,2020-07-30 01:26:15+00:00,False,True,205,True,0,3,2020-07-30 03:05:55,2020
179,22,206,active,0,0,True,2020-07-30 01:44:45+00:00,False,True,206,True,0,1,2020-07-30 03:05:55,2020
180,0,208,active,0,0,True,2020-07-30 01:35:45+00:00,True,True,208,True,0,15,2020-07-30 03:05:55,2020
181,2,209,active,1,0,True,2020-07-30 01:01:19+00:00,False,True,209,True,0,12,2020-07-30 03:05:55,2020
182,13,210,active,0,0,True,2020-07-29 23:04:20+00:00,False,True,210,True,0,2,2020-07-30 03:05:55,2020
183,3,211,active,1,0,True,2020-07-30 02:28:33+00:00,False,True,211,True,0,15,2020-07-30 03:05:55,2020
184,24,212,active,0,0,True,2020-07-30 02:24:49+00:00,False,True,212,True,0,9,2020-07-30 03:05:55,2020
185,7,213,active,0,0,True,2020-07-30 02:40:58+00:00,True,True,213,True,0,9,2020-07-30 03:05:55,2020
186,1,214,active,0,0,True,2020-07-30 02:59:04+00:00,False,True,214,True,0,14,2020-07-30 03:05:55,2020
187,4,215,active,0,0,True,2020-07-29 22:41:34+00:00,False,True,215,True,0,11,2020-07-30 03:05:55,2020
188,1,216,active,1,0,True,2020-07-30 02:20:28+00:00,False,True,216,True,0,17,2020-07-30 03:05:55,2020
189,13,217,active,0,0,True,2020-07-30 02:52:27+00:00,False,True,217,True,0,6,2020-07-30 03:05:55,2020
190,8,218,active,0,0,True,2020-07-30 02:51:50+00:00,False,True,218,True,0,7,2020-07-30 03:05:55,2020
191,6,219,active,0,0,True,2020-07-30 00:58:34+00:00,False,True,219,True,0,9,2020-07-30 03:05:55,2020
192,13,221,active,1,0,True,2020-07-30 03:01:36+00:00,False,True,221,True,0,5,2020-07-30 03:05:55,2020
193,13,222,active,0,0,True,2020-07-30 02:57:34+00:00,True,True,222,True,0,1,2020-07-30 03:05:55,2020
194,7,224,active,0,0,True,2020-07-30 00:31:14+00:00,False,True,224,True,0,10,2020-07-30 03:05:55,2020
195,0,225,active,3,0,True,2020-07-30 02:33:11+00:00,False,True,225,True,0,16,2020-07-30 03:05:55,2020
196,12,226,active,0,0,True,2020-07-30 02:15:24+00:00,False,True,226,True,0,3,2020-07-30 03:05:55,2020
197,4,227,active,1,0,True,2020-07-30 03:02:59+00:00,False,True,227,True,0,14,2020-07-30 03:05:55,2020
198,10,228,active,0,0,True,2020-07-30 00:57:37+00:00,False,True,228,True,0,9,2020-07-30 03:05:55,2020
199,7,232,active,0,0,True,2020-07-29 23:15:59+00:00,False,True,232,True,0,4,2020-07-30 03:05:55,2020
200,10,233,active,2,0,True,2020-07-30 01:40:43+00:00,False,True,233,True,0,3,2020-07-30 03:05:55,2020
201,8,234,active,0,0,True,2020-07-30 02:11:38+00:00,False,True,234,True,0,7,2020-07-30 03:05:55,2020
202,5,235,active,0,0,True,2020-07-30 02:05:20+00:00,False,True,235,True,0,10,2020-07-30 03:05:55,2020
203,5,236,active,0,0,True,2020-07-30 01:08:59+00:00,False,True,236,True,0,10,2020-07-30 03:05:55,2020
204,8,239,active,0,0,True,2020-07-30 02:59:16+00:00,False,True,239,True,0,7,2020-07-30 03:05:55,2020
205,2,255,active,0,0,True,2020-07-30 01:59:20+00:00,False,True,255,True,0,13,2020-07-30 03:05:55,2020
206,5,258,active,0,0,True,2020-07-30 00:45:27+00:00,False,True,258,True,0,10,2020-07-30 03:05:55,2020
207,14,259,active,0,0,True,2020-07-29 22:31:42+00:00,False,True,259,True,0,1,2020-07-30 03:05:55,2020
208,4,260,active,3,0,True,2020-07-29 22:46:53+00:00,False,True,260,True,0,8,2020-07-30 03:05:55,2020
209,12,271,active,1,0,True,2020-07-30 02:40:38+00:00,False,True,271,True,0,2,2020-07-30 03:05:55,2020
210,11,272,active,2,0,True,2020-07-30 00:58:17+00:00,False,True,272,True,0,6,2020-07-30 03:05:55,2020
211,10,273,active,1,0,True,2020-07-30 02:42:23+00:00,False,True,273,True,0,29,2020-07-30 03:05:55,2020
212,7,279,active,0,0,True,2020-07-30 03:03:28+00:00,False,True,279,True,0,12,2020-07-30 03:05:55,2020
213,12,280,active,0,0,True,2020-07-30 02:20:49+00:00,False,True,280,True,0,7,2020-07-30 03:05:55,2020
214,0,282,active,1,0,True,2020-07-30 00:16:05+00:00,False,True,282,True,0,14,2020-07-30 03:05:55,2020
215,14,296,active,0,0,True,2020-07-30 02:56:12+00:00,False,True,296,True,0,9,2020-07-30 03:05:55,2020
216,18,318,active,1,0,True,2020-07-30 02:26:19+00:00,False,True,318,True,0,0,2020-07-30 03:05:55,2020
217,14,319,active,0,0,True,2020-07-30 00:03:44+00:00,False,True,319,True,0,11,2020-07-30 03:05:55,2020
218,2,327,active,0,0,True,2020-07-30 02:06:56+00:00,False,True,327,True,0,13,2020-07-30 03:05:55,2020
219,7,328,active,0,0,True,2020-07-30 01:38:32+00:00,False,True,328,True,0,8,2020-07-30 03:05:55,2020
220,6,329,active,0,0,True,2020-07-30 02:53:33+00:00,False,True,329,True,0,9,2020-07-30 03:05:55,2020
221,11,330,active,0,0,True,2020-07-30 02:59:14+00:00,False,True,330,True,0,4,2020-07-30 03:05:55,2020
222,8,331,active,1,0,True,2020-07-30 02:55:24+00:00,False,True,331,True,0,6,2020-07-30 03:05:55,2020
223,9,332,active,2,0,True,2020-07-30 03:02:30+00:00,False,True,332,True,0,4,2020-07-30 03:05:55,2020
224,5,333,active,0,0,True,2020-07-30 02:21:10+00:00,False,True,333,True,0,20,2020-07-30 03:05:55,2020
225,6,334,active,0,0,True,2020-07-30 02:31:53+00:00,False,True,334,True,0,13,2020-07-30 03:05:55,2020
226,6,335,active,0,0,True,2020-07-30 02:03:15+00:00,False,True,335,True,0,13,2020-07-30 03:05:55,2020
