,legacy_id,num_docks_available,is_renting,is_returning,is_installed,station_status,num_ebikes_available,station_id,eightd_has_available_keys,num_docks_disabled,num_bikes_available,last_reported,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
106,117,9,True,True,True,active,0,117,False,0,10,2020-08-13 01:30:23+00:00,0,2020-08-13 01:43:35,2020
107,118,10,True,True,True,active,0,118,False,0,8,2020-08-13 01:14:47+00:00,1,2020-08-13 01:43:35,2020
108,119,2,True,True,True,active,0,119,False,0,13,2020-08-13 01:12:35+00:00,0,2020-08-13 01:43:35,2020
109,120,3,True,True,True,active,0,120,False,0,11,2020-08-13 01:29:39+00:00,1,2020-08-13 01:43:35,2020
110,121,13,True,True,True,active,0,121,False,0,4,2020-08-13 01:17:10+00:00,0,2020-08-13 01:43:35,2020
111,122,11,True,True,True,active,0,122,False,0,4,2020-08-13 01:17:51+00:00,0,2020-08-13 01:43:35,2020
112,124,9,True,True,True,active,0,124,False,0,5,2020-08-13 00:34:19+00:00,1,2020-08-13 01:43:35,2020
113,125,3,True,True,True,active,0,125,False,0,11,2020-08-13 01:03:07+00:00,1,2020-08-13 01:43:35,2020
114,126,7,True,True,True,active,0,126,False,0,8,2020-08-13 00:42:57+00:00,0,2020-08-13 01:43:35,2020
115,128,14,True,True,True,active,0,128,False,0,5,2020-08-13 01:28:47+00:00,0,2020-08-13 01:43:35,2020
116,129,7,True,True,True,active,0,129,False,0,12,2020-08-13 01:39:00+00:00,0,2020-08-13 01:43:35,2020
117,130,3,True,True,True,active,0,130,False,0,12,2020-08-12 23:31:39+00:00,0,2020-08-13 01:43:35,2020
118,131,5,True,True,True,active,0,131,False,0,13,2020-08-13 01:29:14+00:00,0,2020-08-13 01:43:35,2020
119,133,10,True,True,True,active,0,133,False,0,12,2020-08-13 01:05:13+00:00,1,2020-08-13 01:43:35,2020
120,135,15,True,True,True,active,0,135,False,0,2,2020-08-12 22:05:32+00:00,0,2020-08-13 01:43:35,2020
121,136,14,True,True,True,active,0,136,False,0,4,2020-08-12 22:08:54+00:00,1,2020-08-13 01:43:35,2020
122,137,5,True,True,True,active,0,137,False,0,10,2020-08-13 01:35:31+00:00,0,2020-08-13 01:43:35,2020
123,138,2,True,True,True,active,0,138,False,0,12,2020-08-13 01:12:20+00:00,1,2020-08-13 01:43:35,2020
124,139,0,True,True,True,active,0,139,False,0,19,2020-08-12 23:57:37+00:00,0,2020-08-13 01:43:35,2020
125,140,4,True,True,True,active,0,140,False,0,13,2020-08-12 23:50:57+00:00,0,2020-08-13 01:43:35,2020
126,141,9,True,True,True,active,0,141,False,0,6,2020-08-13 01:13:54+00:00,0,2020-08-13 01:43:35,2020
127,142,10,True,True,True,active,0,142,False,0,12,2020-08-13 00:37:27+00:00,1,2020-08-13 01:43:35,2020
128,143,9,True,True,True,active,0,143,False,0,10,2020-08-13 01:22:28+00:00,4,2020-08-13 01:43:35,2020
129,144,8,True,True,True,active,0,144,False,0,10,2020-08-13 01:27:08+00:00,1,2020-08-13 01:43:35,2020
130,145,2,True,True,True,active,0,145,False,0,17,2020-08-12 23:52:56+00:00,0,2020-08-13 01:43:35,2020
131,146,14,True,True,True,active,0,146,False,0,5,2020-08-13 01:36:36+00:00,0,2020-08-13 01:43:35,2020
132,149,10,True,True,True,active,0,149,True,0,8,2020-08-13 01:39:05+00:00,0,2020-08-13 01:43:35,2020
133,150,3,True,True,True,active,0,150,False,0,16,2020-08-13 01:35:09+00:00,0,2020-08-13 01:43:35,2020
134,151,12,True,True,True,active,0,151,False,0,6,2020-08-13 01:00:15+00:00,1,2020-08-13 01:43:35,2020
