,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
175,201,8,0,1,6,0,True,True,True,2020-03-18 18:44:48+00:00,False,2020-03-19 00:24:32,2020
176,202,1,0,0,14,0,True,True,True,2020-03-18 17:37:34+00:00,False,2020-03-19 00:24:32,2020
177,203,1,0,0,14,0,True,True,True,2020-03-18 08:40:00+00:00,False,2020-03-19 00:24:32,2020
178,204,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-19 00:24:32,1970
179,205,6,0,1,8,0,True,True,True,2020-03-18 23:55:04+00:00,False,2020-03-19 00:24:32,2020
180,206,15,0,0,8,0,True,True,True,2020-03-18 22:57:11+00:00,True,2020-03-19 00:24:32,2020
181,208,6,0,0,9,0,True,True,True,2020-03-18 20:35:30+00:00,True,2020-03-19 00:24:32,2020
182,209,9,0,0,6,0,True,True,True,2020-03-18 23:17:04+00:00,False,2020-03-19 00:24:32,2020
183,210,7,0,0,8,0,True,True,True,2020-03-18 23:22:43+00:00,False,2020-03-19 00:24:32,2020
184,211,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-19 00:24:32,1970
185,212,6,0,0,27,0,True,True,True,2020-03-18 23:44:15+00:00,False,2020-03-19 00:24:32,2020
186,213,1,0,0,15,0,True,True,True,2020-03-18 15:32:46+00:00,False,2020-03-19 00:24:32,2020
187,214,2,0,0,9,0,True,True,True,2020-03-18 23:20:56+00:00,True,2020-03-19 00:24:32,2020
188,215,2,0,0,13,0,True,True,True,2020-03-18 08:50:27+00:00,False,2020-03-19 00:24:32,2020
189,216,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-19 00:24:32,1970
190,217,2,0,1,16,0,True,True,True,2020-03-18 22:41:29+00:00,False,2020-03-19 00:24:32,2020
191,218,8,0,1,6,0,True,True,True,2020-03-18 23:06:42+00:00,False,2020-03-19 00:24:32,2020
192,219,4,0,0,11,0,True,True,True,2020-03-18 09:00:49+00:00,False,2020-03-19 00:24:32,2020
193,221,11,0,1,7,0,True,True,True,2020-03-19 00:01:30+00:00,False,2020-03-19 00:24:32,2020
194,222,8,0,0,6,0,True,True,True,2020-03-18 22:36:42+00:00,True,2020-03-19 00:24:32,2020
195,224,8,0,1,8,0,True,True,True,2020-03-18 23:12:44+00:00,False,2020-03-19 00:24:32,2020
196,225,4,0,0,15,0,True,True,True,2020-03-18 23:42:58+00:00,False,2020-03-19 00:24:32,2020
197,226,6,0,0,9,0,True,True,True,2020-03-19 00:23:15+00:00,False,2020-03-19 00:24:32,2020
198,227,0,0,0,3,0,False,False,False,2020-03-04 18:19:08+00:00,False,2020-03-19 00:24:32,2020
199,228,8,0,0,11,0,True,True,True,2020-03-18 23:48:39+00:00,False,2020-03-19 00:24:32,2020
200,232,0,0,0,11,0,True,True,True,2020-03-18 08:26:29+00:00,False,2020-03-19 00:24:32,2020
201,233,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-19 00:24:32,1970
202,234,0,0,0,15,0,True,True,True,2020-03-18 20:40:56+00:00,False,2020-03-19 00:24:32,2020
203,235,9,0,0,6,0,True,True,True,2020-03-18 22:02:54+00:00,False,2020-03-19 00:24:32,2020
204,236,7,0,0,8,0,True,True,True,2020-03-18 22:41:57+00:00,False,2020-03-19 00:24:32,2020
205,239,7,0,2,6,0,True,True,True,2020-03-18 23:11:33+00:00,False,2020-03-19 00:24:32,2020
206,255,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-19 00:24:32,1970
207,258,12,0,1,2,0,True,True,True,2020-03-18 22:47:13+00:00,False,2020-03-19 00:24:32,2020
208,259,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-19 00:24:32,1970
209,260,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-19 00:24:32,1970
210,271,10,0,1,4,0,True,True,True,2020-03-18 22:40:24+00:00,False,2020-03-19 00:24:32,2020
211,272,2,0,2,15,0,True,True,True,2020-03-18 23:46:46+00:00,False,2020-03-19 00:24:32,2020
