,is_renting,last_reported,station_status,is_installed,station_id,num_bikes_disabled,num_docks_available,eightd_has_available_keys,legacy_id,is_returning,num_docks_disabled,num_bikes_available,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
147,True,2020-08-04 19:01:26+00:00,active,True,173,0,3,True,173,True,0,11,0,,,2020-08-04 21:07:00,2020
148,True,2020-08-04 20:56:33+00:00,active,True,174,0,6,False,174,True,0,9,0,,,2020-08-04 21:07:00,2020
149,True,2020-08-04 20:58:58+00:00,active,True,175,0,12,True,175,True,0,5,0,,,2020-08-04 21:07:00,2020
150,True,2020-08-04 20:29:28+00:00,active,True,176,0,13,False,176,True,0,2,0,,,2020-08-04 21:07:00,2020
151,True,2020-08-04 20:36:29+00:00,active,True,177,0,12,False,177,True,0,7,0,,,2020-08-04 21:07:00,2020
152,True,2020-08-04 21:00:11+00:00,active,True,178,0,10,False,178,True,0,9,0,,,2020-08-04 21:07:00,2020
153,True,2020-08-04 20:19:34+00:00,active,True,179,0,16,False,179,True,0,9,0,,,2020-08-04 21:07:00,2020
154,True,2020-08-04 20:59:05+00:00,active,True,180,0,2,False,180,True,0,17,0,,,2020-08-04 21:07:00,2020
155,True,2020-08-04 20:30:01+00:00,active,True,181,1,2,False,181,True,0,16,0,,,2020-08-04 21:07:00,2020
156,True,2020-08-04 19:29:27+00:00,active,True,182,1,17,True,182,True,0,1,0,,,2020-08-04 21:07:00,2020
157,True,2020-08-04 20:11:48+00:00,active,True,183,0,8,False,183,True,0,11,0,,,2020-08-04 21:07:00,2020
158,True,2020-08-04 20:37:32+00:00,active,True,184,1,11,False,184,True,0,7,0,,,2020-08-04 21:07:00,2020
159,True,2020-08-04 20:50:03+00:00,active,True,185,1,10,False,185,True,0,4,0,,,2020-08-04 21:07:00,2020
160,True,2020-08-04 20:46:37+00:00,active,True,186,0,9,True,186,True,0,6,0,,,2020-08-04 21:07:00,2020
161,True,2020-08-04 15:40:14+00:00,active,True,187,0,1,False,187,True,0,14,0,,,2020-08-04 21:07:00,2020
162,True,2020-08-04 18:46:44+00:00,active,True,188,0,13,False,188,True,0,2,0,,,2020-08-04 21:07:00,2020
163,True,2020-08-04 20:34:32+00:00,active,True,189,0,17,False,189,True,0,6,0,,,2020-08-04 21:07:00,2020
