,station_id,num_docks_available,num_docks_disabled,station_status,is_installed,legacy_id,num_bikes_disabled,is_renting,num_ebikes_available,is_returning,last_reported,eightd_has_available_keys,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
279,391,4,0,active,True,391,0,True,0,True,2020-08-21 22:51:56+00:00,False,11,2020-08-22 01:13:00,2020
280,392,11,0,active,True,392,0,True,0,True,2020-08-21 21:41:34+00:00,False,4,2020-08-22 01:13:00,2020
281,393,6,0,active,True,393,0,True,0,True,2020-08-21 22:13:33+00:00,False,9,2020-08-22 01:13:00,2020
282,394,14,0,active,True,394,0,True,0,True,2020-08-20 09:00:38+00:00,False,0,2020-08-22 01:13:00,2020
283,395,2,0,active,True,395,0,True,0,True,2020-08-22 00:59:22+00:00,False,13,2020-08-22 01:13:00,2020
284,396,2,0,active,True,396,0,True,0,True,2020-08-21 16:20:39+00:00,False,13,2020-08-22 01:13:00,2020
285,397,5,0,active,True,397,0,True,0,True,2020-08-21 14:41:02+00:00,False,10,2020-08-22 01:13:00,2020
286,398,15,0,active,True,398,0,True,0,True,2020-08-22 00:01:44+00:00,False,4,2020-08-22 01:13:00,2020
287,399,4,0,active,True,399,0,True,0,True,2020-08-22 00:31:49+00:00,False,11,2020-08-22 01:13:00,2020
288,400,6,0,active,True,400,0,True,0,True,2020-08-22 00:32:45+00:00,False,21,2020-08-22 01:13:00,2020
289,401,5,0,active,True,401,0,True,0,True,2020-08-22 00:28:13+00:00,False,10,2020-08-22 01:13:00,2020
290,402,10,0,active,True,402,0,True,0,True,2020-08-22 00:42:59+00:00,False,5,2020-08-22 01:13:00,2020
291,403,7,0,active,True,403,1,True,0,True,2020-08-22 01:09:12+00:00,False,7,2020-08-22 01:13:00,2020
292,404,13,0,active,True,404,0,True,0,True,2020-08-22 00:28:55+00:00,False,3,2020-08-22 01:13:00,2020
293,405,1,0,active,True,405,0,True,0,True,2020-08-21 23:11:37+00:00,False,18,2020-08-22 01:13:00,2020
