,is_returning,num_bikes_available,last_reported,num_docks_available,num_ebikes_available,num_docks_disabled,is_installed,is_renting,eightd_has_available_keys,station_status,num_bikes_disabled,legacy_id,station_id,timestamp_of_data_read_request,year_station_last_reported
92,True,11,2020-08-22 01:28:15+00:00,4,0,0,True,True,False,active,0,103,103,2020-08-22 01:33:30,2020
93,True,8,2020-08-22 00:39:40+00:00,11,0,0,True,True,False,active,0,104,104,2020-08-22 01:33:30,2020
94,True,7,2020-08-22 01:32:47+00:00,12,0,0,True,True,False,active,0,105,105,2020-08-22 01:33:30,2020
95,True,1,2020-08-21 23:30:26+00:00,14,0,0,True,True,False,active,0,106,106,2020-08-22 01:33:30,2020
96,True,0,2020-08-22 00:25:00+00:00,19,0,0,True,True,False,active,0,107,107,2020-08-22 01:33:30,2020
97,True,3,2020-08-22 01:31:04+00:00,14,0,0,True,True,False,active,0,108,108,2020-08-22 01:33:30,2020
98,True,2,2020-08-22 00:11:18+00:00,33,0,0,True,True,False,active,0,109,109,2020-08-22 01:33:30,2020
99,True,4,2020-08-22 01:23:34+00:00,11,0,0,True,True,False,active,0,110,110,2020-08-22 01:33:30,2020
100,True,7,2020-08-21 23:08:55+00:00,8,0,0,True,True,False,active,0,111,111,2020-08-22 01:33:30,2020
101,True,8,2020-08-21 23:35:17+00:00,7,0,0,True,True,False,active,0,112,112,2020-08-22 01:33:30,2020
102,True,4,2020-08-22 00:40:31+00:00,11,0,0,True,True,False,active,0,113,113,2020-08-22 01:33:30,2020
103,True,6,2020-08-22 00:42:02+00:00,9,0,0,True,True,False,active,0,114,114,2020-08-22 01:33:30,2020
104,True,9,2020-08-22 00:52:02+00:00,9,0,0,True,True,False,active,1,115,115,2020-08-22 01:33:30,2020
105,True,18,2020-08-22 01:31:35+00:00,5,0,0,True,True,False,active,0,116,116,2020-08-22 01:33:30,2020
106,True,12,2020-08-22 01:24:51+00:00,7,0,0,True,True,False,active,0,117,117,2020-08-22 01:33:30,2020
107,True,18,2020-08-22 01:07:59+00:00,0,0,0,True,True,False,active,1,118,118,2020-08-22 01:33:30,2020
108,True,5,2020-08-22 00:45:56+00:00,10,0,0,True,True,False,active,0,119,119,2020-08-22 01:33:30,2020
109,True,3,2020-08-22 01:28:52+00:00,11,0,0,True,True,False,active,1,120,120,2020-08-22 01:33:30,2020
110,True,7,2020-08-22 01:29:15+00:00,10,0,0,True,True,False,active,0,121,121,2020-08-22 01:33:30,2020
111,True,10,2020-08-22 01:21:30+00:00,5,0,0,True,True,False,active,0,122,122,2020-08-22 01:33:30,2020
112,True,2,2020-08-22 00:31:03+00:00,13,0,0,True,True,False,active,0,124,124,2020-08-22 01:33:30,2020
113,True,6,2020-08-22 01:31:57+00:00,7,0,0,True,True,False,active,2,125,125,2020-08-22 01:33:30,2020
114,True,10,2020-08-22 01:23:44+00:00,4,0,0,True,True,False,active,1,126,126,2020-08-22 01:33:30,2020
115,True,3,2020-08-22 00:46:03+00:00,16,0,0,True,True,False,active,0,128,128,2020-08-22 01:33:30,2020
116,True,11,2020-08-22 00:59:42+00:00,8,0,0,True,True,False,active,0,129,129,2020-08-22 01:33:30,2020
117,True,6,2020-08-22 00:43:41+00:00,9,0,0,True,True,False,active,0,130,130,2020-08-22 01:33:30,2020
118,True,18,2020-08-22 01:29:15+00:00,0,0,0,True,True,False,active,0,131,131,2020-08-22 01:33:30,2020
119,True,6,2020-08-22 00:39:27+00:00,16,0,0,True,True,False,active,1,133,133,2020-08-22 01:33:30,2020
120,True,0,2020-08-21 22:43:50+00:00,17,0,0,True,True,False,active,0,135,135,2020-08-22 01:33:30,2020
121,True,0,2020-08-21 22:23:29+00:00,19,0,0,True,True,False,active,0,136,136,2020-08-22 01:33:30,2020
122,True,4,2020-08-22 01:22:01+00:00,11,0,0,True,True,False,active,0,137,137,2020-08-22 01:33:30,2020
123,True,7,2020-08-22 00:51:26+00:00,7,0,0,True,True,False,active,1,138,138,2020-08-22 01:33:30,2020
124,True,1,2020-08-22 01:20:39+00:00,18,0,0,True,True,False,active,0,139,139,2020-08-22 01:33:30,2020
125,True,16,2020-08-22 00:44:44+00:00,1,0,0,True,True,False,active,0,140,140,2020-08-22 01:33:30,2020
126,True,9,2020-08-22 01:27:17+00:00,6,0,0,True,True,False,active,0,141,141,2020-08-22 01:33:30,2020
127,True,15,2020-08-22 01:31:49+00:00,8,0,0,True,True,False,active,0,142,142,2020-08-22 01:33:30,2020
128,True,10,2020-08-22 01:31:59+00:00,12,0,0,True,True,False,active,1,143,143,2020-08-22 01:33:30,2020
129,True,11,2020-08-21 23:49:11+00:00,8,0,0,True,True,False,active,0,144,144,2020-08-22 01:33:30,2020
130,True,18,2020-08-21 23:45:01+00:00,1,0,0,True,True,False,active,0,145,145,2020-08-22 01:33:30,2020
131,True,4,2020-08-22 01:17:41+00:00,15,0,0,True,True,False,active,0,146,146,2020-08-22 01:33:30,2020
132,True,10,2020-08-22 01:33:21+00:00,7,0,0,True,True,True,active,1,149,149,2020-08-22 01:33:30,2020
133,True,13,2020-08-22 01:10:05+00:00,5,0,0,True,True,False,active,1,150,150,2020-08-22 01:33:30,2020
134,True,9,2020-08-22 01:24:31+00:00,10,0,0,True,True,False,active,0,151,151,2020-08-22 01:33:30,2020
135,True,7,2020-08-22 01:04:33+00:00,8,0,0,True,True,True,active,0,152,152,2020-08-22 01:33:30,2020
136,True,4,2020-08-22 00:58:24+00:00,11,0,0,True,True,False,active,0,156,156,2020-08-22 01:33:30,2020
137,True,0,2020-08-22 01:24:22+00:00,15,0,0,True,True,False,active,0,157,157,2020-08-22 01:33:30,2020
138,True,3,2020-08-22 00:32:57+00:00,11,0,0,True,True,False,active,1,159,159,2020-08-22 01:33:30,2020
139,True,6,2020-08-22 00:43:49+00:00,8,0,0,True,True,True,active,0,160,160,2020-08-22 01:33:30,2020
140,True,19,2020-08-22 01:29:49+00:00,4,0,0,True,True,True,active,0,161,161,2020-08-22 01:33:30,2020
141,True,5,2020-08-21 20:15:52+00:00,10,0,0,True,True,False,active,0,162,162,2020-08-22 01:33:30,2020
142,True,8,2020-08-22 01:22:57+00:00,10,0,0,True,True,True,active,1,163,163,2020-08-22 01:33:30,2020
143,True,12,2020-08-22 01:30:41+00:00,3,0,0,True,True,False,active,0,167,167,2020-08-22 01:33:30,2020
144,True,5,2020-08-22 00:33:52+00:00,14,0,0,True,True,False,active,0,169,169,2020-08-22 01:33:30,2020
145,True,6,2020-08-21 23:05:17+00:00,8,0,0,True,True,True,active,0,170,170,2020-08-22 01:33:30,2020
146,True,12,2020-08-22 00:26:01+00:00,11,0,0,True,True,True,active,0,171,171,2020-08-22 01:33:30,2020
147,True,11,2020-08-21 23:54:29+00:00,2,0,0,True,True,True,active,1,173,173,2020-08-22 01:33:30,2020
148,True,8,2020-08-22 01:18:45+00:00,7,0,0,True,True,False,active,0,174,174,2020-08-22 01:33:30,2020
149,True,6,2020-08-22 00:38:57+00:00,11,0,0,True,True,True,active,0,175,175,2020-08-22 01:33:30,2020
150,True,11,2020-08-22 00:45:22+00:00,2,0,0,True,True,False,active,2,176,176,2020-08-22 01:33:30,2020
151,True,8,2020-08-22 01:19:24+00:00,11,0,0,True,True,False,active,0,177,177,2020-08-22 01:33:30,2020
