,num_docks_available,is_renting,last_reported,num_bikes_available,legacy_id,station_id,num_ebikes_available,num_docks_disabled,eightd_has_available_keys,num_bikes_disabled,is_installed,is_returning,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
196,10,True,2020-07-30 17:23:12+00:00,5,226,226,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
197,8,True,2020-07-30 17:25:34+00:00,10,227,227,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
198,9,True,2020-07-30 16:12:00+00:00,10,228,228,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
199,7,True,2020-07-30 08:11:52+00:00,4,232,232,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
200,8,True,2020-07-30 16:37:53+00:00,5,233,233,0,0,False,2,True,True,active,,,2020-07-30 17:35:50,2020
201,5,True,2020-07-30 16:54:25+00:00,10,234,234,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
202,9,True,2020-07-30 16:05:56+00:00,6,235,235,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
203,1,True,2020-07-30 17:24:49+00:00,14,236,236,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
204,14,True,2020-07-30 17:20:25+00:00,1,239,239,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
205,2,True,2020-07-30 01:59:20+00:00,13,255,255,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
206,5,True,2020-07-30 16:45:37+00:00,10,258,258,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
207,15,True,2020-07-30 17:16:15+00:00,0,259,259,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
208,9,True,2020-07-30 16:02:55+00:00,5,260,260,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
209,15,True,2020-07-30 17:14:14+00:00,0,271,271,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
210,13,True,2020-07-30 17:15:14+00:00,4,272,272,0,0,False,2,True,True,active,,,2020-07-30 17:35:50,2020
211,14,True,2020-07-30 16:45:45+00:00,26,273,273,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
212,10,True,2020-07-30 16:40:55+00:00,9,279,279,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
213,16,True,2020-07-30 16:54:25+00:00,3,280,280,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
214,7,True,2020-07-30 17:18:48+00:00,7,282,282,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
215,12,True,2020-07-30 17:21:11+00:00,11,296,296,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
216,0,True,2020-07-30 17:11:06+00:00,19,318,318,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
217,11,True,2020-07-30 16:44:54+00:00,14,319,319,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
218,2,True,2020-07-30 17:35:00+00:00,13,327,327,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
219,9,True,2020-07-30 17:35:43+00:00,6,328,328,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
220,3,True,2020-07-30 14:24:42+00:00,12,329,329,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
221,12,True,2020-07-30 17:04:41+00:00,3,330,330,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
222,0,True,2020-07-30 16:55:28+00:00,13,331,331,0,0,False,2,True,True,active,,,2020-07-30 17:35:50,2020
223,14,True,2020-07-30 17:23:00+00:00,1,332,332,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
224,6,True,2020-07-30 17:20:00+00:00,19,333,333,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
225,0,True,2020-07-30 16:57:09+00:00,19,334,334,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
226,5,True,2020-07-30 17:35:04+00:00,14,335,335,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
227,3,True,2020-07-30 15:39:42+00:00,12,336,336,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
228,0,True,2020-07-30 14:34:22+00:00,14,337,337,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
229,14,True,2020-07-30 16:04:10+00:00,1,338,338,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
230,3,True,2020-07-30 16:50:44+00:00,12,339,339,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
231,5,True,2020-07-30 15:05:44+00:00,13,340,340,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
