,station_id,num_bikes_disabled,eightd_has_available_keys,is_renting,station_status,legacy_id,last_reported,is_installed,num_ebikes_available,num_docks_disabled,num_docks_available,num_bikes_available,is_returning,timestamp_of_data_read_request,year_station_last_reported
203,236,0,False,True,active,236,2020-08-21 23:37:29+00:00,True,0,0,0,15,True,2020-08-22 00:22:00,2020
204,239,0,False,True,active,239,2020-08-22 00:06:48+00:00,True,0,0,12,3,True,2020-08-22 00:22:00,2020
205,255,0,False,True,active,255,2020-08-21 18:57:17+00:00,True,0,0,10,5,True,2020-08-22 00:22:00,2020
206,258,0,False,True,active,258,2020-08-21 23:15:29+00:00,True,0,0,1,14,True,2020-08-22 00:22:00,2020
207,259,0,False,True,active,259,2020-08-21 23:59:00+00:00,True,0,0,6,9,True,2020-08-22 00:22:00,2020
208,260,0,False,True,active,260,2020-08-21 23:00:46+00:00,True,0,0,11,4,True,2020-08-22 00:22:00,2020
209,271,0,False,True,active,271,2020-08-21 23:49:57+00:00,True,0,0,10,5,True,2020-08-22 00:22:00,2020
210,272,0,False,True,active,272,2020-08-22 00:11:20+00:00,True,0,0,12,7,True,2020-08-22 00:22:00,2020
211,273,0,False,True,active,273,2020-08-22 00:07:45+00:00,True,0,0,16,24,True,2020-08-22 00:22:00,2020
212,279,0,False,True,active,279,2020-08-21 22:09:37+00:00,True,0,0,0,19,True,2020-08-22 00:22:00,2020
213,280,0,False,True,active,280,2020-08-21 23:18:55+00:00,True,0,0,5,14,True,2020-08-22 00:22:00,2020
214,282,1,False,True,active,282,2020-08-22 00:05:17+00:00,True,0,0,5,9,True,2020-08-22 00:22:00,2020
215,296,1,False,True,active,296,2020-08-21 23:43:42+00:00,True,0,0,22,0,True,2020-08-22 00:22:00,2020
216,318,0,False,True,active,318,2020-08-22 00:10:51+00:00,True,0,0,18,1,True,2020-08-22 00:22:00,2020
217,319,0,False,True,active,319,2020-08-21 22:41:55+00:00,True,0,0,23,2,True,2020-08-22 00:22:00,2020
218,327,1,False,True,active,327,2020-08-21 23:30:05+00:00,True,0,0,12,2,True,2020-08-22 00:22:00,2020
219,328,0,False,True,active,328,2020-08-22 00:02:43+00:00,True,0,0,7,8,True,2020-08-22 00:22:00,2020
220,329,0,False,True,active,329,2020-08-21 22:54:28+00:00,True,0,0,5,10,True,2020-08-22 00:22:00,2020
221,330,0,False,True,active,330,2020-08-22 00:03:19+00:00,True,0,0,9,6,True,2020-08-22 00:22:00,2020
222,331,0,False,True,active,331,2020-08-22 00:18:36+00:00,True,0,0,3,12,True,2020-08-22 00:22:00,2020
223,332,0,False,True,active,332,2020-08-21 23:39:29+00:00,True,0,0,9,6,True,2020-08-22 00:22:00,2020
224,333,0,False,True,active,333,2020-08-21 23:44:33+00:00,True,0,0,4,21,True,2020-08-22 00:22:00,2020
225,334,0,False,True,active,334,2020-08-22 00:01:35+00:00,True,0,0,6,13,True,2020-08-22 00:22:00,2020
226,335,0,False,True,active,335,2020-08-21 23:36:54+00:00,True,0,0,14,5,True,2020-08-22 00:22:00,2020
227,336,0,False,True,active,336,2020-08-21 21:26:12+00:00,True,0,0,11,4,True,2020-08-22 00:22:00,2020
228,337,0,False,True,active,337,2020-08-22 00:18:44+00:00,True,0,0,1,14,True,2020-08-22 00:22:00,2020
