,legacy_id,eightd_has_available_keys,num_docks_disabled,is_installed,num_docks_available,last_reported,is_renting,num_bikes_available,is_returning,num_bikes_disabled,station_status,station_id,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
103,114,False,0,True,13,2020-07-30 13:27:43+00:00,True,2,True,0,active,114,0,,,2020-07-30 19:07:45,2020
104,115,False,0,True,9,2020-07-30 18:34:07+00:00,True,9,True,1,active,115,0,,,2020-07-30 19:07:45,2020
105,116,False,0,True,19,2020-07-30 18:39:54+00:00,True,4,True,0,active,116,0,,,2020-07-30 19:07:45,2020
106,117,False,0,True,0,2020-07-30 18:48:48+00:00,True,19,True,0,active,117,0,,,2020-07-30 19:07:45,2020
107,118,False,0,True,17,2020-07-30 18:23:51+00:00,True,2,True,0,active,118,0,,,2020-07-30 19:07:45,2020
108,119,False,0,True,9,2020-07-30 18:54:20+00:00,True,6,True,0,active,119,0,,,2020-07-30 19:07:45,2020
109,120,False,0,True,5,2020-07-30 19:05:05+00:00,True,8,True,2,active,120,0,,,2020-07-30 19:07:45,2020
110,121,False,0,True,16,2020-07-30 17:11:37+00:00,True,0,True,1,active,121,0,,,2020-07-30 19:07:45,2020
111,122,False,0,True,13,2020-07-30 17:27:01+00:00,True,2,True,0,active,122,0,,,2020-07-30 19:07:45,2020
112,124,False,0,True,10,2020-07-30 18:16:23+00:00,True,4,True,1,active,124,0,,,2020-07-30 19:07:45,2020
113,125,False,0,True,14,2020-07-30 18:58:53+00:00,True,1,True,0,active,125,0,,,2020-07-30 19:07:45,2020
114,126,False,0,True,15,2020-07-30 18:26:59+00:00,True,0,True,0,active,126,0,,,2020-07-30 19:07:45,2020
115,128,False,0,True,5,2020-07-30 19:02:53+00:00,True,13,True,1,active,128,0,,,2020-07-30 19:07:45,2020
116,129,False,0,True,13,2020-07-30 19:04:23+00:00,True,6,True,0,active,129,0,,,2020-07-30 19:07:45,2020
