,station_status,station_id,eightd_has_available_keys,is_returning,is_installed,last_reported,num_bikes_available,num_bikes_disabled,num_ebikes_available,is_renting,num_docks_available,num_docks_disabled,legacy_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
157,active,183,False,True,True,2020-08-13 19:13:43+00:00,9,1,0,True,9,0,183,,,2020-08-13 20:16:50,2020
158,active,184,False,True,True,2020-08-13 20:05:33+00:00,12,0,0,True,7,0,184,,,2020-08-13 20:16:50,2020
159,active,185,False,True,True,2020-08-13 20:05:10+00:00,10,0,0,True,5,0,185,,,2020-08-13 20:16:50,2020
160,active,186,True,True,True,2020-08-13 20:16:35+00:00,6,0,0,True,9,0,186,,,2020-08-13 20:16:50,2020
161,active,187,False,True,True,2020-08-13 19:44:25+00:00,4,0,0,True,11,0,187,,,2020-08-13 20:16:50,2020
162,active,188,False,True,True,2020-08-13 18:07:12+00:00,12,1,0,True,2,0,188,,,2020-08-13 20:16:50,2020
163,active,189,True,True,True,2020-08-13 19:53:11+00:00,11,0,0,True,12,0,189,,,2020-08-13 20:16:50,2020
164,active,190,True,True,True,2020-08-13 20:13:22+00:00,11,1,0,True,25,0,190,,,2020-08-13 20:16:50,2020
165,active,191,False,True,True,2020-08-13 20:14:37+00:00,6,0,0,True,9,0,191,,,2020-08-13 20:16:50,2020
166,active,192,False,True,True,2020-08-13 20:09:02+00:00,5,1,0,True,13,0,192,,,2020-08-13 20:16:50,2020
167,active,193,True,True,True,2020-08-13 20:01:26+00:00,4,1,0,True,10,0,193,,,2020-08-13 20:16:50,2020
168,active,194,False,True,True,2020-08-13 17:56:44+00:00,1,0,0,True,18,0,194,,,2020-08-13 20:16:50,2020
169,active,195,False,True,True,2020-08-13 20:00:43+00:00,3,1,0,True,19,0,195,,,2020-08-13 20:16:50,2020
170,active,196,True,True,True,2020-08-13 19:04:08+00:00,3,0,0,True,7,0,196,,,2020-08-13 20:16:50,2020
171,active,197,False,True,True,2020-08-13 20:12:17+00:00,1,1,0,True,13,0,197,,,2020-08-13 20:16:50,2020
172,active,199,False,True,True,2020-08-13 16:46:42+00:00,2,0,0,True,13,0,199,,,2020-08-13 20:16:50,2020
173,active,200,False,True,True,2020-08-13 19:58:40+00:00,14,1,0,True,4,0,200,,,2020-08-13 20:16:50,2020
174,active,201,False,True,True,2020-08-13 18:47:24+00:00,8,0,0,True,7,0,201,,,2020-08-13 20:16:50,2020
175,active,202,False,True,True,2020-08-13 19:16:50+00:00,2,0,0,True,13,0,202,,,2020-08-13 20:16:50,2020
176,active,203,False,True,True,2020-08-13 14:09:27+00:00,0,0,0,True,15,0,203,,,2020-08-13 20:16:50,2020
177,active,204,False,True,True,2020-08-13 04:10:02+00:00,0,1,0,True,14,0,204,,,2020-08-13 20:16:50,2020
178,active,205,False,True,True,2020-08-13 18:00:17+00:00,2,0,0,True,13,0,205,,,2020-08-13 20:16:50,2020
179,active,206,True,True,True,2020-08-13 20:05:12+00:00,7,1,0,True,15,0,206,,,2020-08-13 20:16:50,2020
180,active,208,True,True,True,2020-08-13 18:21:29+00:00,7,0,0,True,8,0,208,,,2020-08-13 20:16:50,2020
181,active,209,False,True,True,2020-08-13 17:43:17+00:00,6,0,0,True,9,0,209,,,2020-08-13 20:16:50,2020
182,active,210,False,True,True,2020-08-13 16:34:19+00:00,4,0,0,True,11,0,210,,,2020-08-13 20:16:50,2020
183,active,211,False,True,True,2020-08-13 20:07:57+00:00,5,0,0,True,14,0,211,,,2020-08-13 20:16:50,2020
184,active,212,False,True,True,2020-08-13 19:54:55+00:00,32,0,0,True,1,0,212,,,2020-08-13 20:16:50,2020
185,active,213,True,True,True,2020-08-13 19:13:32+00:00,6,0,0,True,10,0,213,,,2020-08-13 20:16:50,2020
186,active,214,False,True,True,2020-08-13 19:18:38+00:00,1,0,0,True,14,0,214,,,2020-08-13 20:16:50,2020
187,active,215,False,True,True,2020-08-13 10:44:35+00:00,5,0,0,True,10,0,215,,,2020-08-13 20:16:50,2020
188,active,216,False,True,True,2020-08-13 16:40:48+00:00,17,1,0,True,1,0,216,,,2020-08-13 20:16:50,2020
189,active,217,False,True,True,2020-08-13 19:38:26+00:00,8,0,0,True,11,0,217,,,2020-08-13 20:16:50,2020
190,active,218,False,True,True,2020-08-13 19:50:29+00:00,4,0,0,True,11,0,218,,,2020-08-13 20:16:50,2020
191,active,219,False,True,True,2020-08-13 11:05:56+00:00,7,1,0,True,7,0,219,,,2020-08-13 20:16:50,2020
192,active,221,False,True,True,2020-08-13 18:58:12+00:00,4,0,0,True,15,0,221,,,2020-08-13 20:16:50,2020
193,active,222,True,True,True,2020-08-13 19:54:05+00:00,3,0,0,True,11,0,222,,,2020-08-13 20:16:50,2020
194,active,224,False,True,True,2020-08-13 19:52:29+00:00,10,1,0,True,6,0,224,,,2020-08-13 20:16:50,2020
195,active,225,False,True,True,2020-08-13 19:45:23+00:00,1,1,0,True,17,0,225,,,2020-08-13 20:16:50,2020
196,active,226,False,True,True,2020-08-13 20:05:06+00:00,1,0,0,True,14,0,226,,,2020-08-13 20:16:50,2020
197,active,227,False,True,True,2020-08-13 19:56:39+00:00,9,3,0,True,7,0,227,,,2020-08-13 20:16:50,2020
198,active,228,False,True,True,2020-08-13 17:17:40+00:00,7,0,0,True,12,0,228,,,2020-08-13 20:16:50,2020
199,active,232,False,True,True,2020-08-13 03:23:26+00:00,7,0,0,True,4,0,232,,,2020-08-13 20:16:50,2020
200,active,233,False,True,True,2020-08-13 17:53:14+00:00,14,0,0,True,1,0,233,,,2020-08-13 20:16:50,2020
201,active,234,False,True,True,2020-08-13 20:02:36+00:00,1,0,0,True,14,0,234,,,2020-08-13 20:16:50,2020
202,active,235,False,True,True,2020-08-13 19:45:33+00:00,8,0,0,True,7,0,235,,,2020-08-13 20:16:50,2020
203,active,236,False,True,True,2020-08-13 20:13:37+00:00,12,0,0,True,3,0,236,,,2020-08-13 20:16:50,2020
204,active,239,False,True,True,2020-08-13 18:21:22+00:00,6,0,0,True,9,0,239,,,2020-08-13 20:16:50,2020
205,active,255,False,True,True,2020-08-13 12:33:28+00:00,10,0,0,True,5,0,255,,,2020-08-13 20:16:50,2020
206,active,258,False,True,True,2020-08-13 12:17:43+00:00,11,0,0,True,4,0,258,,,2020-08-13 20:16:50,2020
207,active,259,False,True,True,2020-08-13 18:35:59+00:00,14,0,0,True,1,0,259,,,2020-08-13 20:16:50,2020
208,active,260,False,True,True,2020-08-13 19:33:33+00:00,14,0,0,True,1,0,260,,,2020-08-13 20:16:50,2020
209,active,271,False,True,True,2020-08-13 19:07:23+00:00,9,0,0,True,6,0,271,,,2020-08-13 20:16:50,2020
210,active,272,False,True,True,2020-08-13 19:51:34+00:00,8,1,0,True,10,0,272,,,2020-08-13 20:16:50,2020
211,active,273,False,True,True,2020-08-13 19:54:21+00:00,16,0,0,True,24,0,273,,,2020-08-13 20:16:50,2020
212,active,279,False,True,True,2020-08-13 20:13:11+00:00,15,0,0,True,4,0,279,,,2020-08-13 20:16:50,2020
213,active,280,False,True,True,2020-08-13 19:14:10+00:00,11,1,0,True,7,0,280,,,2020-08-13 20:16:50,2020
214,active,282,False,True,True,2020-08-13 19:40:56+00:00,1,1,0,True,13,0,282,,,2020-08-13 20:16:50,2020
215,active,296,False,True,True,2020-08-13 20:06:22+00:00,15,0,0,True,8,0,296,,,2020-08-13 20:16:50,2020
216,active,318,False,True,True,2020-08-13 20:00:03+00:00,12,1,0,True,6,0,318,,,2020-08-13 20:16:50,2020
