,is_returning,num_bikes_available,station_status,eightd_has_available_keys,num_docks_disabled,station_id,num_bikes_disabled,num_docks_available,is_renting,legacy_id,num_ebikes_available,last_reported,is_installed,timestamp_of_data_read_request,year_station_last_reported
188,True,18,active,False,0,216,1,0,True,216,0,2020-08-13 04:04:19+00:00,True,2020-08-13 05:38:40,2020
189,True,12,active,False,0,217,0,7,True,217,0,2020-08-13 05:03:57+00:00,True,2020-08-13 05:38:40,2020
190,True,0,active,False,0,218,0,15,True,218,0,2020-08-13 04:50:20+00:00,True,2020-08-13 05:38:40,2020
191,True,6,active,False,0,219,1,8,True,219,0,2020-08-13 03:29:42+00:00,True,2020-08-13 05:38:40,2020
192,True,15,active,False,0,221,0,4,True,221,0,2020-08-13 03:24:30+00:00,True,2020-08-13 05:38:40,2020
193,True,8,active,True,0,222,0,6,True,222,0,2020-08-13 03:23:22+00:00,True,2020-08-13 05:38:40,2020
194,True,13,active,False,0,224,2,2,True,224,0,2020-08-13 03:23:55+00:00,True,2020-08-13 05:38:40,2020
195,True,14,active,False,0,225,1,4,True,225,0,2020-08-13 05:17:09+00:00,True,2020-08-13 05:38:40,2020
196,True,4,active,False,0,226,0,11,True,226,0,2020-08-13 04:47:21+00:00,True,2020-08-13 05:38:40,2020
197,True,11,active,False,0,227,3,5,True,227,0,2020-08-13 04:02:54+00:00,True,2020-08-13 05:38:40,2020
198,True,1,active,False,0,228,1,17,True,228,0,2020-08-13 03:23:32+00:00,True,2020-08-13 05:38:40,2020
199,True,7,active,False,0,232,0,4,True,232,0,2020-08-13 03:23:26+00:00,True,2020-08-13 05:38:40,2020
200,False,6,active,False,0,233,0,9,False,233,0,2020-08-12 18:16:55+00:00,True,2020-08-13 05:38:40,2020
201,True,5,active,False,0,234,0,10,True,234,0,2020-08-13 03:23:49+00:00,True,2020-08-13 05:38:40,2020
202,True,10,active,False,0,235,0,5,True,235,0,2020-08-13 03:23:39+00:00,True,2020-08-13 05:38:40,2020
203,True,11,active,False,0,236,0,4,True,236,0,2020-08-13 03:24:05+00:00,True,2020-08-13 05:38:40,2020
204,True,13,active,False,0,239,0,2,True,239,0,2020-08-13 03:23:57+00:00,True,2020-08-13 05:38:40,2020
205,True,9,active,False,0,255,0,6,True,255,0,2020-08-13 04:03:35+00:00,True,2020-08-13 05:38:40,2020
206,True,10,active,False,0,258,0,5,True,258,0,2020-08-13 03:24:46+00:00,True,2020-08-13 05:38:40,2020
207,True,14,active,False,0,259,0,1,True,259,0,2020-08-13 04:03:59+00:00,True,2020-08-13 05:38:40,2020
208,False,12,active,False,0,260,0,3,False,260,0,2020-08-12 20:35:39+00:00,True,2020-08-13 05:38:40,2020
209,True,3,active,False,0,271,0,12,True,271,0,2020-08-13 04:27:56+00:00,True,2020-08-13 05:38:40,2020
