,eightd_has_available_keys,num_bikes_available,station_status,last_reported,num_docks_disabled,is_renting,is_returning,legacy_id,num_bikes_disabled,station_id,num_docks_available,is_installed,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
293,False,9,active,2020-08-08 17:12:29+00:00,0,True,True,405,0,405,10,True,0,,,2020-08-08 19:33:30,2020
294,False,17,active,2020-08-08 16:17:22+00:00,0,True,True,406,0,406,2,True,0,,,2020-08-08 19:33:30,2020
295,False,6,active,2020-08-08 18:26:36+00:00,0,True,True,407,0,407,13,True,0,,,2020-08-08 19:33:30,2020
296,False,5,active,2020-08-08 19:31:57+00:00,0,True,True,408,0,408,10,True,0,,,2020-08-08 19:33:30,2020
297,False,2,active,2020-08-08 19:12:25+00:00,0,True,True,409,0,409,17,True,0,,,2020-08-08 19:33:30,2020
298,False,12,active,2020-08-08 18:51:52+00:00,0,True,True,410,0,410,7,True,0,,,2020-08-08 19:33:30,2020
299,False,5,active,2020-08-08 14:13:54+00:00,0,True,True,411,0,411,10,True,0,,,2020-08-08 19:33:30,2020
300,False,13,active,2020-08-08 19:18:34+00:00,0,True,True,412,0,412,6,True,0,,,2020-08-08 19:33:30,2020
301,False,2,active,2020-08-08 19:27:37+00:00,0,True,True,413,0,413,14,True,0,,,2020-08-08 19:33:30,2020
302,False,1,active,2020-08-08 17:43:09+00:00,0,True,True,414,0,414,22,True,0,,,2020-08-08 19:33:30,2020
303,False,7,active,2020-08-08 19:21:36+00:00,0,True,True,415,0,415,12,True,0,,,2020-08-08 19:33:30,2020
304,False,4,active,2020-08-08 19:33:25+00:00,0,True,True,416,1,416,10,True,0,,,2020-08-08 19:33:30,2020
305,False,5,active,2020-08-08 19:32:45+00:00,0,True,True,417,0,417,14,True,0,,,2020-08-08 19:33:30,2020
306,False,9,active,2020-08-08 18:50:36+00:00,0,True,True,419,0,419,6,True,0,,,2020-08-08 19:33:30,2020
307,False,0,out_of_service,1970-01-02 00:00:00+00:00,0,False,False,420,0,420,0,False,0,,,2020-08-08 19:33:30,1970
308,False,17,active,2020-08-08 13:56:05+00:00,0,True,True,421,0,421,2,True,0,,,2020-08-08 19:33:30,2020
309,False,9,active,2020-08-08 19:17:06+00:00,0,True,True,422,1,422,5,True,0,,,2020-08-08 19:33:30,2020
310,False,3,active,2020-08-08 15:10:13+00:00,0,True,True,423,0,423,16,True,0,,,2020-08-08 19:33:30,2020
311,False,4,active,2020-08-08 18:27:06+00:00,0,True,True,424,0,424,15,True,0,,,2020-08-08 19:33:30,2020
312,False,9,active,2020-08-08 17:31:40+00:00,0,True,True,425,0,425,7,True,0,,,2020-08-08 19:33:30,2020
313,False,9,active,2020-08-08 18:05:20+00:00,0,True,True,426,0,426,18,True,0,,,2020-08-08 19:33:30,2020
314,False,1,active,2020-08-08 19:21:37+00:00,0,True,True,427,0,427,18,True,0,,,2020-08-08 19:33:30,2020
315,False,8,active,2020-08-08 19:10:17+00:00,0,True,True,428,0,428,11,True,0,,,2020-08-08 19:33:30,2020
316,False,16,active,2020-08-08 12:47:21+00:00,0,True,True,430,0,430,3,True,0,,,2020-08-08 19:33:30,2020
317,False,2,active,2020-08-08 19:31:11+00:00,0,True,True,431,0,431,13,True,0,,,2020-08-08 19:33:30,2020
318,False,9,active,2020-08-08 17:29:17+00:00,0,True,True,432,0,432,10,True,0,,,2020-08-08 19:33:30,2020
319,False,4,active,2020-08-08 18:27:26+00:00,0,True,True,433,1,433,14,True,0,,,2020-08-08 19:33:30,2020
320,False,0,active,2020-08-08 08:59:56+00:00,0,True,True,434,0,434,19,True,0,,,2020-08-08 19:33:30,2020
321,False,5,active,2020-08-08 19:20:30+00:00,0,True,True,435,0,435,10,True,0,,,2020-08-08 19:33:30,2020
322,False,0,active,2020-08-08 15:16:24+00:00,0,True,True,436,0,436,15,True,0,,,2020-08-08 19:33:30,2020
323,False,0,active,2020-08-08 19:33:06+00:00,0,True,True,437,0,437,19,True,0,,,2020-08-08 19:33:30,2020
324,False,0,active,2020-08-08 18:57:37+00:00,0,True,True,440,0,440,17,True,0,,,2020-08-08 19:33:30,2020
325,False,11,active,2020-08-08 19:33:16+00:00,0,True,True,441,1,441,7,True,0,,,2020-08-08 19:33:30,2020
326,False,11,active,2020-08-08 15:09:31+00:00,0,True,True,442,0,442,4,True,0,,,2020-08-08 19:33:30,2020
327,False,0,active,2020-08-08 18:51:29+00:00,0,True,True,443,0,443,19,True,0,,,2020-08-08 19:33:30,2020
328,False,7,active,2020-08-08 18:46:02+00:00,0,True,True,445,0,445,12,True,0,,,2020-08-08 19:33:30,2020
329,False,6,active,2020-08-08 19:28:12+00:00,0,True,True,446,0,446,6,True,0,,,2020-08-08 19:33:30,2020
330,False,0,active,2020-08-08 15:10:15+00:00,0,True,True,447,0,447,19,True,0,,,2020-08-08 19:33:30,2020
331,False,4,active,2020-08-07 18:50:43+00:00,0,True,True,448,0,448,7,True,0,,,2020-08-08 19:33:30,2020
332,False,0,out_of_service,1970-01-02 00:00:00+00:00,0,True,True,449,0,449,0,False,0,,,2020-08-08 19:33:30,1970
333,False,0,active,2020-08-08 18:30:31+00:00,0,True,True,450,0,450,15,True,0,,,2020-08-08 19:33:30,2020
334,False,1,active,2020-08-08 19:27:27+00:00,0,True,True,451,0,451,14,True,0,,,2020-08-08 19:33:30,2020
335,False,8,active,2020-08-08 19:30:32+00:00,0,True,True,452,1,452,6,True,0,,,2020-08-08 19:33:30,2020
336,False,6,active,2020-08-08 19:02:27+00:00,0,True,True,453,0,453,9,True,0,,,2020-08-08 19:33:30,2020
337,False,6,active,2020-08-08 19:26:39+00:00,0,True,True,454,0,454,9,True,0,,,2020-08-08 19:33:30,2020
338,False,5,active,2020-08-08 18:35:39+00:00,0,True,True,455,1,455,6,True,0,,,2020-08-08 19:33:30,2020
339,False,8,active,2020-08-08 18:12:34+00:00,0,True,True,456,0,456,11,True,0,,,2020-08-08 19:33:30,2020
340,False,1,active,2020-08-08 13:15:14+00:00,0,True,True,457,0,457,10,True,0,,,2020-08-08 19:33:30,2020
341,False,1,active,2020-08-08 19:33:24+00:00,0,True,True,458,0,458,10,True,0,,,2020-08-08 19:33:30,2020
