,eightd_has_available_keys,legacy_id,is_returning,last_reported,num_bikes_disabled,num_docks_available,station_id,num_docks_disabled,is_installed,num_bikes_available,is_renting,num_ebikes_available,station_status,timestamp_of_data_read_request,year_station_last_reported
107,False,118,True,2020-08-11 02:22:40+00:00,1,0,118,0,True,18,True,0,active,2020-08-11 06:58:45,2020
108,False,119,True,2020-08-11 03:59:42+00:00,0,14,119,0,True,1,True,0,active,2020-08-11 06:58:45,2020
109,False,120,True,2020-08-11 05:15:38+00:00,1,3,120,0,True,11,True,0,active,2020-08-11 06:58:45,2020
110,False,121,True,2020-08-11 03:21:27+00:00,0,10,121,0,True,7,True,0,active,2020-08-11 06:58:45,2020
111,False,122,True,2020-08-11 06:07:55+00:00,0,10,122,0,True,5,True,0,active,2020-08-11 06:58:45,2020
112,False,124,True,2020-08-11 00:41:14+00:00,0,4,124,0,True,11,True,0,active,2020-08-11 06:58:45,2020
113,False,125,True,2020-08-11 03:06:56+00:00,0,9,125,0,True,6,True,0,active,2020-08-11 06:58:45,2020
114,False,126,True,2020-08-11 05:14:03+00:00,0,10,126,0,True,5,True,0,active,2020-08-11 06:58:45,2020
115,False,128,True,2020-08-11 04:34:31+00:00,0,7,128,0,True,12,True,0,active,2020-08-11 06:58:45,2020
116,False,129,True,2020-08-11 02:38:45+00:00,0,7,129,0,True,12,True,0,active,2020-08-11 06:58:45,2020
117,False,130,True,2020-08-11 02:12:28+00:00,0,3,130,0,True,12,True,0,active,2020-08-11 06:58:45,2020
118,False,131,True,2020-08-11 02:24:42+00:00,0,0,131,0,True,18,True,0,active,2020-08-11 06:58:45,2020
119,False,133,True,2020-08-11 02:10:17+00:00,1,4,133,0,True,18,True,0,active,2020-08-11 06:58:45,2020
120,False,135,True,2020-08-11 06:43:06+00:00,1,12,135,0,True,4,True,0,active,2020-08-11 06:58:45,2020
121,False,136,True,2020-08-11 00:39:52+00:00,1,12,136,0,True,6,True,0,active,2020-08-11 06:58:45,2020
122,False,137,True,2020-08-11 02:03:19+00:00,0,3,137,0,True,12,True,0,active,2020-08-11 06:58:45,2020
123,False,138,True,2020-08-11 00:52:25+00:00,2,1,138,0,True,12,True,0,active,2020-08-11 06:58:45,2020
124,False,139,True,2020-08-11 06:14:42+00:00,0,11,139,0,True,8,True,0,active,2020-08-11 06:58:45,2020
125,False,140,True,2020-08-11 06:34:08+00:00,0,5,140,0,True,12,True,0,active,2020-08-11 06:58:45,2020
126,False,141,True,2020-08-11 03:48:25+00:00,0,7,141,0,True,8,True,0,active,2020-08-11 06:58:45,2020
127,False,142,True,2020-08-11 00:54:24+00:00,0,6,142,0,True,17,True,0,active,2020-08-11 06:58:45,2020
128,False,143,True,2020-08-11 04:48:11+00:00,0,5,143,0,True,18,True,0,active,2020-08-11 06:58:45,2020
129,False,144,True,2020-08-11 00:35:41+00:00,0,5,144,0,True,14,True,0,active,2020-08-11 06:58:45,2020
130,False,145,True,2020-08-11 01:47:51+00:00,0,2,145,0,True,17,True,0,active,2020-08-11 06:58:45,2020
131,False,146,True,2020-08-11 00:54:41+00:00,2,14,146,0,True,3,True,0,active,2020-08-11 06:58:45,2020
132,True,149,True,2020-08-11 02:19:11+00:00,0,3,149,0,True,15,True,0,active,2020-08-11 06:58:45,2020
133,False,150,True,2020-08-11 03:08:21+00:00,1,8,150,0,True,10,True,0,active,2020-08-11 06:58:45,2020
134,False,151,True,2020-08-11 06:57:24+00:00,0,17,151,0,True,2,True,0,active,2020-08-11 06:58:45,2020
135,True,152,True,2020-08-11 00:37:13+00:00,0,1,152,0,True,14,True,0,active,2020-08-11 06:58:45,2020
136,False,156,True,2020-08-11 03:18:15+00:00,0,12,156,0,True,3,True,0,active,2020-08-11 06:58:45,2020
137,False,157,True,2020-08-11 05:28:08+00:00,2,5,157,0,True,8,True,0,active,2020-08-11 06:58:45,2020
138,False,159,True,2020-08-11 05:44:59+00:00,1,6,159,0,True,8,True,0,active,2020-08-11 06:58:45,2020
139,True,160,True,2020-08-11 05:33:22+00:00,0,6,160,0,True,8,True,0,active,2020-08-11 06:58:45,2020
140,True,161,True,2020-08-11 02:28:31+00:00,2,8,161,0,True,13,True,0,active,2020-08-11 06:58:45,2020
141,False,162,True,2020-08-11 00:33:12+00:00,0,9,162,0,True,6,True,0,active,2020-08-11 06:58:45,2020
142,True,163,True,2020-08-11 02:14:44+00:00,0,9,163,0,True,10,True,0,active,2020-08-11 06:58:45,2020
143,False,167,True,2020-08-11 02:54:06+00:00,0,9,167,0,True,6,True,0,active,2020-08-11 06:58:45,2020
144,False,169,True,2020-08-11 00:20:45+00:00,0,4,169,0,True,15,True,0,active,2020-08-11 06:58:45,2020
145,True,170,True,2020-08-11 00:26:00+00:00,0,11,170,0,True,3,True,0,active,2020-08-11 06:58:45,2020
146,True,171,True,2020-08-11 01:27:24+00:00,0,18,171,0,True,5,True,0,active,2020-08-11 06:58:45,2020
147,True,173,True,2020-08-11 04:26:17+00:00,0,3,173,0,True,11,True,0,active,2020-08-11 06:58:45,2020
148,False,174,True,2020-08-11 02:37:46+00:00,0,9,174,0,True,6,True,0,active,2020-08-11 06:58:45,2020
149,True,175,True,2020-08-11 01:38:46+00:00,0,16,175,0,True,1,True,0,active,2020-08-11 06:58:45,2020
150,False,176,True,2020-08-11 03:37:46+00:00,0,1,176,0,True,14,True,0,active,2020-08-11 06:58:45,2020
151,False,177,True,2020-08-11 03:22:26+00:00,0,19,177,0,True,0,True,0,active,2020-08-11 06:58:45,2020
152,False,178,True,2020-08-11 06:33:57+00:00,0,10,178,0,True,9,True,0,active,2020-08-11 06:58:45,2020
153,False,179,True,2020-08-11 05:36:54+00:00,0,14,179,0,True,11,True,0,active,2020-08-11 06:58:45,2020
154,False,180,True,2020-08-11 00:13:05+00:00,0,4,180,0,True,15,True,0,active,2020-08-11 06:58:45,2020
155,False,181,True,2020-08-11 00:24:18+00:00,0,4,181,0,True,15,True,0,active,2020-08-11 06:58:45,2020
156,True,182,True,2020-08-11 00:42:30+00:00,0,13,182,0,True,6,True,0,active,2020-08-11 06:58:45,2020
157,False,183,True,2020-08-11 03:49:58+00:00,0,17,183,0,True,2,True,0,active,2020-08-11 06:58:45,2020
158,False,184,True,2020-08-11 05:49:43+00:00,0,8,184,0,True,11,True,0,active,2020-08-11 06:58:45,2020
159,False,185,True,2020-08-11 06:14:59+00:00,0,6,185,0,True,9,True,0,active,2020-08-11 06:58:45,2020
160,True,186,True,2020-08-11 02:26:12+00:00,2,0,186,0,True,13,True,0,active,2020-08-11 06:58:45,2020
161,False,187,True,2020-08-11 00:24:38+00:00,0,2,187,0,True,13,True,0,active,2020-08-11 06:58:45,2020
162,False,188,True,2020-08-11 02:14:30+00:00,0,5,188,0,True,10,True,0,active,2020-08-11 06:58:45,2020
163,True,189,True,2020-08-11 04:02:54+00:00,1,14,189,0,True,8,True,0,active,2020-08-11 06:58:45,2020
164,True,190,True,2020-08-11 05:49:30+00:00,1,10,190,0,True,26,True,0,active,2020-08-11 06:58:45,2020
165,False,191,True,2020-08-11 05:36:28+00:00,0,12,191,0,True,3,True,0,active,2020-08-11 06:58:45,2020
166,False,192,True,2020-08-11 02:21:50+00:00,0,11,192,0,True,8,True,0,active,2020-08-11 06:58:45,2020
167,True,193,True,2020-08-11 01:49:48+00:00,0,9,193,0,True,6,True,0,active,2020-08-11 06:58:45,2020
168,False,194,True,2020-08-11 04:55:53+00:00,0,15,194,0,True,4,True,0,active,2020-08-11 06:58:45,2020
169,False,195,True,2020-08-11 04:48:33+00:00,1,7,195,0,True,15,True,0,active,2020-08-11 06:58:45,2020
170,True,196,True,2020-08-11 06:53:40+00:00,0,9,196,0,True,1,True,0,active,2020-08-11 06:58:45,2020
171,False,197,True,2020-08-11 00:47:31+00:00,0,14,197,0,True,1,True,0,active,2020-08-11 06:58:45,2020
172,False,199,True,2020-08-11 01:55:51+00:00,0,13,199,0,True,2,True,0,active,2020-08-11 06:58:45,2020
173,False,200,True,2020-08-11 06:30:40+00:00,2,5,200,0,True,12,True,0,active,2020-08-11 06:58:45,2020
174,False,201,True,2020-08-10 18:33:21+00:00,0,13,201,0,True,2,True,0,active,2020-08-11 06:58:45,2020
175,False,202,True,2020-08-11 02:12:05+00:00,0,11,202,0,True,4,True,0,active,2020-08-11 06:58:45,2020
176,False,203,True,2020-08-11 01:16:49+00:00,1,11,203,0,True,3,True,0,active,2020-08-11 06:58:45,2020
177,False,204,True,2020-08-11 01:31:16+00:00,0,12,204,0,True,3,True,0,active,2020-08-11 06:58:45,2020
178,False,205,True,2020-08-11 05:13:39+00:00,0,10,205,0,True,5,True,0,active,2020-08-11 06:58:45,2020
179,True,206,True,2020-08-11 03:51:29+00:00,0,22,206,0,True,1,True,0,active,2020-08-11 06:58:45,2020
180,True,208,True,2020-08-11 01:06:25+00:00,0,11,208,0,True,4,True,0,active,2020-08-11 06:58:45,2020
181,False,209,True,2020-08-10 22:38:44+00:00,0,7,209,0,True,8,True,0,active,2020-08-11 06:58:45,2020
182,False,210,True,2020-08-11 04:33:27+00:00,0,10,210,0,True,5,True,0,active,2020-08-11 06:58:45,2020
183,False,211,True,2020-08-11 00:57:00+00:00,0,14,211,0,True,5,True,0,active,2020-08-11 06:58:45,2020
184,False,212,True,2020-08-11 04:55:31+00:00,0,7,212,0,True,26,True,0,active,2020-08-11 06:58:45,2020
185,True,213,True,2020-08-11 05:49:04+00:00,0,8,213,0,True,8,True,0,active,2020-08-11 06:58:45,2020
186,False,214,True,2020-08-11 03:30:24+00:00,0,10,214,0,True,5,True,0,active,2020-08-11 06:58:45,2020
187,False,215,True,2020-08-11 02:56:26+00:00,0,8,215,0,True,7,True,0,active,2020-08-11 06:58:45,2020
188,False,216,True,2020-08-10 23:27:09+00:00,1,2,216,0,True,16,True,0,active,2020-08-11 06:58:45,2020
189,False,217,True,2020-08-11 05:12:33+00:00,0,2,217,0,True,17,True,0,active,2020-08-11 06:58:45,2020
190,False,218,True,2020-08-11 04:22:01+00:00,1,14,218,0,True,0,True,0,active,2020-08-11 06:58:45,2020
191,False,219,True,2020-08-11 02:31:39+00:00,0,9,219,0,True,6,True,0,active,2020-08-11 06:58:45,2020
192,False,221,True,2020-08-11 05:15:26+00:00,0,4,221,0,True,15,True,0,active,2020-08-11 06:58:45,2020
193,True,222,True,2020-08-11 02:56:26+00:00,0,8,222,0,True,6,True,0,active,2020-08-11 06:58:45,2020
194,False,224,True,2020-08-11 04:06:48+00:00,0,7,224,0,True,10,True,0,active,2020-08-11 06:58:45,2020
195,False,225,True,2020-08-11 04:24:50+00:00,0,4,225,0,True,15,True,0,active,2020-08-11 06:58:45,2020
196,False,226,True,2020-08-11 04:04:53+00:00,0,13,226,0,True,2,True,0,active,2020-08-11 06:58:45,2020
197,False,227,True,2020-08-11 04:34:01+00:00,0,11,227,0,True,8,True,0,active,2020-08-11 06:58:45,2020
198,False,228,True,2020-08-11 04:47:43+00:00,0,8,228,0,True,11,True,0,active,2020-08-11 06:58:45,2020
199,False,232,True,2020-08-11 01:22:39+00:00,0,3,232,0,True,8,True,0,active,2020-08-11 06:58:45,2020
