,eightd_has_available_keys,legacy_id,num_bikes_available,is_installed,station_status,num_bikes_disabled,last_reported,num_docks_available,num_ebikes_available,station_id,num_docks_disabled,is_returning,is_renting,timestamp_of_data_read_request,year_station_last_reported
179,True,206,0,True,active,1,2020-08-13 04:00:20+00:00,22,0,206,0,True,True,2020-08-13 04:27:10,2020
180,True,208,6,True,active,1,2020-08-13 03:23:16+00:00,8,0,208,0,True,True,2020-08-13 04:27:10,2020
181,False,209,5,True,active,0,2020-08-13 04:02:38+00:00,10,0,209,0,True,True,2020-08-13 04:27:10,2020
182,False,210,1,True,active,0,2020-08-13 03:24:48+00:00,14,0,210,0,True,True,2020-08-13 04:27:10,2020
183,False,211,4,True,active,0,2020-08-13 04:03:01+00:00,15,0,211,0,True,True,2020-08-13 04:27:10,2020
184,False,212,31,True,active,0,2020-08-13 03:56:57+00:00,2,0,212,0,True,True,2020-08-13 04:27:10,2020
185,True,213,3,True,active,0,2020-08-13 03:28:10+00:00,13,0,213,0,True,True,2020-08-13 04:27:10,2020
186,False,214,4,True,active,0,2020-08-13 03:58:45+00:00,11,0,214,0,True,True,2020-08-13 04:27:10,2020
187,False,215,5,True,active,1,2020-08-13 04:14:07+00:00,9,0,215,0,True,True,2020-08-13 04:27:10,2020
188,False,216,18,True,active,1,2020-08-13 04:04:19+00:00,0,0,216,0,True,True,2020-08-13 04:27:10,2020
189,False,217,13,True,active,0,2020-08-13 03:29:06+00:00,6,0,217,0,True,True,2020-08-13 04:27:10,2020
190,False,218,1,True,active,0,2020-08-13 03:23:15+00:00,14,0,218,0,True,True,2020-08-13 04:27:10,2020
191,False,219,6,True,active,1,2020-08-13 03:29:42+00:00,8,0,219,0,True,True,2020-08-13 04:27:10,2020
192,False,221,15,True,active,0,2020-08-13 03:24:30+00:00,4,0,221,0,True,True,2020-08-13 04:27:10,2020
193,True,222,8,True,active,0,2020-08-13 03:23:22+00:00,6,0,222,0,True,True,2020-08-13 04:27:10,2020
194,False,224,13,True,active,2,2020-08-13 03:23:55+00:00,2,0,224,0,True,True,2020-08-13 04:27:10,2020
195,False,225,12,True,active,1,2020-08-13 04:03:06+00:00,6,0,225,0,True,True,2020-08-13 04:27:10,2020
196,False,226,3,True,active,0,2020-08-13 04:13:41+00:00,12,0,226,0,True,True,2020-08-13 04:27:10,2020
197,False,227,11,True,active,3,2020-08-13 04:02:54+00:00,5,0,227,0,True,True,2020-08-13 04:27:10,2020
198,False,228,1,True,active,1,2020-08-13 03:23:32+00:00,17,0,228,0,True,True,2020-08-13 04:27:10,2020
199,False,232,7,True,active,0,2020-08-13 03:23:26+00:00,4,0,232,0,True,True,2020-08-13 04:27:10,2020
200,False,233,6,True,active,0,2020-08-12 18:16:55+00:00,9,0,233,0,False,False,2020-08-13 04:27:10,2020
201,False,234,5,True,active,0,2020-08-13 03:23:49+00:00,10,0,234,0,True,True,2020-08-13 04:27:10,2020
202,False,235,10,True,active,0,2020-08-13 03:23:39+00:00,5,0,235,0,True,True,2020-08-13 04:27:10,2020
203,False,236,11,True,active,0,2020-08-13 03:24:05+00:00,4,0,236,0,True,True,2020-08-13 04:27:10,2020
