,station_id,is_installed,legacy_id,num_bikes_available,num_bikes_disabled,last_reported,is_returning,num_docks_disabled,num_ebikes_available,is_renting,station_status,eightd_has_available_keys,num_docks_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
184,212,True,212,22,0,2020-08-04 22:50:31+00:00,True,0,0,True,active,False,11,,,2020-08-04 22:59:25,2020
185,213,True,213,4,0,2020-08-04 21:42:45+00:00,True,0,0,True,active,True,12,,,2020-08-04 22:59:25,2020
186,214,True,214,5,0,2020-08-04 22:41:21+00:00,True,0,0,True,active,False,10,,,2020-08-04 22:59:25,2020
187,215,True,215,15,0,2020-08-04 19:07:32+00:00,True,0,0,True,active,False,0,,,2020-08-04 22:59:25,2020
188,216,True,216,12,0,2020-08-04 18:10:19+00:00,True,0,0,True,active,False,7,,,2020-08-04 22:59:25,2020
189,217,True,217,16,1,2020-08-04 20:01:05+00:00,True,0,0,True,active,False,2,,,2020-08-04 22:59:25,2020
190,218,True,218,6,1,2020-08-04 22:40:15+00:00,True,0,0,True,active,False,8,,,2020-08-04 22:59:25,2020
191,219,True,219,9,0,2020-08-04 20:19:56+00:00,True,0,0,True,active,False,6,,,2020-08-04 22:59:25,2020
192,221,True,221,4,0,2020-08-04 22:45:12+00:00,True,0,0,True,active,False,15,,,2020-08-04 22:59:25,2020
193,222,True,222,8,0,2020-08-04 22:53:23+00:00,True,0,0,True,active,True,6,,,2020-08-04 22:59:25,2020
194,224,True,224,6,0,2020-08-04 20:31:14+00:00,True,0,0,True,active,False,11,,,2020-08-04 22:59:25,2020
195,225,True,225,2,0,2020-08-04 22:59:02+00:00,True,0,0,True,active,False,17,,,2020-08-04 22:59:25,2020
196,226,True,226,9,1,2020-08-04 22:47:46+00:00,True,0,0,True,active,False,5,,,2020-08-04 22:59:25,2020
197,227,True,227,6,0,2020-08-04 22:48:01+00:00,True,0,0,True,active,False,13,,,2020-08-04 22:59:25,2020
198,228,True,228,14,1,2020-08-04 22:49:07+00:00,True,0,0,True,active,False,4,,,2020-08-04 22:59:25,2020
199,232,True,232,2,0,2020-08-04 18:35:54+00:00,True,0,0,True,active,False,9,,,2020-08-04 22:59:25,2020
