,legacy_id,is_installed,is_returning,station_status,num_bikes_disabled,num_docks_available,num_bikes_available,station_id,eightd_has_available_keys,last_reported,is_renting,num_ebikes_available,num_docks_disabled,timestamp_of_data_read_request,year_station_last_reported
300,412,True,True,active,0,4,15,412,False,2020-08-21 03:15:44+00:00,True,0,0,2020-08-21 04:52:45,2020
301,413,True,True,active,1,1,17,413,False,2020-08-21 04:43:41+00:00,True,0,0,2020-08-21 04:52:45,2020
302,414,True,True,active,0,20,3,414,False,2020-08-20 22:41:43+00:00,True,0,0,2020-08-21 04:52:45,2020
303,415,True,True,active,0,6,13,415,False,2020-08-21 04:10:59+00:00,True,0,0,2020-08-21 04:52:45,2020
304,416,True,True,active,0,6,9,416,False,2020-08-21 02:28:14+00:00,True,0,0,2020-08-21 04:52:45,2020
305,417,True,True,active,0,1,18,417,False,2020-08-21 03:47:22+00:00,True,0,0,2020-08-21 04:52:45,2020
306,419,True,True,active,0,2,13,419,False,2020-08-21 04:29:08+00:00,True,0,0,2020-08-21 04:52:45,2020
307,420,False,False,out_of_service,0,0,0,420,False,1970-01-02 00:00:00+00:00,False,0,0,2020-08-21 04:52:45,1970
308,421,True,True,active,0,12,7,421,False,2020-08-20 20:43:59+00:00,True,0,0,2020-08-21 04:52:45,2020
309,422,True,True,active,0,10,5,422,False,2020-08-20 22:32:50+00:00,True,0,0,2020-08-21 04:52:45,2020
310,423,True,True,active,0,7,12,423,False,2020-08-20 21:38:37+00:00,True,0,0,2020-08-21 04:52:45,2020
311,424,True,True,active,0,14,5,424,False,2020-08-20 23:08:06+00:00,True,0,0,2020-08-21 04:52:45,2020
312,425,True,True,active,0,13,3,425,False,2020-08-20 22:52:40+00:00,True,0,0,2020-08-21 04:52:45,2020
313,426,True,True,active,1,15,11,426,False,2020-08-21 04:06:14+00:00,True,0,0,2020-08-21 04:52:45,2020
314,427,True,True,active,0,19,0,427,False,2020-08-20 16:52:50+00:00,True,0,0,2020-08-21 04:52:45,2020
315,428,True,True,active,0,15,4,428,False,2020-08-21 00:53:13+00:00,True,0,0,2020-08-21 04:52:45,2020
316,430,True,True,active,0,4,15,430,False,2020-08-20 23:16:43+00:00,True,0,0,2020-08-21 04:52:45,2020
317,431,True,True,active,0,14,1,431,False,2020-08-20 17:16:57+00:00,True,0,0,2020-08-21 04:52:45,2020
318,432,True,True,active,0,13,6,432,False,2020-08-20 23:35:04+00:00,True,0,0,2020-08-21 04:52:45,2020
319,433,True,True,active,0,15,4,433,False,2020-08-20 08:54:48+00:00,True,0,0,2020-08-21 04:52:45,2020
320,434,True,True,active,0,19,0,434,False,2020-08-20 22:50:55+00:00,True,0,0,2020-08-21 04:52:45,2020
321,435,True,True,active,0,7,8,435,False,2020-08-20 23:58:16+00:00,True,0,0,2020-08-21 04:52:45,2020
322,436,True,True,active,0,8,7,436,False,2020-08-21 03:07:32+00:00,True,0,0,2020-08-21 04:52:45,2020
323,437,True,True,active,0,6,13,437,False,2020-08-21 04:26:10+00:00,True,0,0,2020-08-21 04:52:45,2020
324,440,True,True,active,0,5,12,440,False,2020-08-21 01:46:10+00:00,True,0,0,2020-08-21 04:52:45,2020
325,441,True,True,active,0,3,16,441,False,2020-08-21 01:58:07+00:00,True,0,0,2020-08-21 04:52:45,2020
326,442,True,True,active,0,1,14,442,False,2020-08-20 23:15:38+00:00,True,0,0,2020-08-21 04:52:45,2020
327,443,True,True,active,1,12,6,443,False,2020-08-21 00:59:15+00:00,True,0,0,2020-08-21 04:52:45,2020
328,445,True,True,active,0,8,11,445,False,2020-08-21 00:09:33+00:00,True,0,0,2020-08-21 04:52:45,2020
329,446,True,True,active,0,7,5,446,False,2020-08-21 04:40:04+00:00,True,0,0,2020-08-21 04:52:45,2020
330,447,True,True,active,0,16,3,447,False,2020-08-21 02:32:14+00:00,True,0,0,2020-08-21 04:52:45,2020
331,448,True,True,active,0,5,6,448,False,2020-08-21 00:31:10+00:00,True,0,0,2020-08-21 04:52:45,2020
332,449,False,True,out_of_service,0,0,0,449,False,1970-01-02 00:00:00+00:00,True,0,0,2020-08-21 04:52:45,1970
333,450,True,True,active,0,7,8,450,False,2020-08-21 01:04:10+00:00,True,0,0,2020-08-21 04:52:45,2020
334,451,True,True,active,0,6,9,451,False,2020-08-21 01:57:50+00:00,True,0,0,2020-08-21 04:52:45,2020
335,452,True,True,active,0,5,10,452,False,2020-08-21 03:43:18+00:00,True,0,0,2020-08-21 04:52:45,2020
336,453,True,True,active,0,6,9,453,False,2020-08-21 01:28:54+00:00,True,0,0,2020-08-21 04:52:45,2020
337,454,True,True,active,1,3,11,454,False,2020-08-21 01:04:05+00:00,True,0,0,2020-08-21 04:52:45,2020
338,455,True,True,active,0,5,7,455,False,2020-08-20 22:54:21+00:00,True,0,0,2020-08-21 04:52:45,2020
339,456,True,True,active,0,14,5,456,False,2020-08-21 04:38:08+00:00,True,0,0,2020-08-21 04:52:45,2020
340,457,True,True,active,0,0,11,457,False,2020-08-20 22:41:22+00:00,True,0,0,2020-08-21 04:52:45,2020
341,458,True,True,active,3,2,6,458,False,2020-08-21 02:26:33+00:00,True,0,0,2020-08-21 04:52:45,2020
342,459,True,True,active,0,12,11,459,False,2020-08-21 03:54:02+00:00,True,0,0,2020-08-21 04:52:45,2020
