,last_reported,num_ebikes_available,num_bikes_disabled,legacy_id,is_installed,num_bikes_available,is_renting,eightd_has_available_keys,station_id,station_status,num_docks_available,num_docks_disabled,is_returning,timestamp_of_data_read_request,year_station_last_reported
82,2020-08-12 01:34:16+00:00,0,2,93,True,10,True,False,93,active,3,0,True,2020-08-12 02:19:25,2020
83,2020-08-12 01:02:57+00:00,0,0,94,True,7,True,False,94,active,4,0,True,2020-08-12 02:19:25,2020
84,2020-08-12 01:08:07+00:00,0,1,95,True,1,True,False,95,active,13,0,True,2020-08-12 02:19:25,2020
85,2020-08-12 02:06:08+00:00,0,1,96,True,14,True,False,96,active,4,0,True,2020-08-12 02:19:25,2020
86,2020-08-12 01:48:32+00:00,0,0,97,True,14,True,False,97,active,5,0,True,2020-08-12 02:19:25,2020
87,2020-08-11 17:39:33+00:00,0,0,98,True,12,False,False,98,active,11,0,False,2020-08-12 02:19:25,2020
88,2020-08-12 01:23:21+00:00,0,0,99,True,9,True,False,99,active,6,0,True,2020-08-12 02:19:25,2020
89,2020-08-12 01:42:28+00:00,0,1,100,True,22,True,True,100,active,2,0,True,2020-08-12 02:19:25,2020
90,2020-08-12 01:21:02+00:00,0,0,101,True,10,True,False,101,active,5,0,True,2020-08-12 02:19:25,2020
91,2020-08-12 02:16:13+00:00,0,0,102,True,5,True,False,102,active,10,0,True,2020-08-12 02:19:25,2020
92,2020-08-12 01:12:57+00:00,0,0,103,True,8,True,False,103,active,7,0,True,2020-08-12 02:19:25,2020
93,2020-08-11 23:11:35+00:00,0,0,104,True,4,True,False,104,active,15,0,True,2020-08-12 02:19:25,2020
94,2020-08-12 01:38:17+00:00,0,1,105,True,14,True,False,105,active,4,0,True,2020-08-12 02:19:25,2020
95,2020-08-12 00:06:04+00:00,0,1,106,True,4,True,False,106,active,10,0,True,2020-08-12 02:19:25,2020
96,2020-08-12 01:55:32+00:00,0,0,107,True,6,True,False,107,active,13,0,True,2020-08-12 02:19:25,2020
97,2020-08-12 00:55:47+00:00,0,0,108,True,0,True,False,108,active,17,0,True,2020-08-12 02:19:25,2020
98,2020-08-12 01:21:37+00:00,0,0,109,True,9,True,False,109,active,26,0,True,2020-08-12 02:19:25,2020
99,2020-08-12 01:45:15+00:00,0,1,110,True,0,True,False,110,active,14,0,True,2020-08-12 02:19:25,2020
100,2020-08-12 01:04:02+00:00,0,0,111,True,8,True,False,111,active,7,0,True,2020-08-12 02:19:25,2020
101,2020-08-11 23:55:35+00:00,0,0,112,True,12,True,False,112,active,3,0,True,2020-08-12 02:19:25,2020
102,2020-08-12 01:46:45+00:00,0,0,113,True,10,True,False,113,active,5,0,True,2020-08-12 02:19:25,2020
103,2020-08-12 01:45:38+00:00,0,0,114,True,8,True,False,114,active,7,0,True,2020-08-12 02:19:25,2020
104,2020-08-12 02:08:24+00:00,0,1,115,True,16,True,False,115,active,2,0,True,2020-08-12 02:19:25,2020
105,2020-08-12 02:13:12+00:00,0,0,116,True,10,True,False,116,active,13,0,True,2020-08-12 02:19:25,2020
106,2020-08-12 01:02:20+00:00,0,0,117,True,10,True,False,117,active,9,0,True,2020-08-12 02:19:25,2020
107,2020-08-12 00:44:08+00:00,0,0,118,True,15,True,False,118,active,4,0,True,2020-08-12 02:19:25,2020
108,2020-08-12 01:35:03+00:00,0,0,119,True,15,True,False,119,active,0,0,True,2020-08-12 02:19:25,2020
109,2020-08-12 02:16:19+00:00,0,0,120,True,12,True,False,120,active,3,0,True,2020-08-12 02:19:25,2020
110,2020-08-12 01:25:44+00:00,0,0,121,True,7,True,False,121,active,10,0,True,2020-08-12 02:19:25,2020
111,2020-08-12 01:51:23+00:00,0,0,122,True,4,True,False,122,active,11,0,True,2020-08-12 02:19:25,2020
