,eightd_has_available_keys,station_id,num_docks_disabled,is_returning,is_renting,num_docks_available,last_reported,station_status,legacy_id,num_bikes_disabled,is_installed,num_ebikes_available,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
87,False,98,0,True,True,20,2020-07-31 23:25:59+00:00,active,98,1,True,0,1,,,2020-07-31 23:42:35,2020
88,False,99,0,True,True,12,2020-07-31 23:41:08+00:00,active,99,1,True,0,2,,,2020-07-31 23:42:35,2020
89,True,100,0,True,True,17,2020-07-31 23:30:50+00:00,active,100,1,True,0,7,,,2020-07-31 23:42:35,2020
90,False,101,0,True,True,12,2020-07-31 23:13:38+00:00,active,101,0,True,0,3,,,2020-07-31 23:42:35,2020
91,False,102,0,True,True,11,2020-07-31 23:25:45+00:00,active,102,0,True,0,4,,,2020-07-31 23:42:35,2020
92,False,103,0,True,True,12,2020-07-31 23:23:22+00:00,active,103,1,True,0,2,,,2020-07-31 23:42:35,2020
93,False,104,0,True,True,3,2020-07-31 23:40:48+00:00,active,104,0,True,0,16,,,2020-07-31 23:42:35,2020
94,False,105,0,True,True,2,2020-07-31 23:42:12+00:00,active,105,0,True,0,17,,,2020-07-31 23:42:35,2020
95,False,106,0,True,True,11,2020-07-31 22:45:41+00:00,active,106,1,True,0,3,,,2020-07-31 23:42:35,2020
96,False,107,0,True,True,16,2020-07-31 23:39:18+00:00,active,107,0,True,0,3,,,2020-07-31 23:42:35,2020
97,False,108,0,True,True,9,2020-07-31 23:37:23+00:00,active,108,0,True,0,8,,,2020-07-31 23:42:35,2020
98,False,109,0,True,True,9,2020-07-31 21:15:26+00:00,active,109,2,True,0,24,,,2020-07-31 23:42:35,2020
99,False,110,0,True,True,4,2020-07-31 23:27:41+00:00,active,110,2,True,0,9,,,2020-07-31 23:42:35,2020
100,False,111,0,True,True,14,2020-07-31 23:04:28+00:00,active,111,0,True,0,1,,,2020-07-31 23:42:35,2020
101,False,112,0,True,True,12,2020-07-31 23:36:13+00:00,active,112,0,True,0,3,,,2020-07-31 23:42:35,2020
102,False,113,0,True,True,4,2020-07-31 23:11:11+00:00,active,113,1,True,0,10,,,2020-07-31 23:42:35,2020
103,False,114,0,True,True,11,2020-07-31 22:36:02+00:00,active,114,0,True,0,4,,,2020-07-31 23:42:35,2020
