,station_id,last_reported,num_bikes_available,num_docks_available,is_installed,legacy_id,station_status,num_docks_disabled,eightd_has_available_keys,num_ebikes_available,num_bikes_disabled,is_returning,is_renting,timestamp_of_data_read_request,year_station_last_reported
196,226,2020-08-14 23:50:10+00:00,2,13,True,226,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
197,227,2020-08-14 23:37:32+00:00,8,10,True,227,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
198,228,2020-08-14 23:22:57+00:00,2,17,True,228,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
199,232,2020-08-14 23:18:56+00:00,4,7,True,232,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
200,233,2020-08-14 23:54:24+00:00,2,13,True,233,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
201,234,2020-08-14 23:30:45+00:00,5,10,True,234,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
202,235,2020-08-14 23:56:19+00:00,9,6,True,235,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
203,236,2020-08-14 23:55:39+00:00,13,2,True,236,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
204,239,2020-08-14 23:38:34+00:00,10,5,True,239,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
205,255,2020-08-15 00:01:48+00:00,10,4,True,255,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
206,258,2020-08-15 00:01:55+00:00,6,9,True,258,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
207,259,2020-08-14 19:14:30+00:00,10,5,True,259,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
208,260,2020-08-14 23:29:17+00:00,13,2,True,260,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
209,271,2020-08-14 22:31:19+00:00,10,5,True,271,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
210,272,2020-08-14 23:21:33+00:00,6,13,True,272,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
211,273,2020-08-14 23:29:53+00:00,9,31,True,273,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
212,279,2020-08-14 23:57:11+00:00,14,5,True,279,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
213,280,2020-08-14 23:47:27+00:00,3,16,True,280,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
214,282,2020-08-14 23:21:59+00:00,10,4,True,282,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
215,296,2020-08-14 23:58:11+00:00,13,10,True,296,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
216,318,2020-08-14 23:44:50+00:00,1,18,True,318,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
217,319,2020-08-14 23:06:52+00:00,1,23,True,319,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
218,327,2020-08-14 23:39:29+00:00,9,6,True,327,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
219,328,2020-08-14 23:18:35+00:00,14,1,True,328,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
220,329,2020-08-14 23:23:35+00:00,13,2,True,329,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
221,330,2020-08-14 23:53:31+00:00,4,11,True,330,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
222,331,2020-08-14 23:52:54+00:00,3,12,True,331,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
223,332,2020-08-14 23:49:57+00:00,7,7,True,332,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
224,333,2020-08-14 23:59:48+00:00,19,6,True,333,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
225,334,2020-08-14 22:51:42+00:00,12,7,True,334,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
226,335,2020-08-14 23:49:10+00:00,5,14,True,335,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
227,336,2020-08-14 21:25:30+00:00,7,8,True,336,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
228,337,2020-08-14 23:43:28+00:00,14,1,True,337,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
229,338,2020-08-14 23:59:10+00:00,3,11,True,338,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
230,339,2020-08-14 22:19:00+00:00,15,0,True,339,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
231,340,2020-08-14 13:38:12+00:00,17,2,True,340,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
232,341,2020-08-14 23:00:11+00:00,15,0,True,341,active,0,True,0,0,True,True,2020-08-15 00:02:10,2020
233,342,2020-08-14 23:59:17+00:00,15,0,True,342,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
234,343,2020-08-14 08:39:46+00:00,4,11,True,343,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
235,344,2020-08-14 23:13:58+00:00,1,18,True,344,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
236,345,2020-08-14 23:30:37+00:00,8,11,True,345,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
237,346,2020-08-14 23:39:25+00:00,4,11,True,346,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
238,347,2020-08-14 19:15:20+00:00,11,4,True,347,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
239,348,2020-08-14 22:33:14+00:00,0,15,True,348,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
240,349,2020-08-14 22:27:25+00:00,6,11,True,349,active,0,True,0,0,True,True,2020-08-15 00:02:10,2020
241,350,2020-08-14 22:27:48+00:00,14,3,True,350,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
242,351,2020-08-14 23:20:30+00:00,4,11,True,351,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
243,352,2020-08-14 23:58:50+00:00,5,10,True,352,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
244,353,2020-08-14 17:42:38+00:00,9,6,True,353,active,0,True,0,0,True,True,2020-08-15 00:02:10,2020
245,354,2020-08-14 23:52:57+00:00,4,11,True,354,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
246,355,2020-08-14 23:22:34+00:00,11,6,True,355,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
247,356,2020-08-14 23:39:50+00:00,10,13,True,356,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
248,357,2020-08-14 23:41:10+00:00,15,0,True,357,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
249,358,2020-08-14 23:41:19+00:00,15,4,True,358,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
250,359,2020-08-14 23:28:14+00:00,1,14,True,359,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
251,360,2020-08-14 23:25:24+00:00,5,9,True,360,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
252,361,2020-08-14 23:34:45+00:00,7,12,True,361,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
253,362,2020-08-14 23:47:14+00:00,1,17,True,362,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
254,363,2020-08-14 23:57:48+00:00,4,14,True,363,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
255,364,2020-08-14 23:42:19+00:00,2,16,True,364,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
256,365,2020-08-14 23:26:28+00:00,4,15,True,365,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
257,366,2020-08-15 00:01:42+00:00,10,5,True,366,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
258,367,2020-08-15 00:01:36+00:00,17,2,True,367,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
259,368,2020-08-14 23:47:24+00:00,2,13,True,368,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
260,369,2020-08-15 00:00:40+00:00,9,6,True,369,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
261,370,2020-08-14 23:59:18+00:00,18,1,True,370,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
262,371,2020-08-14 23:29:14+00:00,6,13,True,371,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
263,372,2020-08-15 00:02:07+00:00,5,14,True,372,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
264,373,2020-08-14 22:38:27+00:00,10,5,True,373,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
265,374,2020-08-14 23:53:42+00:00,1,17,True,374,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
266,376,2020-08-14 23:28:59+00:00,4,11,True,376,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
267,377,2020-08-15 00:01:51+00:00,17,2,True,377,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
268,378,2020-08-14 23:35:06+00:00,1,18,True,378,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
269,379,2020-08-14 23:58:37+00:00,10,5,True,379,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
270,380,2020-08-15 00:00:58+00:00,0,17,True,380,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
271,381,2020-08-14 23:57:48+00:00,13,5,True,381,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
272,384,2020-08-14 23:57:03+00:00,2,17,True,384,active,0,True,0,0,True,True,2020-08-15 00:02:10,2020
273,385,2020-08-15 00:00:26+00:00,1,13,True,385,active,1,False,0,0,True,True,2020-08-15 00:02:10,2020
274,386,2020-08-14 23:48:00+00:00,4,14,True,386,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
275,387,2020-08-15 00:01:11+00:00,13,1,True,387,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
276,388,2020-08-14 19:33:36+00:00,5,6,True,388,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
277,389,2020-08-14 17:25:42+00:00,10,4,True,389,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
278,390,2020-08-14 19:26:29+00:00,10,4,True,390,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
279,391,2020-08-14 21:26:37+00:00,13,2,True,391,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
280,392,2020-08-14 23:40:53+00:00,8,7,True,392,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
281,393,2020-08-14 22:22:45+00:00,4,10,True,393,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
282,394,2020-08-14 21:28:42+00:00,1,13,True,394,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
283,395,2020-08-14 15:11:31+00:00,9,6,True,395,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
284,396,2020-08-14 23:53:13+00:00,8,7,True,396,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
285,397,2020-08-15 00:00:11+00:00,6,8,True,397,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
286,398,2020-08-14 23:59:36+00:00,1,18,True,398,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
287,399,2020-08-14 23:16:01+00:00,7,7,True,399,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
288,400,2020-08-14 23:28:29+00:00,10,17,True,400,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
289,401,2020-08-14 23:03:06+00:00,11,4,True,401,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
290,402,2020-08-14 23:51:14+00:00,6,9,True,402,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
291,403,2020-08-15 00:02:00+00:00,13,2,True,403,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
292,404,2020-08-14 23:44:52+00:00,5,11,True,404,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
293,405,2020-08-14 23:17:13+00:00,8,11,True,405,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
294,406,2020-08-14 22:49:17+00:00,16,3,True,406,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
295,407,2020-08-14 22:33:04+00:00,7,11,True,407,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
