,station_id,num_bikes_disabled,is_returning,station_status,legacy_id,is_renting,num_bikes_available,eightd_has_available_keys,last_reported,num_docks_available,num_docks_disabled,is_installed,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
102,113,0,True,active,113,True,14,False,2020-07-30 03:07:20+00:00,1,0,True,0,2020-07-30 03:16:05,2020
103,114,0,True,active,114,True,2,False,2020-07-30 03:08:05+00:00,13,0,True,0,2020-07-30 03:16:05,2020
104,115,0,True,active,115,True,12,False,2020-07-30 03:13:22+00:00,7,0,True,0,2020-07-30 03:16:05,2020
105,116,0,True,active,116,True,16,False,2020-07-30 03:08:05+00:00,7,0,True,0,2020-07-30 03:16:05,2020
106,117,0,True,active,117,True,19,False,2020-07-30 01:38:33+00:00,0,0,True,0,2020-07-30 03:16:05,2020
107,118,0,True,active,118,True,9,False,2020-07-30 02:46:28+00:00,10,0,True,0,2020-07-30 03:16:05,2020
108,119,0,True,active,119,True,11,False,2020-07-30 03:05:40+00:00,4,0,True,0,2020-07-30 03:16:05,2020
109,120,1,True,active,120,True,13,False,2020-07-30 02:56:57+00:00,1,0,True,0,2020-07-30 03:16:05,2020
110,121,1,True,active,121,True,11,False,2020-07-30 03:12:45+00:00,5,0,True,0,2020-07-30 03:16:05,2020
111,122,0,True,active,122,True,2,False,2020-07-30 02:35:12+00:00,13,0,True,0,2020-07-30 03:16:05,2020
112,124,0,True,active,124,True,5,False,2020-07-30 01:11:26+00:00,10,0,True,0,2020-07-30 03:16:05,2020
113,125,0,True,active,125,True,10,False,2020-07-30 03:13:40+00:00,5,0,True,0,2020-07-30 03:16:05,2020
114,126,0,True,active,126,True,3,False,2020-07-30 02:49:06+00:00,12,0,True,0,2020-07-30 03:16:05,2020
115,128,1,True,active,128,True,17,False,2020-07-30 02:15:11+00:00,1,0,True,0,2020-07-30 03:16:05,2020
116,129,0,True,active,129,True,6,False,2020-07-30 03:06:15+00:00,13,0,True,0,2020-07-30 03:16:05,2020
117,130,0,True,active,130,True,10,False,2020-07-30 02:21:28+00:00,5,0,True,0,2020-07-30 03:16:05,2020
118,131,2,True,active,131,True,15,False,2020-07-30 02:40:40+00:00,1,0,True,0,2020-07-30 03:16:05,2020
119,133,0,True,active,133,True,13,False,2020-07-30 01:55:53+00:00,10,0,True,0,2020-07-30 03:16:05,2020
120,135,1,True,active,135,True,5,False,2020-07-30 01:46:51+00:00,11,0,True,0,2020-07-30 03:16:05,2020
121,136,0,True,active,136,True,15,False,2020-07-30 00:35:20+00:00,4,0,True,0,2020-07-30 03:16:05,2020
122,137,0,True,active,137,True,4,False,2020-07-30 01:50:21+00:00,11,0,True,0,2020-07-30 03:16:05,2020
123,138,0,True,active,138,True,12,False,2020-07-30 02:13:16+00:00,3,0,True,0,2020-07-30 03:16:05,2020
124,139,0,True,active,139,True,17,False,2020-07-30 02:53:46+00:00,2,0,True,0,2020-07-30 03:16:05,2020
125,140,0,True,active,140,True,5,False,2020-07-30 02:41:43+00:00,12,0,True,0,2020-07-30 03:16:05,2020
126,141,0,True,active,141,True,8,False,2020-07-30 01:46:59+00:00,7,0,True,0,2020-07-30 03:16:05,2020
127,142,3,True,active,142,True,15,False,2020-07-30 01:17:36+00:00,5,0,True,0,2020-07-30 03:16:05,2020
128,143,1,True,active,143,True,11,False,2020-07-30 02:26:15+00:00,11,0,True,0,2020-07-30 03:16:05,2020
129,144,0,True,active,144,True,3,False,2020-07-30 02:05:34+00:00,16,0,True,0,2020-07-30 03:16:05,2020
130,145,0,True,active,145,True,14,False,2020-07-30 01:26:10+00:00,5,0,True,0,2020-07-30 03:16:05,2020
131,146,1,True,active,146,True,4,False,2020-07-30 03:01:33+00:00,14,0,True,0,2020-07-30 03:16:05,2020
132,149,0,True,active,149,True,8,True,2020-07-30 01:53:43+00:00,10,0,True,0,2020-07-30 03:16:05,2020
133,150,0,True,active,150,True,14,False,2020-07-30 02:12:38+00:00,5,0,True,0,2020-07-30 03:16:05,2020
134,151,1,True,active,151,True,3,False,2020-07-30 02:46:31+00:00,15,0,True,0,2020-07-30 03:16:05,2020
135,152,0,True,active,152,True,13,True,2020-07-30 02:44:32+00:00,2,0,True,0,2020-07-30 03:16:05,2020
