,num_bikes_available,legacy_id,station_status,num_ebikes_available,station_id,is_installed,num_bikes_disabled,last_reported,is_renting,num_docks_disabled,is_returning,num_docks_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
160,6,186,active,0,186,True,0,2020-08-01 17:40:39+00:00,True,0,True,9,True,,,2020-08-01 17:55:25,2020
161,8,187,active,0,187,True,0,2020-08-01 17:09:57+00:00,True,0,True,7,False,,,2020-08-01 17:55:25,2020
162,3,188,active,0,188,True,0,2020-08-01 15:31:09+00:00,True,0,True,12,False,,,2020-08-01 17:55:25,2020
163,10,189,active,0,189,True,0,2020-08-01 17:55:02+00:00,True,0,True,13,True,,,2020-08-01 17:55:25,2020
164,27,190,active,0,190,True,4,2020-08-01 17:55:21+00:00,True,0,True,6,True,,,2020-08-01 17:55:25,2020
165,0,191,active,0,191,True,0,2020-08-01 13:23:47+00:00,True,0,True,15,False,,,2020-08-01 17:55:25,2020
166,7,192,active,0,192,True,2,2020-08-01 17:35:54+00:00,True,0,True,10,False,,,2020-08-01 17:55:25,2020
167,3,193,active,0,193,True,0,2020-08-01 17:54:32+00:00,True,0,True,12,True,,,2020-08-01 17:55:25,2020
168,13,194,active,0,194,True,0,2020-08-01 17:09:00+00:00,True,0,True,6,False,,,2020-08-01 17:55:25,2020
169,11,195,active,0,195,True,0,2020-08-01 17:42:09+00:00,True,0,True,12,False,,,2020-08-01 17:55:25,2020
170,0,196,active,0,196,True,1,2020-08-01 16:23:40+00:00,True,0,True,9,True,,,2020-08-01 17:55:25,2020
171,2,197,active,0,197,True,0,2020-08-01 16:13:41+00:00,True,0,True,13,False,,,2020-08-01 17:55:25,2020
172,9,199,active,0,199,True,2,2020-08-01 16:28:06+00:00,True,0,True,4,False,,,2020-08-01 17:55:25,2020
173,19,200,active,0,200,True,0,2020-08-01 17:53:14+00:00,True,0,True,0,False,,,2020-08-01 17:55:25,2020
174,0,201,active,0,201,True,0,2020-08-01 08:17:21+00:00,True,0,True,15,False,,,2020-08-01 17:55:25,2020
175,7,202,active,0,202,True,0,2020-08-01 16:51:30+00:00,True,0,True,8,False,,,2020-08-01 17:55:25,2020
176,6,203,active,0,203,True,0,2020-08-01 16:44:03+00:00,True,0,True,9,False,,,2020-08-01 17:55:25,2020
