,num_bikes_available,legacy_id,num_docks_disabled,eightd_has_available_keys,is_renting,is_returning,station_id,last_reported,is_installed,num_bikes_disabled,num_ebikes_available,num_docks_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
83,11,94,0,False,True,True,94,2020-07-28 22:18:59+00:00,True,0,0,0,active,,,2020-07-28 22:34:35,2020
84,9,95,0,False,True,True,95,2020-07-28 22:29:58+00:00,True,2,0,4,active,,,2020-07-28 22:34:35,2020
85,7,96,0,False,True,True,96,2020-07-28 22:28:47+00:00,True,0,0,12,active,,,2020-07-28 22:34:35,2020
86,3,97,0,False,True,True,97,2020-07-28 22:18:26+00:00,True,0,0,16,active,,,2020-07-28 22:34:35,2020
87,20,98,0,False,True,True,98,2020-07-28 22:13:40+00:00,True,0,0,2,active,,,2020-07-28 22:34:35,2020
88,9,99,0,False,True,True,99,2020-07-28 20:52:41+00:00,True,0,0,6,active,,,2020-07-28 22:34:35,2020
89,13,100,0,True,True,True,100,2020-07-28 22:16:01+00:00,True,2,0,10,active,,,2020-07-28 22:34:35,2020
90,1,101,0,False,True,True,101,2020-07-28 21:22:55+00:00,True,0,0,14,active,,,2020-07-28 22:34:35,2020
91,1,102,0,False,True,True,102,2020-07-28 22:09:08+00:00,True,0,0,14,active,,,2020-07-28 22:34:35,2020
92,1,103,0,False,True,True,103,2020-07-28 21:44:18+00:00,True,0,0,14,active,,,2020-07-28 22:34:35,2020
93,10,104,0,False,True,True,104,2020-07-28 22:31:42+00:00,True,0,0,9,active,,,2020-07-28 22:34:35,2020
94,18,105,0,False,True,True,105,2020-07-28 22:32:50+00:00,True,1,0,0,active,,,2020-07-28 22:34:35,2020
95,11,106,0,False,True,True,106,2020-07-28 21:23:16+00:00,True,0,0,4,active,,,2020-07-28 22:34:35,2020
96,2,107,0,False,True,True,107,2020-07-28 22:31:34+00:00,True,1,0,16,active,,,2020-07-28 22:34:35,2020
97,13,108,0,False,True,True,108,2020-07-28 20:51:54+00:00,True,0,0,4,active,,,2020-07-28 22:34:35,2020
98,22,109,0,False,True,True,109,2020-07-28 21:11:31+00:00,True,2,0,11,active,,,2020-07-28 22:34:35,2020
99,2,110,0,False,True,True,110,2020-07-28 22:19:47+00:00,True,3,0,10,active,,,2020-07-28 22:34:35,2020
100,2,111,0,False,True,True,111,2020-07-28 21:52:41+00:00,True,1,0,12,active,,,2020-07-28 22:34:35,2020
101,8,112,0,False,True,True,112,2020-07-28 22:21:18+00:00,True,0,0,7,active,,,2020-07-28 22:34:35,2020
102,3,113,0,False,True,True,113,2020-07-28 22:28:08+00:00,True,0,0,12,active,,,2020-07-28 22:34:35,2020
103,4,114,0,False,True,True,114,2020-07-28 22:21:07+00:00,True,0,0,11,active,,,2020-07-28 22:34:35,2020
104,10,115,0,False,True,True,115,2020-07-28 22:31:15+00:00,True,0,0,9,active,,,2020-07-28 22:34:35,2020
105,4,116,0,False,True,True,116,2020-07-28 22:34:17+00:00,True,0,0,19,active,,,2020-07-28 22:34:35,2020
106,17,117,0,False,True,True,117,2020-07-28 22:07:07+00:00,True,0,0,2,active,,,2020-07-28 22:34:35,2020
107,13,118,0,False,True,True,118,2020-07-28 22:24:54+00:00,True,0,0,6,active,,,2020-07-28 22:34:35,2020
108,13,119,0,False,True,True,119,2020-07-28 22:26:39+00:00,True,1,0,1,active,,,2020-07-28 22:34:35,2020
109,14,120,0,False,True,True,120,2020-07-28 22:27:45+00:00,True,0,0,1,active,,,2020-07-28 22:34:35,2020
110,9,121,0,False,True,True,121,2020-07-28 22:30:23+00:00,True,0,0,8,active,,,2020-07-28 22:34:35,2020
111,12,122,0,False,True,True,122,2020-07-28 22:34:06+00:00,True,0,0,3,active,,,2020-07-28 22:34:35,2020
112,2,124,0,False,True,True,124,2020-07-28 22:29:08+00:00,True,1,0,12,active,,,2020-07-28 22:34:35,2020
113,2,125,0,False,True,True,125,2020-07-28 22:27:25+00:00,True,0,0,13,active,,,2020-07-28 22:34:35,2020
114,0,126,0,False,True,True,126,2020-07-28 22:19:38+00:00,True,0,0,15,active,,,2020-07-28 22:34:35,2020
115,14,128,0,False,True,True,128,2020-07-28 21:29:34+00:00,True,1,0,4,active,,,2020-07-28 22:34:35,2020
116,8,129,0,False,True,True,129,2020-07-28 21:50:21+00:00,True,0,0,11,active,,,2020-07-28 22:34:35,2020
117,6,130,0,False,True,True,130,2020-07-28 17:28:30+00:00,True,0,0,9,active,,,2020-07-28 22:34:35,2020
118,15,131,0,False,True,True,131,2020-07-28 22:28:01+00:00,True,1,0,2,active,,,2020-07-28 22:34:35,2020
119,12,133,0,False,True,True,133,2020-07-28 22:20:23+00:00,True,1,0,10,active,,,2020-07-28 22:34:35,2020
120,7,135,0,False,True,True,135,2020-07-28 21:24:18+00:00,True,2,0,8,active,,,2020-07-28 22:34:35,2020
121,14,136,0,False,True,True,136,2020-07-28 22:06:36+00:00,True,1,0,4,active,,,2020-07-28 22:34:35,2020
122,1,137,0,False,True,True,137,2020-07-28 22:07:52+00:00,True,0,0,14,active,,,2020-07-28 22:34:35,2020
123,6,138,0,False,True,True,138,2020-07-28 21:20:05+00:00,True,1,0,8,active,,,2020-07-28 22:34:35,2020
124,8,139,0,False,True,True,139,2020-07-28 22:33:56+00:00,True,1,0,10,active,,,2020-07-28 22:34:35,2020
125,7,140,0,False,True,True,140,2020-07-28 21:57:39+00:00,True,1,0,9,active,,,2020-07-28 22:34:35,2020
126,2,141,0,False,True,True,141,2020-07-28 22:20:41+00:00,True,1,0,12,active,,,2020-07-28 22:34:35,2020
127,17,142,0,False,True,True,142,2020-07-28 22:07:55+00:00,True,1,0,5,active,,,2020-07-28 22:34:35,2020
128,4,143,0,False,True,True,143,2020-07-28 22:32:26+00:00,True,2,0,17,active,,,2020-07-28 22:34:35,2020
129,14,144,0,False,True,True,144,2020-07-28 22:23:53+00:00,True,0,0,5,active,,,2020-07-28 22:34:35,2020
130,6,145,0,False,True,True,145,2020-07-28 22:03:13+00:00,True,0,0,13,active,,,2020-07-28 22:34:35,2020
131,3,146,0,False,True,True,146,2020-07-28 22:32:54+00:00,True,1,0,15,active,,,2020-07-28 22:34:35,2020
132,15,149,0,True,True,True,149,2020-07-28 21:52:51+00:00,True,0,0,3,active,,,2020-07-28 22:34:35,2020
133,13,150,0,False,True,True,150,2020-07-28 22:24:09+00:00,True,0,0,6,active,,,2020-07-28 22:34:35,2020
134,6,151,0,False,True,True,151,2020-07-28 22:30:57+00:00,True,0,0,13,active,,,2020-07-28 22:34:35,2020
135,9,152,0,True,True,True,152,2020-07-28 22:16:43+00:00,True,0,0,6,active,,,2020-07-28 22:34:35,2020
136,12,156,0,False,True,True,156,2020-07-28 21:46:57+00:00,True,0,0,3,active,,,2020-07-28 22:34:35,2020
137,10,157,0,False,True,True,157,2020-07-28 22:33:21+00:00,True,4,0,1,active,,,2020-07-28 22:34:35,2020
138,0,159,0,False,True,True,159,2020-07-28 22:31:28+00:00,True,1,0,14,active,,,2020-07-28 22:34:35,2020
139,7,160,0,True,True,True,160,2020-07-28 22:15:40+00:00,True,1,0,6,active,,,2020-07-28 22:34:35,2020
140,16,161,0,True,True,True,161,2020-07-28 22:24:22+00:00,True,2,0,5,active,,,2020-07-28 22:34:35,2020
141,7,162,0,False,True,True,162,2020-07-28 22:30:19+00:00,True,0,0,8,active,,,2020-07-28 22:34:35,2020
142,2,163,0,True,True,True,163,2020-07-28 22:21:46+00:00,True,0,0,17,active,,,2020-07-28 22:34:35,2020
143,7,167,0,False,True,True,167,2020-07-28 20:55:25+00:00,True,2,0,6,active,,,2020-07-28 22:34:35,2020
144,9,169,0,False,True,True,169,2020-07-28 21:47:55+00:00,True,1,0,9,active,,,2020-07-28 22:34:35,2020
145,2,170,0,True,True,True,170,2020-07-28 21:32:52+00:00,True,0,0,12,active,,,2020-07-28 22:34:35,2020
146,6,171,0,True,True,True,171,2020-07-28 22:31:00+00:00,True,1,0,16,active,,,2020-07-28 22:34:35,2020
147,6,173,0,True,True,True,173,2020-07-28 21:28:10+00:00,True,0,0,8,active,,,2020-07-28 22:34:35,2020
148,7,174,0,False,True,True,174,2020-07-28 22:08:15+00:00,True,0,0,8,active,,,2020-07-28 22:34:35,2020
149,4,175,0,True,True,True,175,2020-07-28 22:25:56+00:00,True,0,0,13,active,,,2020-07-28 22:34:35,2020
150,15,176,0,False,True,True,176,2020-07-28 22:21:09+00:00,True,0,0,0,active,,,2020-07-28 22:34:35,2020
151,3,177,0,False,True,True,177,2020-07-28 22:32:25+00:00,True,0,0,16,active,,,2020-07-28 22:34:35,2020
152,1,178,0,False,True,True,178,2020-07-28 22:33:04+00:00,True,1,0,17,active,,,2020-07-28 22:34:35,2020
153,8,179,0,False,True,True,179,2020-07-28 22:34:28+00:00,True,0,0,17,active,,,2020-07-28 22:34:35,2020
154,7,180,0,False,True,True,180,2020-07-28 22:24:01+00:00,True,0,0,12,active,,,2020-07-28 22:34:35,2020
155,8,181,0,False,True,True,181,2020-07-28 22:29:24+00:00,True,0,0,11,active,,,2020-07-28 22:34:35,2020
156,7,182,0,True,True,True,182,2020-07-28 22:23:28+00:00,True,0,0,12,active,,,2020-07-28 22:34:35,2020
157,0,183,0,False,True,True,183,2020-07-28 22:19:57+00:00,True,0,0,19,active,,,2020-07-28 22:34:35,2020
158,6,184,0,False,True,True,184,2020-07-28 22:32:53+00:00,True,0,0,13,active,,,2020-07-28 22:34:35,2020
