,eightd_has_available_keys,legacy_id,num_docks_disabled,num_ebikes_available,is_installed,num_docks_available,is_renting,is_returning,station_status,num_bikes_disabled,num_bikes_available,last_reported,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
152,False,178,0,0,True,12,True,True,active,0,7,2020-08-06 05:00:35+00:00,178,,,2020-08-06 06:33:15,2020
153,False,179,0,0,True,18,True,True,active,0,7,2020-08-06 04:58:56+00:00,179,,,2020-08-06 06:33:15,2020
154,False,180,0,0,True,9,True,True,active,0,10,2020-08-06 03:39:50+00:00,180,,,2020-08-06 06:33:15,2020
155,False,181,0,0,True,0,True,True,active,0,19,2020-08-06 03:17:39+00:00,181,,,2020-08-06 06:33:15,2020
156,True,182,0,0,True,15,True,True,active,0,4,2020-08-06 00:45:33+00:00,182,,,2020-08-06 06:33:15,2020
157,False,183,0,0,True,12,True,True,active,0,7,2020-08-06 02:51:50+00:00,183,,,2020-08-06 06:33:15,2020
158,False,184,0,0,True,12,True,True,active,0,7,2020-08-06 04:23:36+00:00,184,,,2020-08-06 06:33:15,2020
159,False,185,0,0,True,8,True,True,active,0,7,2020-08-06 06:02:51+00:00,185,,,2020-08-06 06:33:15,2020
160,True,186,0,0,True,10,True,True,active,0,5,2020-08-06 03:08:29+00:00,186,,,2020-08-06 06:33:15,2020
161,False,187,0,0,True,0,True,True,active,0,15,2020-08-06 02:09:13+00:00,187,,,2020-08-06 06:33:15,2020
162,False,188,0,0,True,3,True,True,active,0,12,2020-08-06 02:35:04+00:00,188,,,2020-08-06 06:33:15,2020
163,True,189,0,0,True,21,True,True,active,2,0,2020-08-06 04:17:08+00:00,189,,,2020-08-06 06:33:15,2020
164,True,190,0,0,True,27,True,True,active,1,9,2020-08-06 04:10:46+00:00,190,,,2020-08-06 06:33:15,2020
165,False,191,0,0,True,12,True,True,active,0,3,2020-08-06 05:51:36+00:00,191,,,2020-08-06 06:33:15,2020
166,False,192,0,0,True,12,True,True,active,0,7,2020-08-06 03:22:07+00:00,192,,,2020-08-06 06:33:15,2020
167,True,193,0,0,True,13,True,True,active,1,1,2020-08-06 02:53:15+00:00,193,,,2020-08-06 06:33:15,2020
168,False,194,0,0,True,13,True,True,active,0,6,2020-08-06 02:54:22+00:00,194,,,2020-08-06 06:33:15,2020
169,False,195,0,0,True,9,True,True,active,1,13,2020-08-06 02:54:18+00:00,195,,,2020-08-06 06:33:15,2020
170,True,196,0,0,True,8,True,True,active,0,2,2020-08-06 01:15:01+00:00,196,,,2020-08-06 06:33:15,2020
171,False,197,0,0,True,13,True,True,active,0,2,2020-08-06 04:36:22+00:00,197,,,2020-08-06 06:33:15,2020
172,False,199,0,0,True,10,True,True,active,0,5,2020-08-05 22:16:32+00:00,199,,,2020-08-06 06:33:15,2020
173,False,200,0,0,True,4,True,True,active,1,14,2020-08-06 05:14:52+00:00,200,,,2020-08-06 06:33:15,2020
174,False,201,0,0,True,10,True,True,active,0,5,2020-08-05 16:42:59+00:00,201,,,2020-08-06 06:33:15,2020
175,False,202,0,0,True,7,True,True,active,0,8,2020-08-06 01:49:29+00:00,202,,,2020-08-06 06:33:15,2020
176,False,203,0,0,True,10,True,True,active,0,5,2020-08-05 23:08:39+00:00,203,,,2020-08-06 06:33:15,2020
177,False,204,0,0,True,6,True,True,active,1,8,2020-08-06 02:39:41+00:00,204,,,2020-08-06 06:33:15,2020
178,False,205,0,0,True,7,True,True,active,0,8,2020-08-06 01:22:06+00:00,205,,,2020-08-06 06:33:15,2020
179,False,206,0,0,True,23,True,True,active,0,0,2020-08-06 01:50:08+00:00,206,,,2020-08-06 06:33:15,2020
180,True,208,0,0,True,3,True,True,active,0,12,2020-08-06 05:28:20+00:00,208,,,2020-08-06 06:33:15,2020
181,False,209,0,0,True,10,True,True,active,0,5,2020-08-05 21:16:59+00:00,209,,,2020-08-06 06:33:15,2020
182,False,210,0,0,True,14,True,True,active,0,1,2020-08-06 00:24:36+00:00,210,,,2020-08-06 06:33:15,2020
183,False,211,0,0,True,7,True,True,active,0,12,2020-08-06 02:44:04+00:00,211,,,2020-08-06 06:33:15,2020
184,False,212,0,0,True,14,True,True,active,0,19,2020-08-06 03:07:33+00:00,212,,,2020-08-06 06:33:15,2020
185,True,213,0,0,True,8,True,True,active,0,8,2020-08-06 01:36:20+00:00,213,,,2020-08-06 06:33:15,2020
186,False,214,0,0,True,0,True,True,active,0,15,2020-08-06 02:54:24+00:00,214,,,2020-08-06 06:33:15,2020
187,False,215,0,0,True,6,True,True,active,1,8,2020-08-06 04:05:48+00:00,215,,,2020-08-06 06:33:15,2020
188,False,216,0,0,True,4,True,True,active,0,15,2020-08-06 02:16:25+00:00,216,,,2020-08-06 06:33:15,2020
189,False,217,0,0,True,0,True,True,active,0,19,2020-08-06 00:55:36+00:00,217,,,2020-08-06 06:33:15,2020
190,False,218,0,0,True,9,True,True,active,1,5,2020-08-06 03:05:11+00:00,218,,,2020-08-06 06:33:15,2020
191,False,219,0,0,True,2,True,True,active,0,13,2020-08-06 01:34:26+00:00,219,,,2020-08-06 06:33:15,2020
192,False,221,0,0,True,5,True,True,active,3,11,2020-08-06 04:37:23+00:00,221,,,2020-08-06 06:33:15,2020
193,True,222,0,0,True,11,True,True,active,0,3,2020-08-06 04:35:51+00:00,222,,,2020-08-06 06:33:15,2020
194,False,224,0,0,True,10,True,True,active,1,6,2020-08-06 04:33:49+00:00,224,,,2020-08-06 06:33:15,2020
195,False,225,0,0,True,10,True,True,active,0,9,2020-08-06 04:39:36+00:00,225,,,2020-08-06 06:33:15,2020
196,False,226,0,0,True,0,True,True,active,1,14,2020-08-06 05:50:44+00:00,226,,,2020-08-06 06:33:15,2020
197,False,227,0,0,True,18,True,True,active,0,1,2020-08-06 05:39:12+00:00,227,,,2020-08-06 06:33:15,2020
198,False,228,0,0,True,19,True,True,active,0,0,2020-08-06 05:58:06+00:00,228,,,2020-08-06 06:33:15,2020
199,False,232,0,0,True,9,True,True,active,0,2,2020-08-06 04:47:13+00:00,232,,,2020-08-06 06:33:15,2020
200,False,233,0,0,True,5,True,True,active,0,10,2020-08-06 06:33:02+00:00,233,,,2020-08-06 06:33:15,2020
201,False,234,0,0,True,13,True,True,active,0,2,2020-08-06 02:00:21+00:00,234,,,2020-08-06 06:33:15,2020
202,False,235,0,0,True,10,True,True,active,1,4,2020-08-06 00:31:59+00:00,235,,,2020-08-06 06:33:15,2020
203,False,236,0,0,True,6,True,True,active,0,9,2020-08-06 02:14:18+00:00,236,,,2020-08-06 06:33:15,2020
204,False,239,0,0,True,0,True,True,active,0,15,2020-08-06 04:36:14+00:00,239,,,2020-08-06 06:33:15,2020
205,False,255,0,0,True,3,True,True,active,0,12,2020-08-05 21:50:23+00:00,255,,,2020-08-06 06:33:15,2020
206,False,258,0,0,True,7,True,True,active,0,8,2020-08-05 22:06:52+00:00,258,,,2020-08-06 06:33:15,2020
207,False,259,0,0,True,15,True,True,active,0,0,2020-08-04 09:01:37+00:00,259,,,2020-08-06 06:33:15,2020
208,False,260,0,0,True,8,True,True,active,0,7,2020-08-06 03:59:17+00:00,260,,,2020-08-06 06:33:15,2020
209,False,271,0,0,True,8,True,True,active,0,7,2020-08-06 04:30:49+00:00,271,,,2020-08-06 06:33:15,2020
210,False,272,0,0,True,13,True,True,active,0,6,2020-08-05 19:11:19+00:00,272,,,2020-08-06 06:33:15,2020
211,False,273,0,0,True,17,True,True,active,1,22,2020-08-06 04:04:15+00:00,273,,,2020-08-06 06:33:15,2020
212,False,279,0,0,True,11,True,True,active,0,8,2020-08-06 03:59:16+00:00,279,,,2020-08-06 06:33:15,2020
213,False,280,0,0,True,13,True,True,active,0,6,2020-08-06 03:47:24+00:00,280,,,2020-08-06 06:33:15,2020
214,False,282,0,0,True,0,True,True,active,1,14,2020-08-06 02:25:26+00:00,282,,,2020-08-06 06:33:15,2020
215,False,296,0,0,True,7,True,True,active,0,16,2020-08-06 03:53:54+00:00,296,,,2020-08-06 06:33:15,2020
216,False,318,0,0,True,18,True,True,active,0,1,2020-08-06 05:21:13+00:00,318,,,2020-08-06 06:33:15,2020
217,False,319,0,0,True,8,True,True,active,0,17,2020-08-06 02:50:50+00:00,319,,,2020-08-06 06:33:15,2020
218,False,327,0,0,True,9,True,True,active,0,6,2020-08-06 02:37:38+00:00,327,,,2020-08-06 06:33:15,2020
219,False,328,0,0,True,10,True,True,active,0,5,2020-08-06 04:32:47+00:00,328,,,2020-08-06 06:33:15,2020
220,False,329,0,0,True,8,True,True,active,1,6,2020-08-06 02:27:05+00:00,329,,,2020-08-06 06:33:15,2020
221,False,330,0,0,True,11,True,True,active,0,4,2020-08-06 02:02:51+00:00,330,,,2020-08-06 06:33:15,2020
222,False,331,0,0,True,8,True,True,active,0,7,2020-08-06 04:18:03+00:00,331,,,2020-08-06 06:33:15,2020
223,False,332,0,0,True,5,True,True,active,0,10,2020-08-06 05:14:59+00:00,332,,,2020-08-06 06:33:15,2020
224,False,333,0,0,True,5,True,True,active,0,20,2020-08-06 01:30:29+00:00,333,,,2020-08-06 06:33:15,2020
225,False,334,0,0,True,13,True,True,active,1,5,2020-08-06 04:15:49+00:00,334,,,2020-08-06 06:33:15,2020
226,False,335,0,0,True,7,True,True,active,0,12,2020-08-06 04:48:02+00:00,335,,,2020-08-06 06:33:15,2020
227,False,336,0,0,True,4,True,True,active,0,11,2020-08-06 00:59:10+00:00,336,,,2020-08-06 06:33:15,2020
