,num_bikes_available,legacy_id,station_status,num_ebikes_available,station_id,is_installed,num_bikes_disabled,last_reported,is_renting,eightd_active_station_services,num_docks_disabled,is_returning,num_docks_available,eightd_has_available_keys,valet,timestamp_of_data_read_request,year_station_last_reported
159,12,184,active,0,184,True,1,2020-08-03 13:51:23+00:00,True,,0,True,6,False,,2020-08-03 14:41:15,2020
160,3,185,active,0,185,True,0,2020-08-03 14:29:59+00:00,True,,0,True,12,False,,2020-08-03 14:41:15,2020
161,1,186,active,0,186,True,0,2020-08-03 14:30:38+00:00,True,,0,True,14,True,,2020-08-03 14:41:15,2020
162,12,187,active,0,187,True,0,2020-08-03 13:18:47+00:00,True,,0,True,3,False,,2020-08-03 14:41:15,2020
163,11,188,active,0,188,True,0,2020-08-03 09:00:08+00:00,True,,0,True,4,False,,2020-08-03 14:41:15,2020
164,10,189,active,0,189,True,0,2020-08-03 14:30:01+00:00,True,,0,True,13,True,,2020-08-03 14:41:15,2020
165,4,190,active,0,190,True,3,2020-08-03 14:06:58+00:00,True,,0,True,30,True,,2020-08-03 14:41:15,2020
166,3,191,active,0,191,True,0,2020-08-03 14:21:40+00:00,True,,0,True,12,False,,2020-08-03 14:41:15,2020
167,19,192,active,0,192,True,0,2020-08-03 13:41:35+00:00,True,,0,True,0,False,,2020-08-03 14:41:15,2020
168,8,193,active,0,193,True,1,2020-08-03 14:19:23+00:00,True,,0,True,6,True,,2020-08-03 14:41:15,2020
169,7,194,active,0,194,True,0,2020-08-03 12:33:54+00:00,True,,0,True,12,False,,2020-08-03 14:41:15,2020
170,2,195,active,0,195,True,0,2020-08-03 14:37:18+00:00,True,,0,True,21,False,,2020-08-03 14:41:15,2020
171,2,196,active,0,196,True,0,2020-08-03 14:40:55+00:00,True,,0,True,8,True,,2020-08-03 14:41:15,2020
172,2,197,active,0,197,True,0,2020-08-03 10:10:49+00:00,True,,0,True,13,False,,2020-08-03 14:41:15,2020
173,12,199,active,0,199,True,0,2020-08-03 09:41:59+00:00,True,,0,True,3,False,,2020-08-03 14:41:15,2020
174,18,200,active,0,200,True,0,2020-08-03 14:34:41+00:00,True,,0,True,1,False,,2020-08-03 14:41:15,2020
