,is_installed,is_returning,num_docks_available,legacy_id,num_docks_disabled,last_reported,is_renting,station_status,num_bikes_available,num_bikes_disabled,eightd_has_available_keys,station_id,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
289,True,True,4,401,0,2020-08-20 23:23:02+00:00,True,active,11,0,False,401,0,,,2020-08-20 23:43:50,2020
290,True,True,13,402,0,2020-08-20 23:30:58+00:00,True,active,2,0,False,402,0,,,2020-08-20 23:43:50,2020
291,True,True,9,403,0,2020-08-20 23:36:14+00:00,True,active,5,1,False,403,0,,,2020-08-20 23:43:50,2020
292,True,True,16,404,0,2020-08-20 23:32:02+00:00,True,active,0,0,False,404,0,,,2020-08-20 23:43:50,2020
293,True,True,2,405,0,2020-08-20 23:40:26+00:00,True,active,17,0,False,405,0,,,2020-08-20 23:43:50,2020
294,True,True,3,406,0,2020-08-20 22:45:29+00:00,True,active,16,0,False,406,0,,,2020-08-20 23:43:50,2020
295,True,True,19,407,0,2020-08-20 23:35:21+00:00,True,active,0,0,False,407,0,,,2020-08-20 23:43:50,2020
296,True,True,6,408,0,2020-08-20 23:34:55+00:00,True,active,9,0,False,408,0,,,2020-08-20 23:43:50,2020
297,True,True,6,409,0,2020-08-20 23:36:50+00:00,True,active,13,0,False,409,0,,,2020-08-20 23:43:50,2020
298,True,True,13,410,0,2020-08-20 23:21:35+00:00,True,active,6,0,False,410,0,,,2020-08-20 23:43:50,2020
299,True,True,12,411,0,2020-08-20 17:29:01+00:00,True,active,3,0,False,411,0,,,2020-08-20 23:43:50,2020
300,True,True,10,412,0,2020-08-20 23:34:53+00:00,True,active,9,0,False,412,0,,,2020-08-20 23:43:50,2020
301,True,True,16,413,0,2020-08-20 23:29:42+00:00,True,active,3,0,False,413,0,,,2020-08-20 23:43:50,2020
302,True,True,20,414,0,2020-08-20 22:41:43+00:00,True,active,3,0,False,414,0,,,2020-08-20 23:43:50,2020
303,True,True,5,415,0,2020-08-20 23:07:18+00:00,True,active,14,0,False,415,0,,,2020-08-20 23:43:50,2020
304,True,True,14,416,0,2020-08-20 23:43:38+00:00,True,active,1,0,False,416,0,,,2020-08-20 23:43:50,2020
305,True,True,2,417,0,2020-08-20 23:43:19+00:00,True,active,17,0,False,417,0,,,2020-08-20 23:43:50,2020
306,True,True,7,419,0,2020-08-20 22:51:57+00:00,True,active,8,0,False,419,0,,,2020-08-20 23:43:50,2020
307,False,False,0,420,0,1970-01-02 00:00:00+00:00,False,out_of_service,0,0,False,420,0,,,2020-08-20 23:43:50,1970
308,True,True,12,421,0,2020-08-20 20:43:59+00:00,True,active,7,0,False,421,0,,,2020-08-20 23:43:50,2020
309,True,True,10,422,0,2020-08-20 22:32:50+00:00,True,active,5,0,False,422,0,,,2020-08-20 23:43:50,2020
310,True,True,7,423,0,2020-08-20 21:38:37+00:00,True,active,12,0,False,423,0,,,2020-08-20 23:43:50,2020
311,True,True,14,424,0,2020-08-20 23:08:06+00:00,True,active,5,0,False,424,0,,,2020-08-20 23:43:50,2020
312,True,True,13,425,0,2020-08-20 22:52:40+00:00,True,active,3,0,False,425,0,,,2020-08-20 23:43:50,2020
313,True,True,9,426,0,2020-08-20 23:40:35+00:00,True,active,18,0,False,426,0,,,2020-08-20 23:43:50,2020
314,True,True,19,427,0,2020-08-20 16:52:50+00:00,True,active,0,0,False,427,0,,,2020-08-20 23:43:50,2020
315,True,True,17,428,0,2020-08-20 23:14:39+00:00,True,active,2,0,False,428,0,,,2020-08-20 23:43:50,2020
316,True,True,4,430,0,2020-08-20 23:16:43+00:00,True,active,15,0,False,430,0,,,2020-08-20 23:43:50,2020
317,True,True,14,431,0,2020-08-20 17:16:57+00:00,True,active,1,0,False,431,0,,,2020-08-20 23:43:50,2020
318,True,True,13,432,0,2020-08-20 23:35:04+00:00,True,active,6,0,False,432,0,,,2020-08-20 23:43:50,2020
319,True,True,15,433,0,2020-08-20 08:54:48+00:00,True,active,4,0,False,433,0,,,2020-08-20 23:43:50,2020
320,True,True,19,434,0,2020-08-20 22:50:55+00:00,True,active,0,0,False,434,0,,,2020-08-20 23:43:50,2020
