,eightd_has_available_keys,is_renting,is_returning,num_ebikes_available,station_status,num_bikes_disabled,station_id,num_docks_disabled,is_installed,last_reported,num_docks_available,legacy_id,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
148,False,True,True,0,active,1,174,0,True,2020-08-13 23:33:22+00:00,10,174,4,,,2020-08-13 23:51:30,2020
149,True,True,True,0,active,2,175,0,True,2020-08-13 23:31:53+00:00,4,175,11,,,2020-08-13 23:51:30,2020
150,False,True,True,0,active,0,176,0,True,2020-08-13 23:12:41+00:00,2,176,13,,,2020-08-13 23:51:30,2020
151,False,True,True,0,active,0,177,0,True,2020-08-13 23:35:48+00:00,19,177,0,,,2020-08-13 23:51:30,2020
152,False,True,True,0,active,0,178,0,True,2020-08-13 23:51:04+00:00,18,178,1,,,2020-08-13 23:51:30,2020
153,False,True,True,0,active,0,179,0,True,2020-08-13 23:47:06+00:00,16,179,9,,,2020-08-13 23:51:30,2020
154,False,True,True,0,active,0,180,0,True,2020-08-13 23:31:58+00:00,9,180,10,,,2020-08-13 23:51:30,2020
155,False,True,True,0,active,0,181,0,True,2020-08-13 23:26:04+00:00,8,181,11,,,2020-08-13 23:51:30,2020
156,True,True,True,0,active,0,182,0,True,2020-08-13 23:13:40+00:00,17,182,2,,,2020-08-13 23:51:30,2020
157,False,True,True,0,active,1,183,0,True,2020-08-13 23:34:01+00:00,18,183,0,,,2020-08-13 23:51:30,2020
158,False,True,True,0,active,0,184,0,True,2020-08-13 23:50:05+00:00,14,184,5,,,2020-08-13 23:51:30,2020
159,False,True,True,0,active,0,185,0,True,2020-08-13 23:46:44+00:00,7,185,8,,,2020-08-13 23:51:30,2020
160,True,True,True,0,active,0,186,0,True,2020-08-13 23:41:29+00:00,0,186,15,,,2020-08-13 23:51:30,2020
161,False,True,True,0,active,0,187,0,True,2020-08-13 23:25:10+00:00,9,187,6,,,2020-08-13 23:51:30,2020
162,False,True,True,0,active,1,188,0,True,2020-08-13 23:31:11+00:00,3,188,11,,,2020-08-13 23:51:30,2020
