,legacy_id,last_reported,is_returning,num_ebikes_available,is_installed,num_docks_disabled,station_id,num_bikes_available,station_status,num_bikes_disabled,is_renting,eightd_has_available_keys,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
147,173,2020-08-20 18:33:25+00:00,True,0,True,0,173,6,active,0,True,True,8,,,2020-08-20 18:37:10,2020
148,174,2020-08-20 18:16:08+00:00,True,0,True,0,174,5,active,0,True,False,10,,,2020-08-20 18:37:10,2020
149,175,2020-08-20 18:29:42+00:00,True,0,True,0,175,4,active,2,True,True,11,,,2020-08-20 18:37:10,2020
150,176,2020-08-20 17:50:28+00:00,True,0,True,0,176,7,active,0,True,False,8,,,2020-08-20 18:37:10,2020
151,177,2020-08-20 18:33:43+00:00,True,0,True,0,177,10,active,1,True,False,8,,,2020-08-20 18:37:10,2020
152,178,2020-08-20 18:34:06+00:00,True,0,True,0,178,3,active,0,True,False,16,,,2020-08-20 18:37:10,2020
153,179,2020-08-20 18:35:36+00:00,True,0,True,0,179,5,active,1,True,False,19,,,2020-08-20 18:37:10,2020
154,180,2020-08-20 17:35:20+00:00,True,0,True,0,180,18,active,0,True,False,1,,,2020-08-20 18:37:10,2020
155,181,2020-08-20 17:44:11+00:00,True,0,True,0,181,3,active,0,True,False,16,,,2020-08-20 18:37:10,2020
156,182,2020-08-20 18:07:47+00:00,True,0,True,0,182,0,active,0,True,True,19,,,2020-08-20 18:37:10,2020
157,183,2020-08-20 18:19:43+00:00,True,0,True,0,183,11,active,0,True,False,8,,,2020-08-20 18:37:10,2020
158,184,2020-08-20 18:25:31+00:00,True,0,True,0,184,6,active,0,True,False,13,,,2020-08-20 18:37:10,2020
159,185,2020-08-20 17:57:04+00:00,True,0,True,0,185,5,active,0,True,False,10,,,2020-08-20 18:37:10,2020
160,186,2020-08-20 18:11:52+00:00,True,0,True,0,186,8,active,0,True,True,7,,,2020-08-20 18:37:10,2020
161,187,2020-08-20 18:10:12+00:00,True,0,True,0,187,2,active,0,True,False,13,,,2020-08-20 18:37:10,2020
162,188,2020-08-20 17:44:42+00:00,True,0,True,0,188,12,active,0,True,False,3,,,2020-08-20 18:37:10,2020
163,189,2020-08-20 18:37:07+00:00,True,0,True,0,189,11,active,0,True,True,12,,,2020-08-20 18:37:10,2020
164,190,2020-08-20 18:32:01+00:00,True,0,True,0,190,2,active,4,True,True,31,,,2020-08-20 18:37:10,2020
165,191,2020-08-20 18:01:01+00:00,True,0,True,0,191,1,active,0,True,False,14,,,2020-08-20 18:37:10,2020
166,192,2020-08-20 18:15:16+00:00,True,0,True,0,192,14,active,0,True,False,5,,,2020-08-20 18:37:10,2020
167,193,2020-08-20 18:36:24+00:00,True,0,True,0,193,1,active,0,True,True,14,,,2020-08-20 18:37:10,2020
168,194,2020-08-20 18:17:28+00:00,True,0,True,0,194,4,active,0,True,False,15,,,2020-08-20 18:37:10,2020
169,195,2020-08-20 18:33:37+00:00,True,0,True,0,195,1,active,0,True,False,22,,,2020-08-20 18:37:10,2020
170,196,2020-08-20 17:54:52+00:00,True,0,True,0,196,0,active,0,True,False,10,,,2020-08-20 18:37:10,2020
171,197,2020-08-20 12:09:36+00:00,True,0,True,0,197,7,active,1,True,False,7,,,2020-08-20 18:37:10,2020
172,199,2020-08-20 14:19:54+00:00,True,0,True,0,199,8,active,0,True,False,7,,,2020-08-20 18:37:10,2020
173,200,2020-08-20 18:26:16+00:00,True,0,True,0,200,12,active,0,True,False,7,,,2020-08-20 18:37:10,2020
174,201,2020-08-20 12:47:08+00:00,True,0,True,0,201,4,active,0,True,False,11,,,2020-08-20 18:37:10,2020
175,202,2020-08-20 16:31:46+00:00,True,0,True,0,202,2,active,0,True,False,13,,,2020-08-20 18:37:10,2020
176,203,2020-08-20 16:40:31+00:00,True,0,True,0,203,6,active,0,True,False,9,,,2020-08-20 18:37:10,2020
177,204,2020-08-20 17:38:42+00:00,True,0,True,0,204,4,active,0,True,False,11,,,2020-08-20 18:37:10,2020
178,205,2020-08-20 17:59:34+00:00,True,0,True,0,205,2,active,0,True,False,13,,,2020-08-20 18:37:10,2020
179,206,2020-08-20 18:23:47+00:00,True,0,True,0,206,11,active,0,True,True,12,,,2020-08-20 18:37:10,2020
180,208,2020-08-20 18:36:23+00:00,True,0,True,0,208,11,active,0,True,True,4,,,2020-08-20 18:37:10,2020
181,209,2020-08-20 18:22:54+00:00,True,0,True,0,209,14,active,1,True,False,0,,,2020-08-20 18:37:10,2020
