,num_bikes_available,num_docks_disabled,legacy_id,eightd_has_available_keys,num_docks_available,is_installed,num_bikes_disabled,last_reported,num_ebikes_available,is_renting,is_returning,station_id,station_status,timestamp_of_data_read_request,year_station_last_reported
86,6,0,97,False,12,True,1,2020-08-12 21:29:00+00:00,0,True,True,97,active,2020-08-12 21:38:20,2020
87,17,0,98,False,6,True,0,2020-08-12 21:37:46+00:00,0,True,True,98,active,2020-08-12 21:38:20,2020
88,3,0,99,False,12,True,0,2020-08-12 21:22:44+00:00,0,True,True,99,active,2020-08-12 21:38:20,2020
89,22,0,100,True,3,True,0,2020-08-12 21:27:46+00:00,0,True,True,100,active,2020-08-12 21:38:20,2020
90,10,0,101,False,5,True,0,2020-08-12 20:07:01+00:00,0,True,True,101,active,2020-08-12 21:38:20,2020
91,0,0,102,False,15,True,0,2020-08-12 21:14:59+00:00,0,True,True,102,active,2020-08-12 21:38:20,2020
92,0,0,103,False,15,True,0,2020-08-12 21:15:32+00:00,0,True,True,103,active,2020-08-12 21:38:20,2020
93,8,0,104,False,11,True,0,2020-08-12 21:36:27+00:00,0,True,True,104,active,2020-08-12 21:38:20,2020
94,18,0,105,False,1,True,0,2020-08-12 21:38:17+00:00,0,True,True,105,active,2020-08-12 21:38:20,2020
95,3,0,106,False,11,True,1,2020-08-12 15:08:22+00:00,0,True,True,106,active,2020-08-12 21:38:20,2020
96,6,0,107,False,13,True,0,2020-08-12 21:32:51+00:00,0,True,True,107,active,2020-08-12 21:38:20,2020
97,8,0,108,False,9,True,0,2020-08-12 21:17:38+00:00,0,True,True,108,active,2020-08-12 21:38:20,2020
98,8,0,109,False,27,True,0,2020-08-12 20:31:51+00:00,0,True,True,109,active,2020-08-12 21:38:20,2020
99,3,0,110,False,12,True,0,2020-08-12 21:34:06+00:00,0,True,True,110,active,2020-08-12 21:38:20,2020
100,8,0,111,False,7,True,0,2020-08-12 18:04:12+00:00,0,True,True,111,active,2020-08-12 21:38:20,2020
101,13,0,112,False,2,True,0,2020-08-12 19:40:38+00:00,0,True,True,112,active,2020-08-12 21:38:20,2020
102,10,0,113,False,5,True,0,2020-08-12 21:26:36+00:00,0,True,True,113,active,2020-08-12 21:38:20,2020
103,3,0,114,False,11,True,1,2020-08-12 21:32:40+00:00,0,True,True,114,active,2020-08-12 21:38:20,2020
104,11,0,115,False,5,True,3,2020-08-12 21:35:22+00:00,0,True,True,115,active,2020-08-12 21:38:20,2020
105,8,0,116,False,15,True,0,2020-08-12 21:22:59+00:00,0,True,True,116,active,2020-08-12 21:38:20,2020
106,11,0,117,False,8,True,0,2020-08-12 21:21:21+00:00,0,True,True,117,active,2020-08-12 21:38:20,2020
107,15,0,118,False,3,True,1,2020-08-12 20:58:36+00:00,0,True,True,118,active,2020-08-12 21:38:20,2020
108,6,0,119,False,9,True,0,2020-08-12 21:37:51+00:00,0,True,True,119,active,2020-08-12 21:38:20,2020
