,is_installed,eightd_has_available_keys,is_renting,station_status,legacy_id,is_returning,num_bikes_disabled,num_docks_available,num_docks_disabled,num_bikes_available,station_id,num_ebikes_available,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
138,True,False,True,active,159,True,1,5,0,9,159,0,2020-07-31 03:49:12+00:00,,,2020-07-31 04:09:00,2020
139,True,True,True,active,160,True,0,12,0,2,160,0,2020-07-31 03:55:46+00:00,,,2020-07-31 04:09:00,2020
140,True,True,True,active,161,True,0,5,0,18,161,0,2020-07-31 03:26:15+00:00,,,2020-07-31 04:09:00,2020
141,True,False,True,active,162,True,0,11,0,4,162,0,2020-07-31 00:43:18+00:00,,,2020-07-31 04:09:00,2020
142,True,True,True,active,163,True,1,14,0,4,163,0,2020-07-31 01:59:13+00:00,,,2020-07-31 04:09:00,2020
143,True,False,True,active,167,True,1,0,0,14,167,0,2020-07-31 03:43:37+00:00,,,2020-07-31 04:09:00,2020
144,True,False,True,active,169,True,0,10,0,9,169,0,2020-07-31 03:07:28+00:00,,,2020-07-31 04:09:00,2020
145,True,True,True,active,170,True,0,13,0,1,170,0,2020-07-31 02:40:13+00:00,,,2020-07-31 04:09:00,2020
146,True,True,True,active,171,True,1,16,0,6,171,0,2020-07-30 23:36:37+00:00,,,2020-07-31 04:09:00,2020
147,True,True,True,active,173,True,3,7,0,4,173,0,2020-07-31 03:51:18+00:00,,,2020-07-31 04:09:00,2020
148,True,False,True,active,174,True,0,2,0,13,174,0,2020-07-31 03:42:34+00:00,,,2020-07-31 04:09:00,2020
149,True,True,True,active,175,True,0,10,0,7,175,0,2020-07-31 03:43:21+00:00,,,2020-07-31 04:09:00,2020
150,True,False,True,active,176,True,0,3,0,12,176,0,2020-07-31 01:39:27+00:00,,,2020-07-31 04:09:00,2020
151,True,False,True,active,177,True,0,15,0,4,177,0,2020-07-31 04:06:14+00:00,,,2020-07-31 04:09:00,2020
152,True,False,True,active,178,True,0,7,0,12,178,0,2020-07-31 04:05:43+00:00,,,2020-07-31 04:09:00,2020
153,True,False,True,active,179,True,0,7,0,18,179,0,2020-07-31 03:46:12+00:00,,,2020-07-31 04:09:00,2020
154,True,False,True,active,180,True,0,10,0,9,180,0,2020-07-31 00:40:42+00:00,,,2020-07-31 04:09:00,2020
155,True,False,True,active,181,True,1,17,0,1,181,0,2020-07-31 01:15:06+00:00,,,2020-07-31 04:09:00,2020
156,True,True,True,active,182,True,1,8,0,10,182,0,2020-07-31 00:18:29+00:00,,,2020-07-31 04:09:00,2020
157,True,False,True,active,183,True,0,15,0,4,183,0,2020-07-31 01:12:37+00:00,,,2020-07-31 04:09:00,2020
158,True,False,True,active,184,True,0,7,0,12,184,0,2020-07-31 02:36:56+00:00,,,2020-07-31 04:09:00,2020
