,station_status,num_bikes_available,num_ebikes_available,is_returning,last_reported,num_bikes_disabled,station_id,legacy_id,num_docks_available,num_docks_disabled,is_installed,is_renting,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
131,active,18,0,True,2020-08-19 01:47:14+00:00,1,146,146,0,0,True,True,False,2020-08-19 07:29:45,2020
132,active,14,0,True,2020-08-19 02:53:35+00:00,1,149,149,3,0,True,True,True,2020-08-19 07:29:45,2020
133,active,12,0,True,2020-08-19 05:10:07+00:00,1,150,150,6,0,True,True,False,2020-08-19 07:29:45,2020
134,active,15,0,True,2020-08-19 05:32:44+00:00,0,151,151,4,0,True,True,False,2020-08-19 07:29:45,2020
135,active,15,0,True,2020-08-19 04:00:34+00:00,0,152,152,0,0,True,True,True,2020-08-19 07:29:45,2020
136,active,6,0,True,2020-08-19 02:08:26+00:00,1,156,156,8,0,True,True,False,2020-08-19 07:29:45,2020
137,active,6,0,True,2020-08-19 04:21:17+00:00,2,157,157,7,0,True,True,False,2020-08-19 07:29:45,2020
138,active,4,0,True,2020-08-19 06:35:24+00:00,0,159,159,11,0,True,True,False,2020-08-19 07:29:45,2020
139,active,4,0,True,2020-08-19 01:11:04+00:00,0,160,160,10,0,True,True,True,2020-08-19 07:29:45,2020
140,active,22,0,True,2020-08-19 03:16:07+00:00,1,161,161,0,0,True,True,True,2020-08-19 07:29:45,2020
141,active,7,0,True,2020-08-19 00:12:49+00:00,0,162,162,8,0,True,True,False,2020-08-19 07:29:45,2020
142,active,9,0,True,2020-08-19 06:03:40+00:00,0,163,163,10,0,True,True,True,2020-08-19 07:29:45,2020
143,active,9,0,True,2020-08-19 06:44:42+00:00,0,167,167,6,0,True,True,False,2020-08-19 07:29:45,2020
144,active,8,0,True,2020-08-19 02:28:05+00:00,0,169,169,11,0,True,True,False,2020-08-19 07:29:45,2020
145,active,0,0,True,2020-08-18 22:24:55+00:00,0,170,170,14,0,True,True,True,2020-08-19 07:29:45,2020
146,active,3,0,True,2020-08-19 00:23:19+00:00,0,171,171,20,0,True,True,True,2020-08-19 07:29:45,2020
147,active,12,0,True,2020-08-19 02:54:35+00:00,0,173,173,2,0,True,True,True,2020-08-19 07:29:45,2020
148,active,3,0,True,2020-08-19 04:29:08+00:00,0,174,174,12,0,True,True,False,2020-08-19 07:29:45,2020
149,active,7,0,True,2020-08-19 04:44:39+00:00,1,175,175,9,0,True,True,True,2020-08-19 07:29:45,2020
150,active,11,0,True,2020-08-19 00:52:10+00:00,0,176,176,4,0,True,True,False,2020-08-19 07:29:45,2020
151,active,16,0,True,2020-08-19 06:02:09+00:00,0,177,177,3,0,True,True,False,2020-08-19 07:29:45,2020
152,active,2,0,True,2020-08-19 05:43:10+00:00,1,178,178,16,0,True,True,False,2020-08-19 07:29:45,2020
153,active,18,0,True,2020-08-19 07:14:33+00:00,0,179,179,7,0,True,True,False,2020-08-19 07:29:45,2020
154,active,10,0,True,2020-08-19 01:11:59+00:00,0,180,180,9,0,True,True,False,2020-08-19 07:29:45,2020
155,active,12,0,True,2020-08-19 06:46:45+00:00,0,181,181,7,0,True,True,False,2020-08-19 07:29:45,2020
156,active,4,0,True,2020-08-19 02:09:08+00:00,0,182,182,15,0,True,True,True,2020-08-19 07:29:45,2020
157,active,8,0,True,2020-08-19 00:06:14+00:00,0,183,183,11,0,True,True,False,2020-08-19 07:29:45,2020
158,active,6,0,True,2020-08-19 02:27:23+00:00,0,184,184,13,0,True,True,False,2020-08-19 07:29:45,2020
159,active,0,0,True,2020-08-19 05:46:08+00:00,1,185,185,14,0,True,True,False,2020-08-19 07:29:45,2020
160,active,1,0,True,2020-08-19 00:39:06+00:00,0,186,186,14,0,True,True,True,2020-08-19 07:29:45,2020
161,active,10,0,True,2020-08-19 00:43:12+00:00,0,187,187,5,0,True,True,False,2020-08-19 07:29:45,2020
162,active,15,0,True,2020-08-19 05:29:12+00:00,0,188,188,0,0,True,True,False,2020-08-19 07:29:45,2020
163,active,11,0,True,2020-08-19 04:24:22+00:00,0,189,189,12,0,True,True,True,2020-08-19 07:29:45,2020
