,eightd_has_available_keys,is_renting,station_status,num_docks_available,num_docks_disabled,is_installed,station_id,last_reported,num_ebikes_available,is_returning,legacy_id,num_bikes_disabled,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
49,True,True,active,2,0,True,57,2020-08-14 01:39:22+00:00,0,True,57,1,11,2020-08-14 01:43:50,2020
50,True,True,active,2,0,True,58,2020-08-14 01:23:55+00:00,0,True,58,2,15,2020-08-14 01:43:50,2020
51,True,True,active,11,0,True,59,2020-08-14 01:38:45+00:00,0,True,59,0,8,2020-08-14 01:43:50,2020
52,False,True,active,19,0,True,60,2020-08-14 01:31:39+00:00,0,True,60,0,0,2020-08-14 01:43:50,2020
53,False,True,active,14,0,True,61,2020-08-14 01:40:43+00:00,0,True,61,0,5,2020-08-14 01:43:50,2020
54,False,True,active,8,0,True,63,2020-08-14 01:28:32+00:00,0,True,63,0,7,2020-08-14 01:43:50,2020
55,False,True,active,6,0,True,64,2020-08-14 01:43:36+00:00,0,True,64,2,11,2020-08-14 01:43:50,2020
56,False,True,active,18,0,True,65,2020-08-14 01:32:13+00:00,0,True,65,1,4,2020-08-14 01:43:50,2020
57,False,True,active,2,0,True,66,2020-08-14 01:39:39+00:00,0,True,66,3,10,2020-08-14 01:43:50,2020
58,True,True,active,26,0,True,67,2020-08-14 01:38:56+00:00,0,True,67,0,1,2020-08-14 01:43:50,2020
59,True,True,active,2,0,True,68,2020-08-14 01:41:47+00:00,0,True,68,1,16,2020-08-14 01:43:50,2020
60,True,True,active,4,0,True,69,2020-08-14 01:16:58+00:00,0,True,69,1,14,2020-08-14 01:43:50,2020
61,False,True,active,4,0,True,70,2020-08-14 01:42:29+00:00,0,True,70,0,19,2020-08-14 01:43:50,2020
62,False,True,active,7,0,True,71,2020-08-14 00:50:40+00:00,0,True,71,1,15,2020-08-14 01:43:50,2020
63,False,True,active,21,0,True,72,2020-08-14 01:28:17+00:00,0,True,72,0,2,2020-08-14 01:43:50,2020
64,False,True,active,13,0,True,73,2020-08-14 01:42:37+00:00,0,True,73,1,1,2020-08-14 01:43:50,2020
65,True,True,active,4,0,True,74,2020-08-14 01:42:18+00:00,0,True,74,1,14,2020-08-14 01:43:50,2020
66,False,True,active,11,0,True,75,2020-08-14 00:59:16+00:00,0,True,75,0,4,2020-08-14 01:43:50,2020
67,False,True,active,9,0,True,76,2020-08-14 01:27:15+00:00,0,True,76,1,7,2020-08-14 01:43:50,2020
68,False,True,active,6,0,True,77,2020-08-14 01:10:13+00:00,0,True,77,1,8,2020-08-14 01:43:50,2020
69,False,True,active,0,0,True,78,2020-08-14 01:35:43+00:00,0,True,78,0,19,2020-08-14 01:43:50,2020
70,False,True,active,2,0,True,79,2020-08-14 01:33:32+00:00,0,True,79,5,12,2020-08-14 01:43:50,2020
71,False,True,active,21,0,True,80,2020-08-14 01:41:50+00:00,0,True,80,1,13,2020-08-14 01:43:50,2020
