,is_returning,is_installed,num_docks_available,is_renting,last_reported,num_bikes_disabled,num_bikes_available,legacy_id,station_id,num_docks_disabled,station_status,eightd_has_available_keys,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
201,True,True,12,True,2020-08-04 22:47:33+00:00,0,3,234,234,0,active,False,0,2020-08-04 23:50:30,2020
202,True,True,10,True,2020-08-04 21:47:50+00:00,1,4,235,235,0,active,False,0,2020-08-04 23:50:30,2020
203,True,True,4,True,2020-08-04 22:54:59+00:00,0,11,236,236,0,active,False,0,2020-08-04 23:50:30,2020
204,True,True,4,True,2020-08-04 23:27:42+00:00,0,11,239,239,0,active,False,0,2020-08-04 23:50:30,2020
205,True,True,3,True,2020-08-04 22:15:33+00:00,0,12,255,255,0,active,False,0,2020-08-04 23:50:30,2020
206,True,True,0,True,2020-08-04 19:25:29+00:00,0,15,258,258,0,active,False,0,2020-08-04 23:50:30,2020
207,True,True,15,True,2020-08-04 09:01:37+00:00,0,0,259,259,0,active,False,0,2020-08-04 23:50:30,2020
208,True,True,13,True,2020-08-04 20:42:30+00:00,0,2,260,260,0,active,False,0,2020-08-04 23:50:30,2020
209,True,True,9,True,2020-08-04 20:37:38+00:00,0,6,271,271,0,active,False,0,2020-08-04 23:50:30,2020
210,True,True,14,True,2020-08-04 20:21:43+00:00,0,5,272,272,0,active,False,0,2020-08-04 23:50:30,2020
211,True,True,14,True,2020-08-04 23:47:10+00:00,1,25,273,273,0,active,False,0,2020-08-04 23:50:30,2020
212,True,True,14,True,2020-08-04 23:25:53+00:00,0,5,279,279,0,active,False,0,2020-08-04 23:50:30,2020
213,True,True,9,True,2020-08-04 22:44:06+00:00,0,10,280,280,0,active,False,0,2020-08-04 23:50:30,2020
214,True,True,0,True,2020-08-04 23:46:50+00:00,0,15,282,282,0,active,False,0,2020-08-04 23:50:30,2020
215,True,True,15,True,2020-08-04 23:34:29+00:00,1,7,296,296,0,active,False,0,2020-08-04 23:50:30,2020
216,True,True,8,True,2020-08-04 23:43:05+00:00,0,11,318,318,0,active,False,0,2020-08-04 23:50:30,2020
217,True,True,12,True,2020-08-04 22:13:49+00:00,0,13,319,319,0,active,False,0,2020-08-04 23:50:30,2020
218,True,True,7,True,2020-08-04 21:18:00+00:00,0,8,327,327,0,active,False,0,2020-08-04 23:50:30,2020
219,True,True,3,True,2020-08-04 23:29:33+00:00,0,12,328,328,0,active,False,0,2020-08-04 23:50:30,2020
220,True,True,6,True,2020-08-04 23:41:11+00:00,0,9,329,329,0,active,False,0,2020-08-04 23:50:30,2020
221,True,True,14,True,2020-08-04 23:30:06+00:00,0,1,330,330,0,active,False,0,2020-08-04 23:50:30,2020
222,True,True,15,True,2020-08-04 23:46:10+00:00,0,0,331,331,0,active,False,0,2020-08-04 23:50:30,2020
223,True,True,14,True,2020-08-04 23:29:00+00:00,0,1,332,332,0,active,False,0,2020-08-04 23:50:30,2020
224,True,True,3,True,2020-08-04 23:13:13+00:00,0,22,333,333,0,active,False,0,2020-08-04 23:50:30,2020
225,True,True,8,True,2020-08-04 23:33:23+00:00,0,11,334,334,0,active,False,0,2020-08-04 23:50:30,2020
226,True,True,16,True,2020-08-04 23:45:47+00:00,0,3,335,335,0,active,False,0,2020-08-04 23:50:30,2020
227,True,True,3,True,2020-08-04 23:47:53+00:00,0,12,336,336,0,active,False,0,2020-08-04 23:50:30,2020
228,True,True,1,True,2020-08-04 23:35:51+00:00,0,14,337,337,0,active,False,0,2020-08-04 23:50:30,2020
229,True,True,6,True,2020-08-04 23:43:50+00:00,0,9,338,338,0,active,False,0,2020-08-04 23:50:30,2020
230,True,True,7,True,2020-08-04 23:46:55+00:00,0,8,339,339,0,active,False,0,2020-08-04 23:50:30,2020
231,True,True,3,True,2020-08-04 17:02:48+00:00,0,16,340,340,0,active,False,0,2020-08-04 23:50:30,2020
232,True,True,10,True,2020-08-04 19:49:02+00:00,0,5,341,341,0,active,True,0,2020-08-04 23:50:30,2020
233,True,True,5,True,2020-08-04 23:45:17+00:00,0,10,342,342,0,active,False,0,2020-08-04 23:50:30,2020
234,True,True,9,True,2020-08-04 19:00:47+00:00,0,6,343,343,0,active,False,0,2020-08-04 23:50:30,2020
235,True,True,17,True,2020-08-04 23:45:26+00:00,0,2,344,344,0,active,False,0,2020-08-04 23:50:30,2020
236,True,True,6,True,2020-08-04 21:52:16+00:00,1,12,345,345,0,active,False,0,2020-08-04 23:50:30,2020
237,True,True,14,True,2020-08-04 22:44:45+00:00,0,1,346,346,0,active,False,0,2020-08-04 23:50:30,2020
238,True,True,10,True,2020-08-04 18:55:15+00:00,0,5,347,347,0,active,False,0,2020-08-04 23:50:30,2020
239,True,True,3,True,2020-08-04 23:35:49+00:00,0,12,348,348,0,active,False,0,2020-08-04 23:50:30,2020
240,True,True,7,True,2020-08-04 01:02:05+00:00,0,10,349,349,0,active,True,0,2020-08-04 23:50:30,2020
241,True,True,12,True,2020-08-04 22:20:29+00:00,0,5,350,350,0,active,False,0,2020-08-04 23:50:30,2020
242,True,True,3,True,2020-08-04 23:24:50+00:00,3,9,351,351,0,active,False,0,2020-08-04 23:50:30,2020
243,True,True,5,True,2020-08-04 23:39:16+00:00,0,10,352,352,0,active,False,0,2020-08-04 23:50:30,2020
244,True,True,7,True,2020-08-04 18:26:56+00:00,0,8,353,353,0,active,True,0,2020-08-04 23:50:30,2020
245,True,True,6,True,2020-08-04 23:49:00+00:00,0,9,354,354,0,active,False,0,2020-08-04 23:50:30,2020
246,True,True,5,True,2020-08-04 21:38:51+00:00,0,12,355,355,0,active,False,0,2020-08-04 23:50:30,2020
247,True,True,13,True,2020-08-04 23:31:06+00:00,0,10,356,356,0,active,False,0,2020-08-04 23:50:30,2020
248,True,True,7,True,2020-08-04 23:41:51+00:00,0,8,357,357,0,active,False,0,2020-08-04 23:50:30,2020
249,True,True,4,True,2020-08-04 23:09:40+00:00,0,15,358,358,0,active,False,0,2020-08-04 23:50:30,2020
250,True,True,13,True,2020-08-04 23:45:58+00:00,0,2,359,359,0,active,False,0,2020-08-04 23:50:30,2020
251,True,True,13,True,2020-08-04 23:05:41+00:00,0,2,360,360,0,active,False,0,2020-08-04 23:50:30,2020
252,True,True,11,True,2020-08-04 23:49:30+00:00,0,8,361,361,0,active,False,0,2020-08-04 23:50:30,2020
253,True,True,2,True,2020-08-04 23:30:22+00:00,0,17,362,362,0,active,False,0,2020-08-04 23:50:30,2020
254,True,True,4,True,2020-08-04 23:40:41+00:00,1,14,363,363,0,active,False,0,2020-08-04 23:50:30,2020
255,True,True,12,True,2020-08-04 23:32:32+00:00,0,7,364,364,0,active,False,0,2020-08-04 23:50:30,2020
256,True,True,18,True,2020-08-04 22:02:03+00:00,1,0,365,365,0,active,False,0,2020-08-04 23:50:30,2020
257,True,True,15,True,2020-08-04 23:34:28+00:00,0,0,366,366,0,active,False,0,2020-08-04 23:50:30,2020
258,True,True,9,True,2020-08-04 22:36:38+00:00,0,10,367,367,0,active,False,0,2020-08-04 23:50:30,2020
259,True,True,13,True,2020-08-04 23:12:21+00:00,1,1,368,368,0,active,False,0,2020-08-04 23:50:30,2020
260,True,True,0,True,2020-08-04 23:47:24+00:00,0,15,369,369,0,active,False,0,2020-08-04 23:50:30,2020
261,True,True,10,True,2020-08-04 23:41:09+00:00,0,9,370,370,0,active,False,0,2020-08-04 23:50:30,2020
262,True,True,6,True,2020-08-04 16:52:53+00:00,0,13,371,371,0,active,False,0,2020-08-04 23:50:30,2020
263,True,True,10,True,2020-08-04 22:59:40+00:00,0,9,372,372,0,active,False,0,2020-08-04 23:50:30,2020
