,is_renting,last_reported,num_docks_available,num_bikes_disabled,is_returning,is_installed,legacy_id,station_status,station_id,num_ebikes_available,eightd_has_available_keys,num_bikes_available,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
96,True,2020-08-18 20:15:38+00:00,4,2,True,True,107,active,107,0,False,13,0,,,2020-08-18 20:15:50,2020
97,True,2020-08-18 20:01:40+00:00,8,0,True,True,108,active,108,0,False,9,0,,,2020-08-18 20:15:50,2020
98,True,2020-08-18 19:32:03+00:00,29,1,True,True,109,active,109,0,False,5,0,,,2020-08-18 20:15:50,2020
99,True,2020-08-18 19:53:16+00:00,9,0,True,True,110,active,110,0,False,6,0,,,2020-08-18 20:15:50,2020
100,True,2020-08-18 18:57:14+00:00,13,0,True,True,111,active,111,0,False,2,0,,,2020-08-18 20:15:50,2020
101,True,2020-08-18 19:10:50+00:00,4,0,True,True,112,active,112,0,False,11,0,,,2020-08-18 20:15:50,2020
102,True,2020-08-18 20:10:07+00:00,7,2,True,True,113,active,113,0,False,6,0,,,2020-08-18 20:15:50,2020
103,True,2020-08-18 20:04:27+00:00,14,0,True,True,114,active,114,0,False,1,0,,,2020-08-18 20:15:50,2020
104,True,2020-08-18 19:55:07+00:00,4,0,True,True,115,active,115,0,False,15,0,,,2020-08-18 20:15:50,2020
105,True,2020-08-18 19:59:58+00:00,14,0,True,True,116,active,116,0,False,9,0,,,2020-08-18 20:15:50,2020
106,True,2020-08-18 20:14:44+00:00,14,0,True,True,117,active,117,0,False,5,0,,,2020-08-18 20:15:50,2020
107,True,2020-08-18 19:27:31+00:00,10,1,True,True,118,active,118,0,False,8,0,,,2020-08-18 20:15:50,2020
108,True,2020-08-18 20:11:29+00:00,6,1,True,True,119,active,119,0,False,8,0,,,2020-08-18 20:15:50,2020
109,True,2020-08-18 20:14:16+00:00,0,0,True,True,120,active,120,0,False,15,0,,,2020-08-18 20:15:50,2020
110,True,2020-08-18 19:55:10+00:00,6,1,True,True,121,active,121,0,False,10,0,,,2020-08-18 20:15:50,2020
111,True,2020-08-18 19:53:22+00:00,6,0,True,True,122,active,122,0,False,9,0,,,2020-08-18 20:15:50,2020
112,True,2020-08-18 19:45:49+00:00,13,0,True,True,124,active,124,0,False,2,0,,,2020-08-18 20:15:50,2020
113,True,2020-08-18 20:11:00+00:00,10,0,True,True,125,active,125,0,False,4,1,,,2020-08-18 20:15:50,2020
114,True,2020-08-18 19:27:38+00:00,3,1,True,True,126,active,126,0,False,11,0,,,2020-08-18 20:15:50,2020
115,True,2020-08-18 20:11:26+00:00,4,0,True,True,128,active,128,0,False,15,0,,,2020-08-18 20:15:50,2020
116,True,2020-08-18 19:37:52+00:00,6,0,True,True,129,active,129,0,False,13,0,,,2020-08-18 20:15:50,2020
117,True,2020-08-18 18:23:23+00:00,3,0,True,True,130,active,130,0,False,12,0,,,2020-08-18 20:15:50,2020
118,True,2020-08-18 20:15:00+00:00,14,0,True,True,131,active,131,0,False,4,0,,,2020-08-18 20:15:50,2020
119,True,2020-08-18 19:28:45+00:00,8,2,True,True,133,active,133,0,False,13,0,,,2020-08-18 20:15:50,2020
120,True,2020-08-18 20:00:20+00:00,15,0,True,True,135,active,135,0,False,2,0,,,2020-08-18 20:15:50,2020
121,True,2020-08-18 19:54:02+00:00,14,1,True,True,136,active,136,0,False,4,0,,,2020-08-18 20:15:50,2020
122,True,2020-08-18 19:25:26+00:00,6,0,True,True,137,active,137,0,False,9,0,,,2020-08-18 20:15:50,2020
123,True,2020-08-18 19:40:31+00:00,8,2,True,True,138,active,138,0,False,5,0,,,2020-08-18 20:15:50,2020
124,True,2020-08-18 19:53:13+00:00,16,0,True,True,139,active,139,0,False,3,0,,,2020-08-18 20:15:50,2020
125,True,2020-08-18 20:05:58+00:00,12,0,True,True,140,active,140,0,False,5,0,,,2020-08-18 20:15:50,2020
126,True,2020-08-18 19:52:36+00:00,7,0,True,True,141,active,141,0,False,8,0,,,2020-08-18 20:15:50,2020
127,True,2020-08-18 20:08:24+00:00,6,0,True,True,142,active,142,0,False,17,0,,,2020-08-18 20:15:50,2020
128,True,2020-08-18 20:15:13+00:00,18,0,True,True,143,active,143,0,False,5,0,,,2020-08-18 20:15:50,2020
129,True,2020-08-18 17:23:53+00:00,3,0,True,True,144,active,144,0,False,16,0,,,2020-08-18 20:15:50,2020
130,True,2020-08-18 20:02:58+00:00,1,1,True,True,145,active,145,0,False,17,0,,,2020-08-18 20:15:50,2020
131,True,2020-08-18 20:05:17+00:00,5,2,True,True,146,active,146,0,False,12,0,,,2020-08-18 20:15:50,2020
132,True,2020-08-18 20:06:47+00:00,12,1,True,True,149,active,149,0,True,5,0,,,2020-08-18 20:15:50,2020
133,True,2020-08-18 19:43:04+00:00,7,1,True,True,150,active,150,0,False,11,0,,,2020-08-18 20:15:50,2020
134,True,2020-08-18 20:03:50+00:00,7,0,True,True,151,active,151,0,False,12,0,,,2020-08-18 20:15:50,2020
135,True,2020-08-18 20:10:53+00:00,5,0,True,True,152,active,152,0,True,10,0,,,2020-08-18 20:15:50,2020
136,True,2020-08-18 19:52:55+00:00,13,0,True,True,156,active,156,0,False,2,0,,,2020-08-18 20:15:50,2020
137,True,2020-08-18 20:14:02+00:00,6,3,True,True,157,active,157,0,False,6,0,,,2020-08-18 20:15:50,2020
