,station_id,is_renting,is_returning,eightd_has_available_keys,num_ebikes_available,num_bikes_disabled,num_docks_available,last_reported,legacy_id,num_docks_disabled,station_status,is_installed,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
153,179,True,True,False,0,0,19,2020-08-21 23:10:16+00:00,179,0,active,True,6,2020-08-21 23:20:50,2020
154,180,True,True,False,0,0,5,2020-08-21 23:11:59+00:00,180,0,active,True,14,2020-08-21 23:20:50,2020
155,181,True,True,False,0,0,18,2020-08-21 23:08:14+00:00,181,0,active,True,1,2020-08-21 23:20:50,2020
156,182,True,True,True,0,0,15,2020-08-21 23:10:38+00:00,182,0,active,True,4,2020-08-21 23:20:50,2020
157,183,True,True,False,0,0,18,2020-08-21 23:03:43+00:00,183,0,active,True,1,2020-08-21 23:20:50,2020
158,184,True,True,False,0,0,18,2020-08-21 23:18:59+00:00,184,0,active,True,1,2020-08-21 23:20:50,2020
159,185,True,True,False,0,0,9,2020-08-21 23:15:58+00:00,185,0,active,True,6,2020-08-21 23:20:50,2020
160,186,True,True,True,0,0,3,2020-08-21 23:18:54+00:00,186,0,active,True,12,2020-08-21 23:20:50,2020
161,187,True,True,False,0,1,14,2020-08-21 22:01:45+00:00,187,0,active,True,0,2020-08-21 23:20:50,2020
162,188,True,True,False,0,0,6,2020-08-21 22:14:51+00:00,188,0,active,True,9,2020-08-21 23:20:50,2020
163,189,True,True,True,0,0,23,2020-08-21 23:13:09+00:00,189,0,active,True,0,2020-08-21 23:20:50,2020
164,190,True,True,True,0,2,27,2020-08-21 23:15:23+00:00,190,0,active,True,8,2020-08-21 23:20:50,2020
165,191,True,True,False,0,0,13,2020-08-21 23:19:50+00:00,191,0,active,True,2,2020-08-21 23:20:50,2020
166,192,True,True,False,0,1,15,2020-08-21 22:32:08+00:00,192,0,active,True,3,2020-08-21 23:20:50,2020
167,193,True,True,True,0,0,12,2020-08-21 22:49:50+00:00,193,0,active,True,3,2020-08-21 23:20:50,2020
168,194,True,True,False,0,0,16,2020-08-21 21:51:37+00:00,194,0,active,True,3,2020-08-21 23:20:50,2020
169,195,True,True,False,0,0,17,2020-08-21 23:06:13+00:00,195,0,active,True,6,2020-08-21 23:20:50,2020
170,196,True,True,False,0,0,7,2020-08-21 22:02:32+00:00,196,0,active,True,3,2020-08-21 23:20:50,2020
171,197,True,True,False,0,0,6,2020-08-21 22:47:00+00:00,197,0,active,True,9,2020-08-21 23:20:50,2020
172,199,True,True,False,0,0,5,2020-08-21 20:47:53+00:00,199,0,active,True,10,2020-08-21 23:20:50,2020
173,200,True,True,False,0,0,7,2020-08-21 22:20:45+00:00,200,0,active,True,12,2020-08-21 23:20:50,2020
174,201,True,True,False,0,0,13,2020-08-21 22:44:20+00:00,201,0,active,True,2,2020-08-21 23:20:50,2020
175,202,True,True,False,0,0,11,2020-08-21 22:14:10+00:00,202,0,active,True,4,2020-08-21 23:20:50,2020
176,203,True,True,False,0,0,9,2020-08-21 12:45:21+00:00,203,0,active,True,6,2020-08-21 23:20:50,2020
