,legacy_id,station_id,num_bikes_disabled,is_installed,station_status,eightd_has_available_keys,is_returning,num_bikes_available,num_ebikes_available,is_renting,last_reported,num_docks_available,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
256,365,365,2,True,active,False,True,0,0,True,2020-08-10 21:59:12+00:00,17,0,,,2020-08-10 22:48:25,2020
257,366,366,0,True,active,False,True,13,0,True,2020-08-10 22:46:53+00:00,2,0,,,2020-08-10 22:48:25,2020
258,367,367,0,True,active,False,True,15,0,True,2020-08-10 20:27:23+00:00,4,0,,,2020-08-10 22:48:25,2020
259,368,368,1,True,active,False,True,7,0,True,2020-08-10 14:37:06+00:00,7,0,,,2020-08-10 22:48:25,2020
260,369,369,1,True,active,False,True,10,0,True,2020-08-10 22:45:49+00:00,4,0,,,2020-08-10 22:48:25,2020
261,370,370,0,True,active,False,True,18,0,True,2020-08-10 22:40:57+00:00,1,0,,,2020-08-10 22:48:25,2020
262,371,371,0,True,active,False,True,12,0,True,2020-08-10 22:42:47+00:00,7,0,,,2020-08-10 22:48:25,2020
263,372,372,1,True,active,False,True,16,0,True,2020-08-10 22:22:42+00:00,2,0,,,2020-08-10 22:48:25,2020
264,373,373,0,True,active,False,True,7,0,True,2020-08-10 21:39:18+00:00,8,0,,,2020-08-10 22:48:25,2020
265,374,374,1,True,active,False,True,1,0,True,2020-08-10 22:43:16+00:00,17,0,,,2020-08-10 22:48:25,2020
266,376,376,0,True,active,False,True,9,0,True,2020-08-10 22:34:55+00:00,6,0,,,2020-08-10 22:48:25,2020
267,377,377,1,True,active,False,True,10,0,True,2020-08-10 22:19:53+00:00,8,0,,,2020-08-10 22:48:25,2020
268,378,378,0,True,active,False,True,7,0,True,2020-08-10 22:44:16+00:00,12,0,,,2020-08-10 22:48:25,2020
269,379,379,0,True,active,False,True,9,0,True,2020-08-10 22:46:33+00:00,6,0,,,2020-08-10 22:48:25,2020
270,380,380,0,True,active,False,True,1,0,True,2020-08-10 22:39:04+00:00,17,0,,,2020-08-10 22:48:25,2020
271,381,381,0,True,active,False,True,6,0,True,2020-08-10 22:41:06+00:00,13,0,,,2020-08-10 22:48:25,2020
272,384,384,2,True,active,True,True,6,0,True,2020-08-10 22:45:01+00:00,11,0,,,2020-08-10 22:48:25,2020
273,385,385,2,True,active,False,True,0,0,True,2020-08-10 22:47:13+00:00,12,1,,,2020-08-10 22:48:25,2020
274,386,386,0,True,active,False,True,7,0,True,2020-08-10 22:38:52+00:00,12,0,,,2020-08-10 22:48:25,2020
275,387,387,1,True,active,False,True,13,0,True,2020-08-10 22:42:56+00:00,1,0,,,2020-08-10 22:48:25,2020
276,388,388,0,True,active,False,True,5,0,True,2020-08-10 22:45:24+00:00,6,0,,,2020-08-10 22:48:25,2020
277,389,389,0,True,active,False,True,14,0,True,2020-08-10 21:07:52+00:00,0,0,,,2020-08-10 22:48:25,2020
278,390,390,0,True,active,False,True,15,0,True,2020-08-10 17:18:21+00:00,0,0,,,2020-08-10 22:48:25,2020
279,391,391,0,True,active,False,True,13,0,True,2020-08-10 18:39:43+00:00,2,0,,,2020-08-10 22:48:25,2020
280,392,392,0,True,active,False,True,8,0,True,2020-08-10 21:53:47+00:00,7,0,,,2020-08-10 22:48:25,2020
281,393,393,1,True,active,False,True,6,0,True,2020-08-10 01:22:59+00:00,8,0,,,2020-08-10 22:48:25,2020
282,394,394,0,True,active,False,True,1,0,True,2020-08-10 20:23:12+00:00,13,0,,,2020-08-10 22:48:25,2020
283,395,395,0,True,active,False,True,10,0,True,2020-08-10 16:55:20+00:00,5,0,,,2020-08-10 22:48:25,2020
284,396,396,0,True,active,False,True,11,0,True,2020-08-10 13:36:34+00:00,4,0,,,2020-08-10 22:48:25,2020
285,397,397,0,True,active,False,True,10,0,True,2020-08-10 19:26:42+00:00,5,0,,,2020-08-10 22:48:25,2020
286,398,398,0,True,active,False,True,16,0,True,2020-08-10 22:38:06+00:00,3,0,,,2020-08-10 22:48:25,2020
287,399,399,1,True,active,False,True,11,0,True,2020-08-10 22:41:58+00:00,3,0,,,2020-08-10 22:48:25,2020
288,400,400,0,True,active,False,True,9,0,True,2020-08-10 20:50:16+00:00,18,0,,,2020-08-10 22:48:25,2020
289,401,401,0,True,active,False,True,5,0,True,2020-08-10 20:57:49+00:00,10,0,,,2020-08-10 22:48:25,2020
290,402,402,1,True,active,False,True,4,0,True,2020-08-10 22:38:14+00:00,10,0,,,2020-08-10 22:48:25,2020
291,403,403,1,True,active,False,True,7,0,True,2020-08-10 22:38:30+00:00,7,0,,,2020-08-10 22:48:25,2020
292,404,404,1,True,active,False,True,2,0,True,2020-08-10 22:37:14+00:00,13,0,,,2020-08-10 22:48:25,2020
293,405,405,0,True,active,False,True,4,0,True,2020-08-10 22:28:08+00:00,15,0,,,2020-08-10 22:48:25,2020
294,406,406,0,True,active,False,True,15,0,True,2020-08-10 20:32:06+00:00,4,0,,,2020-08-10 22:48:25,2020
295,407,407,0,True,active,False,True,2,0,True,2020-08-10 22:12:13+00:00,17,0,,,2020-08-10 22:48:25,2020
296,408,408,0,True,active,False,True,6,0,True,2020-08-10 21:49:35+00:00,9,0,,,2020-08-10 22:48:25,2020
297,409,409,0,True,active,False,True,14,0,True,2020-08-10 22:45:09+00:00,5,0,,,2020-08-10 22:48:25,2020
298,410,410,0,True,active,False,True,16,0,True,2020-08-10 21:44:58+00:00,3,0,,,2020-08-10 22:48:25,2020
299,411,411,0,True,active,False,True,5,0,True,2020-08-10 16:41:54+00:00,10,0,,,2020-08-10 22:48:25,2020
300,412,412,1,True,active,False,True,17,0,True,2020-08-10 22:45:35+00:00,1,0,,,2020-08-10 22:48:25,2020
301,413,413,0,True,active,False,True,3,0,True,2020-08-10 22:36:57+00:00,16,0,,,2020-08-10 22:48:25,2020
302,414,414,0,True,active,False,True,2,0,True,2020-08-10 22:44:38+00:00,21,0,,,2020-08-10 22:48:25,2020
303,415,415,1,True,active,False,True,18,0,True,2020-08-10 22:29:37+00:00,0,0,,,2020-08-10 22:48:25,2020
304,416,416,0,True,active,False,True,1,0,True,2020-08-10 22:47:23+00:00,14,0,,,2020-08-10 22:48:25,2020
305,417,417,0,True,active,False,True,10,0,True,2020-08-10 22:45:36+00:00,9,0,,,2020-08-10 22:48:25,2020
306,419,419,0,True,active,False,True,13,0,True,2020-08-10 22:22:09+00:00,2,0,,,2020-08-10 22:48:25,2020
307,420,420,0,False,out_of_service,False,False,0,0,False,1970-01-02 00:00:00+00:00,0,0,,,2020-08-10 22:48:25,1970
308,421,421,2,True,active,False,True,15,0,True,2020-08-10 15:34:47+00:00,2,0,,,2020-08-10 22:48:25,2020
309,422,422,2,True,active,False,True,13,0,True,2020-08-10 14:46:48+00:00,0,0,,,2020-08-10 22:48:25,2020
310,423,423,0,True,active,False,True,3,0,True,2020-08-10 22:47:37+00:00,16,0,,,2020-08-10 22:48:25,2020
311,424,424,0,True,active,False,True,8,0,True,2020-08-10 21:16:14+00:00,11,0,,,2020-08-10 22:48:25,2020
