,num_bikes_available,last_reported,eightd_has_available_keys,num_docks_available,num_bikes_disabled,num_ebikes_available,is_installed,station_status,legacy_id,is_returning,is_renting,station_id,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
120,3,2020-07-31 23:18:05+00:00,False,14,0,0,True,active,135,True,True,135,0,,,2020-08-01 02:06:00,2020
121,18,2020-08-01 00:55:06+00:00,False,1,0,0,True,active,136,True,True,136,0,,,2020-08-01 02:06:00,2020
122,5,2020-08-01 01:49:26+00:00,False,10,0,0,True,active,137,True,True,137,0,,,2020-08-01 02:06:00,2020
123,9,2020-08-01 02:03:15+00:00,False,6,0,0,True,active,138,True,True,138,0,,,2020-08-01 02:06:00,2020
124,15,2020-08-01 01:35:10+00:00,False,4,0,0,True,active,139,True,True,139,0,,,2020-08-01 02:06:00,2020
125,5,2020-08-01 02:04:37+00:00,False,10,2,0,True,active,140,True,True,140,0,,,2020-08-01 02:06:00,2020
126,0,2020-08-01 01:30:56+00:00,False,15,0,0,True,active,141,True,True,141,0,,,2020-08-01 02:06:00,2020
127,15,2020-08-01 01:53:27+00:00,False,8,0,0,True,active,142,True,True,142,0,,,2020-08-01 02:06:00,2020
128,13,2020-08-01 02:05:33+00:00,False,9,1,0,True,active,143,True,True,143,0,,,2020-08-01 02:06:00,2020
129,1,2020-08-01 01:01:13+00:00,False,18,0,0,True,active,144,True,True,144,0,,,2020-08-01 02:06:00,2020
130,10,2020-08-01 00:19:58+00:00,False,9,0,0,True,active,145,True,True,145,0,,,2020-08-01 02:06:00,2020
131,6,2020-08-01 01:59:35+00:00,False,12,1,0,True,active,146,True,True,146,0,,,2020-08-01 02:06:00,2020
132,4,2020-08-01 01:58:55+00:00,True,14,0,0,True,active,149,True,True,149,0,,,2020-08-01 02:06:00,2020
133,16,2020-08-01 01:49:33+00:00,False,2,1,0,True,active,150,True,True,150,0,,,2020-08-01 02:06:00,2020
134,4,2020-08-01 01:31:15+00:00,False,13,2,0,True,active,151,True,True,151,0,,,2020-08-01 02:06:00,2020
135,10,2020-08-01 01:35:58+00:00,True,5,0,0,True,active,152,True,True,152,0,,,2020-08-01 02:06:00,2020
136,1,2020-08-01 00:44:43+00:00,False,14,0,0,True,active,156,True,True,156,0,,,2020-08-01 02:06:00,2020
137,4,2020-08-01 02:01:40+00:00,False,8,3,0,True,active,157,True,True,157,0,,,2020-08-01 02:06:00,2020
138,6,2020-08-01 02:03:02+00:00,False,8,1,0,True,active,159,True,True,159,0,,,2020-08-01 02:06:00,2020
139,0,2020-08-01 00:01:06+00:00,True,14,0,0,True,active,160,True,True,160,0,,,2020-08-01 02:06:00,2020
140,22,2020-08-01 01:33:16+00:00,True,1,0,0,True,active,161,True,True,161,0,,,2020-08-01 02:06:00,2020
141,5,2020-08-01 00:50:29+00:00,False,10,0,0,True,active,162,True,True,162,0,,,2020-08-01 02:06:00,2020
142,16,2020-08-01 01:39:47+00:00,True,3,0,0,True,active,163,True,True,163,0,,,2020-08-01 02:06:00,2020
143,1,2020-08-01 01:13:02+00:00,False,13,1,0,True,active,167,True,True,167,0,,,2020-08-01 02:06:00,2020
144,4,2020-08-01 02:00:52+00:00,False,15,0,0,True,active,169,True,True,169,0,,,2020-08-01 02:06:00,2020
145,4,2020-07-31 22:06:37+00:00,True,10,0,0,True,active,170,True,True,170,0,,,2020-08-01 02:06:00,2020
146,7,2020-08-01 00:37:20+00:00,True,16,0,0,True,active,171,True,True,171,0,,,2020-08-01 02:06:00,2020
147,7,2020-08-01 01:45:23+00:00,True,5,2,0,True,active,173,True,True,173,0,,,2020-08-01 02:06:00,2020
148,8,2020-07-31 22:41:56+00:00,False,7,0,0,True,active,174,True,True,174,0,,,2020-08-01 02:06:00,2020
149,3,2020-08-01 01:49:51+00:00,True,13,1,0,True,active,175,True,True,175,0,,,2020-08-01 02:06:00,2020
150,6,2020-08-01 01:27:08+00:00,False,9,0,0,True,active,176,True,True,176,0,,,2020-08-01 02:06:00,2020
151,11,2020-08-01 01:34:36+00:00,False,8,0,0,True,active,177,True,True,177,0,,,2020-08-01 02:06:00,2020
152,5,2020-08-01 01:33:12+00:00,False,14,0,0,True,active,178,True,True,178,0,,,2020-08-01 02:06:00,2020
153,11,2020-08-01 01:55:31+00:00,False,12,2,0,True,active,179,True,True,179,0,,,2020-08-01 02:06:00,2020
154,9,2020-08-01 00:07:53+00:00,False,10,0,0,True,active,180,True,True,180,0,,,2020-08-01 02:06:00,2020
155,6,2020-08-01 00:10:48+00:00,False,12,1,0,True,active,181,True,True,181,0,,,2020-08-01 02:06:00,2020
156,3,2020-08-01 00:52:34+00:00,True,14,2,0,True,active,182,True,True,182,0,,,2020-08-01 02:06:00,2020
157,9,2020-08-01 01:28:32+00:00,False,10,0,0,True,active,183,True,True,183,0,,,2020-08-01 02:06:00,2020
158,3,2020-08-01 01:48:19+00:00,False,16,0,0,True,active,184,True,True,184,0,,,2020-08-01 02:06:00,2020
