,num_bikes_available,num_docks_available,station_id,num_docks_disabled,is_installed,eightd_has_available_keys,legacy_id,last_reported,num_ebikes_available,is_returning,is_renting,num_bikes_disabled,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
124,3,16,139,0,True,False,139,2020-08-18 19:53:13+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
125,6,11,140,0,True,False,140,2020-08-18 18:41:19+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
126,8,7,141,0,True,False,141,2020-08-18 19:52:36+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
127,18,5,142,0,True,False,142,2020-08-18 18:47:29+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
128,6,17,143,0,True,False,143,2020-08-18 18:53:48+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
129,16,3,144,0,True,False,144,2020-08-18 17:23:53+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
130,17,1,145,0,True,False,145,2020-08-18 20:02:58+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
131,12,5,146,0,True,False,146,2020-08-18 20:05:17+00:00,0,True,True,2,active,,,2020-08-18 20:05:40,2020
132,4,13,149,0,True,True,149,2020-08-18 20:05:06+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
133,11,7,150,0,True,False,150,2020-08-18 19:43:04+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
134,12,7,151,0,True,False,151,2020-08-18 20:03:50+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
135,8,7,152,0,True,True,152,2020-08-18 19:51:03+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
136,2,13,156,0,True,False,156,2020-08-18 19:52:55+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
137,7,5,157,0,True,False,157,2020-08-18 20:01:30+00:00,0,True,True,3,active,,,2020-08-18 20:05:40,2020
138,3,12,159,0,True,False,159,2020-08-18 18:49:21+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
139,3,11,160,0,True,True,160,2020-08-18 19:53:43+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
140,19,3,161,0,True,True,161,2020-08-18 20:04:47+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
141,6,9,162,0,True,False,162,2020-08-18 18:28:26+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
142,6,13,163,0,True,True,163,2020-08-18 19:04:07+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
143,5,10,167,0,True,False,167,2020-08-18 19:41:24+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
144,4,15,169,0,True,False,169,2020-08-18 19:59:09+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
145,4,10,170,0,True,True,170,2020-08-18 15:32:54+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
146,1,22,171,0,True,True,171,2020-08-18 19:48:07+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
147,9,5,173,0,True,True,173,2020-08-18 17:51:29+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
148,2,13,174,0,True,False,174,2020-08-18 19:27:39+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
149,5,12,175,0,True,True,175,2020-08-18 19:42:01+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
150,7,8,176,0,True,False,176,2020-08-18 19:55:55+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
151,3,16,177,0,True,False,177,2020-08-18 19:39:41+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
152,13,6,178,0,True,False,178,2020-08-18 20:04:39+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
153,13,12,179,0,True,False,179,2020-08-18 20:05:20+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
154,14,5,180,0,True,False,180,2020-08-18 19:33:58+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
155,9,10,181,0,True,False,181,2020-08-18 19:27:46+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
156,4,15,182,0,True,True,182,2020-08-18 19:51:49+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
157,15,4,183,0,True,False,183,2020-08-18 20:04:02+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
158,10,9,184,0,True,False,184,2020-08-18 19:38:10+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
159,4,10,185,0,True,False,185,2020-08-18 19:57:34+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
160,0,15,186,0,True,True,186,2020-08-18 19:53:56+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
161,10,5,187,0,True,False,187,2020-08-18 19:42:17+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
162,9,6,188,0,True,False,188,2020-08-18 18:50:24+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
163,23,0,189,0,True,True,189,2020-08-18 19:38:47+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
164,16,20,190,0,True,True,190,2020-08-18 19:52:20+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
165,3,12,191,0,True,False,191,2020-08-18 19:59:15+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
166,8,11,192,0,True,False,192,2020-08-18 20:04:00+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
167,3,12,193,0,True,True,193,2020-08-18 19:49:28+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
168,1,15,194,0,True,False,194,2020-08-18 18:08:26+00:00,0,True,True,3,active,,,2020-08-18 20:05:40,2020
169,2,20,195,0,True,False,195,2020-08-18 19:28:24+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
170,0,10,196,0,True,False,196,2020-08-18 19:58:53+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
171,8,7,197,0,True,False,197,2020-08-18 18:41:50+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
172,7,8,199,0,True,False,199,2020-08-18 15:32:08+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
173,14,5,200,0,True,False,200,2020-08-18 19:24:01+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
174,6,9,201,0,True,False,201,2020-08-18 19:29:27+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
175,3,11,202,0,True,False,202,2020-08-18 19:28:12+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
176,8,7,203,0,True,False,203,2020-08-18 08:39:35+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
177,3,12,204,0,True,False,204,2020-08-18 19:08:19+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
178,3,12,205,0,True,False,205,2020-08-18 20:04:55+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
179,14,8,206,0,True,True,206,2020-08-18 20:01:50+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
180,10,5,208,0,True,True,208,2020-08-18 17:35:12+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
181,13,1,209,0,True,False,209,2020-08-18 16:12:40+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
182,3,11,210,0,True,False,210,2020-08-18 18:50:30+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
183,1,18,211,0,True,False,211,2020-08-18 18:26:35+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
184,0,33,212,0,True,False,212,2020-08-18 19:58:11+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
185,2,14,213,0,True,True,213,2020-08-18 19:30:12+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
186,10,5,214,0,True,False,214,2020-08-18 17:55:15+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
187,9,4,215,0,True,False,215,2020-08-18 19:28:23+00:00,0,True,True,2,active,,,2020-08-18 20:05:40,2020
188,19,0,216,0,True,False,216,2020-08-18 08:04:08+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
189,12,6,217,0,True,False,217,2020-08-18 19:54:22+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
