,num_bikes_available,is_installed,legacy_id,station_status,eightd_has_available_keys,num_docks_available,num_ebikes_available,is_renting,is_returning,last_reported,station_id,num_docks_disabled,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
133,1,True,150,active,False,18,0,True,True,2020-08-05 21:09:57+00:00,150,0,0,,,2020-08-05 21:18:30,2020
134,4,True,151,active,False,15,0,True,True,2020-08-05 21:18:00+00:00,151,0,0,,,2020-08-05 21:18:30,2020
135,8,True,152,active,True,7,0,True,True,2020-08-05 21:15:53+00:00,152,0,0,,,2020-08-05 21:18:30,2020
136,4,True,156,active,False,11,0,True,True,2020-08-05 20:42:26+00:00,156,0,0,,,2020-08-05 21:18:30,2020
137,4,True,157,active,False,10,0,True,True,2020-08-05 21:11:28+00:00,157,0,1,,,2020-08-05 21:18:30,2020
138,1,True,159,active,False,12,0,True,True,2020-08-05 21:13:06+00:00,159,0,2,,,2020-08-05 21:18:30,2020
139,7,True,160,active,True,7,0,True,True,2020-08-05 21:18:23+00:00,160,0,0,,,2020-08-05 21:18:30,2020
140,13,True,161,active,True,10,0,True,True,2020-08-05 20:48:40+00:00,161,0,0,,,2020-08-05 21:18:30,2020
141,8,True,162,active,False,7,0,True,True,2020-08-05 20:45:08+00:00,162,0,0,,,2020-08-05 21:18:30,2020
142,6,True,163,active,True,13,0,True,True,2020-08-05 21:13:42+00:00,163,0,0,,,2020-08-05 21:18:30,2020
143,4,True,167,active,False,10,0,True,True,2020-08-05 21:15:38+00:00,167,0,1,,,2020-08-05 21:18:30,2020
144,14,True,169,active,False,5,0,True,True,2020-08-05 20:04:53+00:00,169,0,0,,,2020-08-05 21:18:30,2020
145,0,True,170,active,True,14,0,True,True,2020-08-05 18:31:26+00:00,170,0,0,,,2020-08-05 21:18:30,2020
146,7,True,171,active,True,16,0,True,True,2020-08-05 18:45:23+00:00,171,0,0,,,2020-08-05 21:18:30,2020
147,9,True,173,active,True,5,0,True,True,2020-08-05 19:42:14+00:00,173,0,0,,,2020-08-05 21:18:30,2020
148,5,True,174,active,False,8,0,True,True,2020-08-05 21:14:12+00:00,174,0,2,,,2020-08-05 21:18:30,2020
149,0,True,175,active,True,17,0,True,True,2020-08-05 20:45:00+00:00,175,0,0,,,2020-08-05 21:18:30,2020
150,10,True,176,active,False,5,0,True,True,2020-08-05 21:17:59+00:00,176,0,0,,,2020-08-05 21:18:30,2020
151,1,True,177,active,False,18,0,True,True,2020-08-05 21:16:54+00:00,177,0,0,,,2020-08-05 21:18:30,2020
152,2,True,178,active,False,17,0,True,True,2020-08-05 21:17:24+00:00,178,0,0,,,2020-08-05 21:18:30,2020
153,10,True,179,active,False,15,0,True,True,2020-08-05 21:15:50+00:00,179,0,0,,,2020-08-05 21:18:30,2020
154,15,True,180,active,False,4,0,True,True,2020-08-05 20:40:40+00:00,180,0,0,,,2020-08-05 21:18:30,2020
155,15,True,181,active,False,4,0,True,True,2020-08-05 20:55:34+00:00,181,0,0,,,2020-08-05 21:18:30,2020
156,5,True,182,active,True,14,0,True,True,2020-08-05 21:10:20+00:00,182,0,0,,,2020-08-05 21:18:30,2020
157,6,True,183,active,False,13,0,True,True,2020-08-05 21:12:23+00:00,183,0,0,,,2020-08-05 21:18:30,2020
158,7,True,184,active,False,12,0,True,True,2020-08-05 20:48:31+00:00,184,0,0,,,2020-08-05 21:18:30,2020
