,legacy_id,num_bikes_available,num_docks_available,last_reported,num_ebikes_available,num_docks_disabled,is_returning,num_bikes_disabled,station_status,is_renting,station_id,is_installed,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
110,121,9,8,2020-08-22 03:53:51+00:00,0,0,True,0,active,True,121,True,False,2020-08-22 03:56:25,2020
111,122,12,3,2020-08-22 03:19:03+00:00,0,0,True,0,active,True,122,True,False,2020-08-22 03:56:25,2020
112,124,1,14,2020-08-22 02:12:23+00:00,0,0,True,0,active,True,124,True,False,2020-08-22 03:56:25,2020
113,125,9,4,2020-08-22 03:24:52+00:00,0,0,True,2,active,True,125,True,False,2020-08-22 03:56:25,2020
114,126,13,1,2020-08-22 03:34:47+00:00,0,0,True,1,active,True,126,True,False,2020-08-22 03:56:25,2020
115,128,4,15,2020-08-22 02:23:05+00:00,0,0,True,0,active,True,128,True,False,2020-08-22 03:56:25,2020
116,129,12,7,2020-08-22 03:16:32+00:00,0,0,True,0,active,True,129,True,False,2020-08-22 03:56:25,2020
117,130,8,7,2020-08-22 01:46:49+00:00,0,0,True,0,active,True,130,True,False,2020-08-22 03:56:25,2020
118,131,18,0,2020-08-22 01:29:15+00:00,0,0,True,0,active,True,131,True,False,2020-08-22 03:56:25,2020
119,133,11,11,2020-08-22 03:40:37+00:00,0,0,True,1,active,True,133,True,False,2020-08-22 03:56:25,2020
120,135,0,17,2020-08-21 22:43:50+00:00,0,0,True,0,active,True,135,True,False,2020-08-22 03:56:25,2020
121,136,0,19,2020-08-21 22:23:29+00:00,0,0,True,0,active,True,136,True,False,2020-08-22 03:56:25,2020
122,137,8,7,2020-08-22 02:53:02+00:00,0,0,True,0,active,True,137,True,False,2020-08-22 03:56:25,2020
123,138,8,6,2020-08-22 02:00:40+00:00,0,0,True,1,active,True,138,True,False,2020-08-22 03:56:25,2020
124,139,6,13,2020-08-22 03:55:23+00:00,0,0,True,0,active,True,139,True,False,2020-08-22 03:56:25,2020
125,140,17,0,2020-08-22 02:15:00+00:00,0,0,True,0,active,True,140,True,False,2020-08-22 03:56:25,2020
126,141,13,2,2020-08-22 02:22:32+00:00,0,0,True,0,active,True,141,True,False,2020-08-22 03:56:25,2020
127,142,15,8,2020-08-22 01:31:49+00:00,0,0,True,0,active,True,142,True,False,2020-08-22 03:56:25,2020
128,143,8,13,2020-08-22 03:16:11+00:00,0,0,True,2,active,True,143,True,False,2020-08-22 03:56:25,2020
129,144,10,9,2020-08-22 02:04:26+00:00,0,0,True,0,active,True,144,True,False,2020-08-22 03:56:25,2020
130,145,18,1,2020-08-21 23:45:01+00:00,0,0,True,0,active,True,145,True,False,2020-08-22 03:56:25,2020
131,146,11,8,2020-08-22 03:37:09+00:00,0,0,True,0,active,True,146,True,False,2020-08-22 03:56:25,2020
132,149,10,7,2020-08-22 03:34:42+00:00,0,0,True,1,active,True,149,True,True,2020-08-22 03:56:25,2020
133,150,9,9,2020-08-22 02:44:44+00:00,0,0,True,1,active,True,150,True,False,2020-08-22 03:56:25,2020
134,151,12,7,2020-08-22 03:25:46+00:00,0,0,True,0,active,True,151,True,False,2020-08-22 03:56:25,2020
135,152,5,9,2020-08-22 03:43:13+00:00,0,0,True,1,active,True,152,True,True,2020-08-22 03:56:25,2020
136,156,4,11,2020-08-22 03:23:10+00:00,0,0,True,0,active,True,156,True,False,2020-08-22 03:56:25,2020
137,157,0,15,2020-08-22 03:43:02+00:00,0,0,True,0,active,True,157,True,False,2020-08-22 03:56:25,2020
138,159,3,11,2020-08-22 02:40:10+00:00,0,0,True,1,active,True,159,True,False,2020-08-22 03:56:25,2020
139,160,9,5,2020-08-22 03:14:11+00:00,0,0,True,0,active,True,160,True,True,2020-08-22 03:56:25,2020
140,161,23,0,2020-08-22 03:38:04+00:00,0,0,True,0,active,True,161,True,True,2020-08-22 03:56:25,2020
141,162,5,10,2020-08-21 20:15:52+00:00,0,0,True,0,active,True,162,True,False,2020-08-22 03:56:25,2020
142,163,7,11,2020-08-22 03:08:09+00:00,0,0,True,1,active,True,163,True,True,2020-08-22 03:56:25,2020
143,167,15,0,2020-08-22 03:17:42+00:00,0,0,True,0,active,True,167,True,False,2020-08-22 03:56:25,2020
144,169,9,10,2020-08-22 02:54:19+00:00,0,0,True,0,active,True,169,True,False,2020-08-22 03:56:25,2020
145,170,6,8,2020-08-21 23:05:17+00:00,0,0,True,0,active,True,170,True,True,2020-08-22 03:56:25,2020
146,171,12,11,2020-08-22 00:26:01+00:00,0,0,True,0,active,True,171,True,True,2020-08-22 03:56:25,2020
147,173,13,0,2020-08-22 03:14:25+00:00,0,0,True,1,active,True,173,True,True,2020-08-22 03:56:25,2020
148,174,8,7,2020-08-22 03:45:02+00:00,0,0,True,0,active,True,174,True,False,2020-08-22 03:56:25,2020
149,175,5,12,2020-08-22 03:41:19+00:00,0,0,True,0,active,True,175,True,True,2020-08-22 03:56:25,2020
