,num_docks_available,is_returning,num_bikes_disabled,num_bikes_available,last_reported,legacy_id,num_docks_disabled,eightd_has_available_keys,station_status,num_ebikes_available,is_installed,station_id,is_renting,timestamp_of_data_read_request,year_station_last_reported
131,14,True,2,3,2020-08-11 00:54:41+00:00,146,0,False,active,0,True,146,True,2020-08-11 01:52:20,2020
132,5,True,0,13,2020-08-11 00:38:51+00:00,149,0,True,active,0,True,149,True,2020-08-11 01:52:20,2020
133,7,True,1,11,2020-08-11 01:35:05+00:00,150,0,False,active,0,True,150,True,2020-08-11 01:52:20,2020
134,16,True,0,3,2020-08-11 00:26:50+00:00,151,0,False,active,0,True,151,True,2020-08-11 01:52:20,2020
135,1,True,0,14,2020-08-11 00:37:13+00:00,152,0,True,active,0,True,152,True,2020-08-11 01:52:20,2020
136,12,True,0,3,2020-08-11 01:21:19+00:00,156,0,False,active,0,True,156,True,2020-08-11 01:52:20,2020
137,7,True,1,7,2020-08-11 01:04:56+00:00,157,0,False,active,0,True,157,True,2020-08-11 01:52:20,2020
138,8,True,1,6,2020-08-11 01:46:14+00:00,159,0,False,active,0,True,159,True,2020-08-11 01:52:20,2020
139,12,True,0,2,2020-08-11 01:37:16+00:00,160,0,True,active,0,True,160,True,2020-08-11 01:52:20,2020
140,10,True,2,11,2020-08-11 01:36:05+00:00,161,0,True,active,0,True,161,True,2020-08-11 01:52:20,2020
141,9,True,0,6,2020-08-11 00:33:12+00:00,162,0,False,active,0,True,162,True,2020-08-11 01:52:20,2020
142,8,True,0,11,2020-08-11 00:27:57+00:00,163,0,True,active,0,True,163,True,2020-08-11 01:52:20,2020
143,10,True,0,5,2020-08-10 23:28:48+00:00,167,0,False,active,0,True,167,True,2020-08-11 01:52:20,2020
144,4,True,0,15,2020-08-11 00:20:45+00:00,169,0,False,active,0,True,169,True,2020-08-11 01:52:20,2020
145,11,True,0,3,2020-08-11 00:26:00+00:00,170,0,True,active,0,True,170,True,2020-08-11 01:52:20,2020
146,18,True,0,5,2020-08-11 01:27:24+00:00,171,0,True,active,0,True,171,True,2020-08-11 01:52:20,2020
147,4,True,0,10,2020-08-11 00:24:09+00:00,173,0,True,active,0,True,173,True,2020-08-11 01:52:20,2020
148,12,True,0,3,2020-08-11 01:32:32+00:00,174,0,False,active,0,True,174,True,2020-08-11 01:52:20,2020
149,16,True,0,1,2020-08-11 01:38:46+00:00,175,0,True,active,0,True,175,True,2020-08-11 01:52:20,2020
150,0,True,0,15,2020-08-10 23:11:45+00:00,176,0,False,active,0,True,176,True,2020-08-11 01:52:20,2020
151,19,True,0,0,2020-08-11 00:53:18+00:00,177,0,False,active,0,True,177,True,2020-08-11 01:52:20,2020
152,14,True,0,5,2020-08-11 01:50:02+00:00,178,0,False,active,0,True,178,True,2020-08-11 01:52:20,2020
153,7,True,0,18,2020-08-11 01:32:02+00:00,179,0,False,active,0,True,179,True,2020-08-11 01:52:20,2020
154,4,True,0,15,2020-08-11 00:13:05+00:00,180,0,False,active,0,True,180,True,2020-08-11 01:52:20,2020
155,4,True,0,15,2020-08-11 00:24:18+00:00,181,0,False,active,0,True,181,True,2020-08-11 01:52:20,2020
156,13,True,0,6,2020-08-11 00:42:30+00:00,182,0,True,active,0,True,182,True,2020-08-11 01:52:20,2020
157,18,True,0,1,2020-08-11 00:09:31+00:00,183,0,False,active,0,True,183,True,2020-08-11 01:52:20,2020
158,7,True,1,11,2020-08-11 00:57:21+00:00,184,0,False,active,0,True,184,True,2020-08-11 01:52:20,2020
159,11,True,0,4,2020-08-11 01:30:27+00:00,185,0,False,active,0,True,185,True,2020-08-11 01:52:20,2020
160,1,True,2,12,2020-08-11 01:39:29+00:00,186,0,True,active,0,True,186,True,2020-08-11 01:52:20,2020
161,2,True,0,13,2020-08-11 00:24:38+00:00,187,0,False,active,0,True,187,True,2020-08-11 01:52:20,2020
162,6,True,0,9,2020-08-11 01:49:13+00:00,188,0,False,active,0,True,188,True,2020-08-11 01:52:20,2020
163,13,True,1,9,2020-08-11 01:20:29+00:00,189,0,True,active,0,True,189,True,2020-08-11 01:52:20,2020
164,13,True,1,23,2020-08-11 01:45:43+00:00,190,0,True,active,0,True,190,True,2020-08-11 01:52:20,2020
165,13,True,0,2,2020-08-10 23:52:41+00:00,191,0,False,active,0,True,191,True,2020-08-11 01:52:20,2020
166,14,True,0,5,2020-08-11 00:34:35+00:00,192,0,False,active,0,True,192,True,2020-08-11 01:52:20,2020
167,9,True,0,6,2020-08-11 01:49:48+00:00,193,0,True,active,0,True,193,True,2020-08-11 01:52:20,2020
168,19,True,0,0,2020-08-11 00:49:37+00:00,194,0,False,active,0,True,194,True,2020-08-11 01:52:20,2020
169,9,True,0,14,2020-08-11 01:47:35+00:00,195,0,False,active,0,True,195,True,2020-08-11 01:52:20,2020
170,8,True,0,2,2020-08-11 00:01:56+00:00,196,0,True,active,0,True,196,True,2020-08-11 01:52:20,2020
