,eightd_has_available_keys,num_ebikes_available,num_docks_disabled,num_bikes_available,station_id,is_returning,num_bikes_disabled,num_docks_available,station_status,legacy_id,is_installed,is_renting,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
108,False,0,0,4,119,True,0,11,active,119,True,True,2020-08-20 20:59:59+00:00,,,2020-08-20 21:00:20,2020
109,False,0,0,3,120,True,0,12,active,120,True,True,2020-08-20 20:50:58+00:00,,,2020-08-20 21:00:20,2020
110,False,0,0,4,121,True,1,12,active,121,True,True,2020-08-20 20:49:04+00:00,,,2020-08-20 21:00:20,2020
111,False,0,0,15,122,True,0,0,active,122,True,True,2020-08-20 20:57:55+00:00,,,2020-08-20 21:00:20,2020
112,False,0,0,0,124,True,0,15,active,124,True,True,2020-08-20 19:43:43+00:00,,,2020-08-20 21:00:20,2020
113,False,0,0,1,125,True,1,13,active,125,True,True,2020-08-20 20:55:10+00:00,,,2020-08-20 21:00:20,2020
114,False,0,0,12,126,True,2,1,active,126,True,True,2020-08-20 19:28:56+00:00,,,2020-08-20 21:00:20,2020
115,False,0,0,9,128,True,0,10,active,128,True,True,2020-08-20 20:35:30+00:00,,,2020-08-20 21:00:20,2020
116,False,0,0,1,129,True,0,18,active,129,True,True,2020-08-20 20:57:20+00:00,,,2020-08-20 21:00:20,2020
117,False,0,0,12,130,True,0,3,active,130,True,True,2020-08-20 20:23:12+00:00,,,2020-08-20 21:00:20,2020
118,False,0,0,6,131,True,0,12,active,131,True,True,2020-08-20 20:59:44+00:00,,,2020-08-20 21:00:20,2020
119,False,0,0,12,133,True,1,10,active,133,True,True,2020-08-20 18:52:00+00:00,,,2020-08-20 21:00:20,2020
120,False,0,0,1,135,True,0,16,active,135,True,True,2020-08-20 20:51:53+00:00,,,2020-08-20 21:00:20,2020
121,False,0,0,2,136,True,0,17,active,136,True,True,2020-08-20 20:44:30+00:00,,,2020-08-20 21:00:20,2020
122,False,0,0,4,137,True,0,11,active,137,True,True,2020-08-20 20:26:54+00:00,,,2020-08-20 21:00:20,2020
123,False,0,0,8,138,True,0,7,active,138,True,True,2020-08-20 20:45:34+00:00,,,2020-08-20 21:00:20,2020
124,False,0,0,4,139,True,0,15,active,139,True,True,2020-08-20 20:53:21+00:00,,,2020-08-20 21:00:20,2020
125,False,0,0,10,140,True,0,7,active,140,True,True,2020-08-20 20:57:32+00:00,,,2020-08-20 21:00:20,2020
126,False,0,0,8,141,True,0,7,active,141,True,True,2020-08-20 20:43:30+00:00,,,2020-08-20 21:00:20,2020
127,False,0,0,15,142,True,0,8,active,142,True,True,2020-08-20 20:00:53+00:00,,,2020-08-20 21:00:20,2020
128,False,0,0,6,143,True,0,17,active,143,True,True,2020-08-20 20:41:58+00:00,,,2020-08-20 21:00:20,2020
129,False,0,0,17,144,True,0,2,active,144,True,True,2020-08-20 20:53:30+00:00,,,2020-08-20 21:00:20,2020
