,station_status,legacy_id,eightd_has_available_keys,is_returning,num_docks_available,num_ebikes_available,is_installed,num_docks_disabled,num_bikes_disabled,last_reported,is_renting,num_bikes_available,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
127,active,142,False,True,8,0,True,0,1,2020-08-04 15:35:27+00:00,True,14,142,,,2020-08-04 15:40:10,2020
128,active,143,False,True,10,0,True,0,0,2020-08-04 15:30:40+00:00,True,13,143,,,2020-08-04 15:40:10,2020
129,active,144,False,True,13,0,True,0,0,2020-08-04 14:16:05+00:00,True,6,144,,,2020-08-04 15:40:10,2020
130,active,145,False,True,4,0,True,0,0,2020-08-04 14:50:33+00:00,True,15,145,,,2020-08-04 15:40:10,2020
131,active,146,False,True,6,0,True,0,2,2020-08-04 15:32:22+00:00,True,11,146,,,2020-08-04 15:40:10,2020
132,active,149,True,True,5,0,True,0,0,2020-08-04 15:37:28+00:00,True,13,149,,,2020-08-04 15:40:10,2020
133,active,150,False,True,17,0,True,0,0,2020-08-04 15:25:04+00:00,True,2,150,,,2020-08-04 15:40:10,2020
134,active,151,False,True,10,0,True,0,0,2020-08-04 15:30:39+00:00,True,9,151,,,2020-08-04 15:40:10,2020
135,active,152,True,True,5,0,True,0,0,2020-08-04 15:34:18+00:00,True,10,152,,,2020-08-04 15:40:10,2020
136,active,156,False,True,10,0,True,0,0,2020-08-04 11:56:37+00:00,True,5,156,,,2020-08-04 15:40:10,2020
137,active,157,False,True,3,0,True,0,3,2020-08-04 15:08:11+00:00,True,9,157,,,2020-08-04 15:40:10,2020
138,active,159,False,True,13,0,True,0,1,2020-08-04 14:12:43+00:00,True,1,159,,,2020-08-04 15:40:10,2020
139,active,160,True,True,10,0,True,0,1,2020-08-04 14:04:18+00:00,True,3,160,,,2020-08-04 15:40:10,2020
140,active,161,True,True,19,0,True,0,0,2020-08-04 15:24:37+00:00,True,4,161,,,2020-08-04 15:40:10,2020
141,active,162,False,True,10,0,True,0,0,2020-08-04 14:17:30+00:00,True,5,162,,,2020-08-04 15:40:10,2020
142,active,163,True,True,13,0,True,0,0,2020-08-04 14:55:15+00:00,True,6,163,,,2020-08-04 15:40:10,2020
143,active,167,False,True,2,0,True,0,0,2020-08-04 15:31:17+00:00,True,13,167,,,2020-08-04 15:40:10,2020
144,active,169,False,True,4,0,True,0,0,2020-08-04 15:35:49+00:00,True,15,169,,,2020-08-04 15:40:10,2020
145,active,170,True,True,14,0,True,0,0,2020-08-04 14:28:22+00:00,True,0,170,,,2020-08-04 15:40:10,2020
146,active,171,True,True,18,0,True,0,0,2020-08-04 12:50:10+00:00,True,5,171,,,2020-08-04 15:40:10,2020
147,active,173,True,True,3,0,True,0,0,2020-08-04 15:34:45+00:00,True,11,173,,,2020-08-04 15:40:10,2020
148,active,174,False,True,8,0,True,0,0,2020-08-04 14:52:29+00:00,True,7,174,,,2020-08-04 15:40:10,2020
149,active,175,True,True,16,0,True,0,0,2020-08-04 15:38:01+00:00,True,1,175,,,2020-08-04 15:40:10,2020
